,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_1_0,2.82,1.38,,,,49.98,2.16,0.86,2.39,0.58,,,49.98,1.87,1.27,0.61,0.09,0.09,49.98,1.52,1.43,1.06,1.59,3.76,7.77,2.95,1.6,1.05,49.98,1.33,2.23,2.79
TEMP_0_0,1.56,2.9,0.03,,,,1.0,2.22,1.23,0.99,,,,1.11,2.67,0.05,1.24,1.83,,1.49,1.72,1.34,0.46,5.05,8.53,4.43,3.55,1.61,,1.46,2.05,2.25
TEMP_1_1,,,5.47,,,,2.03,,1.48,,5.9,,,0.53,0.16,4.4,,,,1.28,2.57,0.6,0.65,5.1,11.85,2.77,0.47,,,1.74,1.82,0.28
TEMP_0_2,,,,13.85,,,0.19,,,3.24,,10.95,,0.95,1.66,,,4.74,,0.56,0.98,0.7,3.85,4.0,6.72,3.2,2.73,,,1.3,1.72,2.97
TEMP_0_1,,,,,17.67,,0.49,0.82,0.54,4.57,,3.67,,0.14,,,9.65,,,0.48,0.33,3.78,,4.65,6.62,3.2,1.83,8.72,,1.32,2.29,5.88
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.72,0.99,1.76,0.09,0.13,62.29,3.49,0.31,1.76,0.07,,,62.29,1.49,0.82,1.62,0.19,0.19,62.29,1.37,1.74,1.13,1.37,3.75,8.45,2.07,1.45,0.61,62.29,1.36,2.25,2.48
PRES_1_1,1.57,2.5,,,0.68,,0.45,3.54,0.21,,,,,1.05,1.77,,1.7,2.15,,1.44,1.68,1.51,0.53,4.57,8.54,4.03,2.92,1.7,,1.39,2.09,2.88
PRES_1_0,2.17,1.63,1.02,,,,1.79,0.11,4.91,,,,,1.65,1.95,1.09,0.3,,,1.1,1.64,1.13,1.56,5.03,8.97,3.31,2.31,1.35,,1.59,2.06,1.26
PRES_1_2,1.5,1.5,,2.99,4.55,,0.18,,,8.3,,,,1.16,2.86,,2.42,,,1.35,1.05,1.08,1.16,5.92,8.6,5.14,2.95,3.14,,1.44,2.02,2.53
PRES_0_1,,,5.34,,,,,,,,15.48,,,,,5.65,,,,2.13,2.44,,,4.66,11.32,3.62,,,,1.69,1.59,0.37
PRES_1_3,,,,10.98,3.71,,0.26,,,,,17.81,,0.4,1.0,,2.08,6.11,,0.7,1.26,1.8,2.22,2.95,5.76,4.22,2.06,2.05,,1.36,1.61,4.56
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
