,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,0.99,0.18,,0.96,0.37,0.11,0.71,0.51,0.41,0.39,0.37,0.3,0.28,0.18,0.85,0.61,0.15
PRES_0_1,1.0,1.01,,,0.96,0.37,0.09,0.71,0.49,0.42,0.39,0.37,0.3,0.28,0.16,0.85,0.62,0.15
PRES_0_0,1.0,,12.41,,1.0,,,0.58,1.25,,,,,,1.21,1.22,,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,0.99,0.19,,1.05,,,0.68,0.55,0.41,0.42,0.37,0.25,0.31,0.18,0.85,0.63,0.16
DEWP_1_0,1.0,1.01,,,,4.48,,1.09,0.07,0.43,,0.37,0.72,,,0.9,0.42,
DEWP_0_0,1.0,0.8,,,,,21.22,,,,,,1.91,,,1.2,,
WSPM_0_1,1.0,1.0,0.15,,0.92,0.56,,1.57,,,,0.22,0.04,,,0.86,0.6,0.15
WSPM_0_2,1.0,0.97,0.44,,1.04,0.05,,,2.7,,,0.1,,,,0.84,0.64,
WSPM_0_0,1.0,1.0,,,0.95,0.38,,,,2.39,,1.34,0.33,,,0.87,0.58,
WSPM_0_3,1.0,1.01,,,1.05,,,,,,4.12,0.06,,,,0.72,0.84,0.44
WSPM_1_0,1.0,1.0,,,0.96,0.37,,0.39,0.13,1.59,0.07,1.22,,,,0.85,0.61,
WSPM_1_1,1.0,1.01,,,0.81,0.89,0.8,0.15,,0.31,,,5.05,,,0.96,0.45,
WSPM_0_4,1.0,1.01,,,1.05,,,,,,,,,6.69,,0.83,0.48,
WSPM_1_2,1.0,0.91,1.25,,1.0,,,,,,,,,,12.08,1.19,,
PM10_0,1.0,0.99,0.26,,0.96,0.39,0.16,0.71,0.49,0.42,0.32,0.39,0.34,0.28,0.26,1.18,0.14,
PM10_1,1.0,1.01,,,1.0,0.25,,0.71,0.55,0.4,0.54,0.31,0.2,0.22,,0.2,1.75,0.17
PM10_2,1.0,1.01,,,1.03,,,0.6,,,1.02,,,,,,0.7,9.85
