,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_1_0,1.0,0.99,,,,,0.89,0.89,0.76,0.58,,,,1.13,0.73,0.7,0.54,0.51,,0.83,0.82,0.73,0.6,0.44,0.38,0.36,0.32,0.21,,1.27,0.98,0.5
TEMP_0_0,1.01,1.0,,,,,0.93,0.91,0.75,0.59,,,,1.14,0.75,0.71,0.54,0.51,,0.84,0.83,0.73,0.61,0.44,0.41,0.34,0.34,0.2,,1.28,1.0,0.51
TEMP_1_1,,,1.0,,,,1.25,,1.05,,0.59,,,1.57,1.06,0.97,,,,1.16,1.14,1.0,0.84,0.61,0.53,0.49,0.46,,,1.76,1.38,
TEMP_0_2,,,,1.0,,,1.91,,,1.3,,0.88,,2.5,1.62,,,1.12,,1.87,1.8,1.6,1.32,0.95,0.85,0.77,0.72,,,2.78,2.17,1.11
TEMP_0_1,,,,,1.0,,2.23,2.25,,1.46,,0.99,,2.82,,,1.34,,,2.08,1.99,1.81,,1.11,0.98,0.86,0.82,0.49,,3.16,2.46,1.25
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.12,1.08,0.8,0.51,0.45,,1.0,0.97,0.86,,,,,1.26,0.82,0.78,0.59,0.57,,0.94,0.9,0.81,0.67,0.48,0.45,0.38,0.35,0.22,,1.41,1.1,0.55
PRES_1_1,1.12,1.1,,,0.44,,1.03,1.0,,,,,,1.27,0.82,,0.6,0.57,,0.93,0.92,0.81,0.68,0.49,0.42,0.4,0.37,0.22,,1.41,1.1,0.57
PRES_1_0,1.31,1.33,0.96,,,,1.17,,1.0,,,,,1.49,0.98,0.93,0.7,,,1.09,1.1,0.96,0.79,0.58,0.48,0.47,0.45,0.26,,1.67,1.31,0.66
PRES_1_2,1.71,1.69,,0.77,0.68,,,,,1.0,,,,1.92,1.26,,0.91,,,1.43,1.41,1.24,1.02,0.74,0.65,0.6,0.56,0.34,,2.17,1.68,0.86
PRES_0_1,,,1.7,,,,,,,,1.0,,,,,1.65,,,,1.98,1.93,,,1.03,0.91,0.83,,,,2.99,2.33,
PRES_1_3,,,,1.14,1.01,,,,,,,1.0,,2.89,1.83,,1.35,1.27,,2.13,2.04,1.81,1.51,1.06,0.96,0.88,0.82,0.48,,3.15,2.47,1.27
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,0.88,0.87,0.64,0.4,0.36,,0.79,0.79,0.67,0.52,,0.35,,1.0,0.67,,,,,0.74,0.72,0.64,0.53,0.39,0.34,0.28,0.24,,,1.12,0.87,0.44
DEWP_0_0,1.37,1.33,0.94,0.62,,,1.22,1.22,1.02,0.79,,0.54,,1.5,1.0,,,,,1.08,1.11,0.97,0.79,0.58,0.53,0.49,0.46,0.27,,1.71,1.33,0.65
DEWP_1_1,1.42,1.36,1.03,,,,1.28,,1.07,,0.61,,,,,1.0,,,,1.19,1.17,1.04,0.86,0.62,0.55,0.49,0.47,,,1.81,1.41,
DEWP_0_2,1.86,1.84,,,0.75,,1.69,1.67,1.42,1.09,,0.74,,,,,1.0,,,1.56,1.51,1.35,,0.82,0.72,0.65,0.61,0.37,,2.36,1.84,0.94
DEWP_0_1,1.97,1.94,,0.9,,,1.74,1.76,,,,0.79,,,,,,1.0,,1.65,1.6,1.42,1.17,0.85,0.76,0.7,0.65,0.39,,2.49,1.95,0.98
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.2,1.19,0.86,0.53,0.48,,1.07,1.08,0.92,0.7,0.51,0.47,,1.35,0.92,0.84,0.64,0.61,,1.0,,,,,0.52,,,,,1.53,1.18,0.6
WSPM_0_1,1.22,1.2,0.88,0.55,0.49,,1.1,1.09,0.91,0.71,0.52,0.49,,1.38,0.9,0.85,0.66,0.62,,,1.0,,,,0.45,0.47,,,,1.56,1.18,0.63
WSPM_0_3,1.38,1.36,0.99,0.63,0.55,,1.23,1.24,1.04,0.81,,0.55,,1.56,1.03,0.96,0.74,0.7,,,,1.0,,,0.58,,,,,1.76,1.36,0.69
WSPM_0_4,1.67,1.65,1.19,0.76,,,1.49,1.48,1.26,0.98,,0.66,,1.88,1.26,1.16,,0.85,,,,,1.0,,,,,,,2.13,1.64,0.83
WSPM_0_0,2.3,2.29,1.65,1.04,0.9,,2.07,2.05,1.73,1.35,0.97,0.92,,2.57,1.72,1.61,1.22,1.17,,,,,,1.0,0.86,0.85,0.87,,,2.9,2.39,
WSPM_1_0,2.65,2.46,1.88,1.18,1.02,,2.23,2.35,2.07,1.53,1.1,1.04,,2.97,1.9,1.82,1.4,1.32,,1.91,2.21,1.72,,1.16,1.0,,,,,3.19,2.76,
WSPM_1_1,2.77,2.92,2.04,1.29,1.17,,2.65,2.52,2.12,1.68,1.2,1.14,,3.51,2.03,2.04,1.54,1.42,,,2.11,,,1.18,,1.0,,,,3.55,3.2,
WSPM_1_2,3.09,2.96,2.18,1.38,1.22,,2.89,2.68,2.23,1.78,,1.22,,4.21,2.17,2.12,1.63,1.55,,,,,,1.16,,,1.0,,,3.78,4.06,
WSPM_1_3,4.84,5.04,,,2.03,,4.48,4.48,3.78,2.93,,2.07,,,3.69,,2.72,2.54,,,,,,,,,,1.0,,6.33,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.79,0.78,0.57,0.36,0.32,,0.71,0.71,0.6,0.46,0.33,0.32,,0.89,0.58,0.55,0.42,0.4,,0.65,0.64,0.57,0.47,0.35,0.31,0.28,0.26,0.16,,1.0,0.77,
PM10_1,1.02,1.0,0.73,0.46,0.41,,0.91,0.91,0.76,0.6,0.43,0.41,,1.15,0.75,0.71,0.54,0.51,,0.85,0.85,0.74,0.61,0.42,0.36,0.31,0.25,,,1.29,1.0,0.49
PM10_2,1.99,1.97,,0.9,0.8,,1.8,1.76,1.52,1.17,,0.79,,2.25,1.47,,1.06,1.02,,1.67,1.53,1.45,1.21,,,,,,,,2.02,1.0
