,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,0.99,0.26,,0.97,0.45,0.18,0.77,0.59,0.5,0.47,0.46,0.38,0.37,0.26,0.96,0.47
PRES_0_1,1.0,1.0,,,0.97,0.46,0.17,0.77,0.58,0.5,0.48,0.46,0.39,0.37,0.25,0.96,0.48
PRES_0_0,1.77,,2.52,,1.75,,,1.25,1.5,,,,,,0.98,1.78,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.01,1.01,0.27,,1.02,,,0.76,0.61,0.5,0.49,0.46,0.36,0.38,0.26,0.97,0.49
DEWP_1_0,1.4,1.4,,,,1.73,,1.27,0.38,0.72,,0.64,0.77,,,1.34,0.51
DEWP_0_0,2.1,1.9,,,,,3.05,,,,,,1.64,,,2.12,
WSPM_0_1,1.12,1.12,0.27,,1.07,0.6,,1.18,,,,0.43,0.17,,,1.08,0.52
WSPM_0_2,1.26,1.24,0.47,,1.26,0.25,,,1.44,,,0.35,,,,1.21,0.56
WSPM_0_0,1.35,1.34,,,1.3,0.61,,,,1.36,,1.01,0.61,,,1.28,0.68
WSPM_0_3,1.38,1.38,,,1.39,,,,,,1.68,0.3,,,,1.3,0.79
WSPM_1_0,1.4,1.39,,,1.36,0.64,,0.82,0.47,1.22,0.34,1.03,,,,1.33,0.73
WSPM_1_1,1.51,1.51,,,1.37,0.97,0.61,0.7,,0.6,,,1.8,,,1.47,0.55
WSPM_0_4,1.54,1.54,,,1.55,,,,,,,,,2.01,,1.43,0.61
WSPM_1_2,1.79,1.72,1.02,,1.77,,,,,,,,,,2.49,1.8,
PM10_0,1.02,1.01,0.28,,0.99,0.46,0.19,0.78,0.6,0.51,0.47,0.47,0.4,0.37,0.28,1.02,0.29
PM10_1,1.38,1.38,,,1.36,0.48,,1.07,0.83,0.65,0.8,0.57,0.39,0.42,,0.8,1.5
