,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1
TEMP_1_0,0.91,1.11,,,0.97,0.95,1.09,1.05,,,0.98,1.0,1.22,,1.01,0.77,0.75,0.81,0.65,0.87,0.73,,1.09,0.88
TEMP_0_0,1.24,0.88,,,1.16,0.85,1.57,0.79,,,1.2,1.01,0.84,,1.03,0.85,0.94,0.92,0.72,0.77,0.59,0.49,1.16,0.96
TEMP_1_1,,,0.77,,2.02,,0.82,,,,1.16,1.59,,0.48,1.26,1.01,0.99,1.0,0.87,1.13,,,1.38,1.18
TEMP_0_2,,,,0.64,,,,,0.63,0.48,,,1.06,,1.68,1.35,1.43,1.63,1.1,1.24,,,1.89,1.44
PRES_0_0,0.94,0.97,1.24,,0.92,1.05,,1.5,,,0.96,0.98,1.07,,0.98,0.79,0.79,0.82,0.68,0.81,0.61,0.56,1.09,0.85
PRES_1_0,1.24,1.1,,,1.53,0.81,,,,,1.42,1.13,1.06,,1.21,0.92,1.0,1.0,0.74,0.92,0.73,,1.3,1.17
PRES_0_1,1.7,1.85,0.78,,,,0.79,,,,1.13,1.58,,0.48,1.2,1.01,0.99,1.02,0.85,1.13,0.76,,1.34,1.17
PRES_1_1,1.49,1.12,,,2.15,,,0.76,,,1.87,1.27,0.96,,1.35,0.99,0.99,1.04,0.84,0.98,0.92,,1.41,1.25
PRES_1_3,,,,0.66,,,,,0.62,,,,1.1,,1.81,1.37,1.47,1.63,1.12,1.25,,,1.92,1.55
PRES_1_2,,,,1.0,,,,,,0.49,,,1.6,,2.26,,,,,,,,3.2,1.88
DEWP_1_0,1.01,1.12,0.79,,1.05,0.98,0.8,1.56,,,0.9,1.29,,,0.97,0.81,0.82,0.84,0.68,0.86,,,1.11,0.88
DEWP_0_0,1.03,0.96,1.15,,1.05,0.88,1.21,0.84,,,1.3,0.89,,,1.04,0.8,0.8,0.84,0.68,0.89,0.64,0.5,1.1,0.97
DEWP_0_1,1.57,1.12,,0.64,1.49,1.09,,0.91,0.62,0.51,,,0.78,,1.33,1.0,1.04,1.04,0.83,0.82,0.73,,1.4,1.1
DEWP_1_1,,,1.47,,,,1.53,,,,,,,0.51,2.27,1.81,1.54,,1.84,,,,2.54,
WSPM_0_1,1.03,1.01,0.89,0.73,1.07,0.9,0.9,0.97,0.74,0.51,0.98,1.08,0.97,0.53,0.9,1.06,0.84,1.1,0.76,,,,1.13,0.88
WSPM_0_0,1.25,1.19,1.12,0.91,1.31,1.12,1.14,1.03,0.87,,1.25,1.19,1.14,,1.4,0.82,1.04,1.05,0.7,1.39,,,1.33,1.07
WSPM_1_1,1.33,1.27,1.16,1.0,1.37,1.16,1.17,1.09,0.96,,1.4,1.26,1.19,,1.61,0.87,0.78,2.53,0.77,1.45,,,1.39,1.32
WSPM_1_2,1.34,1.4,1.13,1.04,1.38,1.26,1.19,1.15,1.04,,1.54,1.3,1.19,,1.58,1.2,1.04,0.76,1.5,,,,1.4,1.38
WSPM_1_0,1.4,1.4,1.28,1.01,1.46,1.35,1.28,1.24,0.96,,1.44,1.46,1.27,,1.4,0.99,1.43,1.37,0.81,1.45,,,1.52,1.3
WSPM_0_2,1.64,1.34,1.53,0.97,1.54,1.28,1.59,1.17,0.92,,1.62,1.54,1.1,,,1.53,1.57,,1.27,0.71,,,1.69,1.22
WSPM_1_3,2.6,1.77,,,2.71,1.55,1.74,1.46,,,,1.83,1.63,,,,,,,,0.58,,2.12,2.37
WSPM_0_3,2.37,2.0,,,2.14,,,,,,,2.06,,,,,,,,,,0.52,,1.7
PM10_0,0.94,0.89,0.79,0.66,0.97,0.81,0.8,0.79,0.64,0.49,0.93,0.91,0.83,0.5,0.91,0.7,0.74,0.76,0.6,0.79,0.58,,0.96,0.93
PM10_1,1.12,1.11,1.09,0.83,1.14,1.04,1.12,1.04,0.85,0.6,1.13,1.17,1.0,,1.11,0.95,0.84,0.89,0.77,0.79,,0.55,1.4,0.85
