,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1
TEMP_1_0,1.0,0.95,,,1.02,0.84,0.72,0.75,,,0.99,0.98,0.81,,0.98,0.78,0.74,0.73,0.67,0.67,0.43,0.4,1.1,0.87
TEMP_0_0,1.05,1.0,,,1.07,0.85,0.83,0.79,,,1.0,1.01,0.83,,1.02,0.84,0.79,0.77,0.73,0.69,0.5,0.4,1.17,0.94
TEMP_1_1,,2.48,1.0,,1.42,1.07,1.03,,,,1.3,1.34,,0.45,1.29,1.03,0.95,0.96,0.91,0.85,,,1.46,1.14
TEMP_0_2,,,,1.0,,,,,0.98,0.62,,,1.4,,1.76,1.42,1.31,1.33,1.22,1.11,,,2.02,1.52
PRES_0_0,0.98,0.93,0.71,,1.0,0.8,,0.73,,,0.96,0.97,0.8,,0.98,0.77,0.73,0.71,0.69,0.68,0.35,0.43,1.09,0.84
PRES_1_0,1.2,1.17,,,1.26,1.0,,,,,1.26,1.16,0.96,,1.17,0.97,0.93,0.93,0.8,0.75,0.63,,1.36,1.15
PRES_0_1,1.38,1.14,0.97,,,,1.0,,,,1.27,1.27,,0.44,1.25,1.02,0.93,0.93,0.9,0.83,0.59,,1.42,1.1
PRES_1_1,1.35,1.28,,,1.29,,,1.0,,,1.06,1.31,1.04,,1.23,1.06,1.0,0.98,0.9,0.89,0.79,,1.49,1.2
PRES_1_3,,,,1.04,,,,,1.0,,,,1.46,,1.83,1.49,1.47,1.38,1.29,1.24,,,2.09,1.64
PRES_1_2,,,,1.62,,,,,,1.0,,,2.22,,2.79,2.29,,,1.57,,,,3.33,1.88
DEWP_1_0,1.02,0.97,0.77,,1.05,0.81,0.79,0.88,,,1.0,1.0,0.8,,1.02,0.79,0.73,0.69,0.71,0.66,,,1.12,0.89
DEWP_0_0,1.03,0.98,0.74,,1.04,0.85,0.78,0.76,,,1.01,1.0,,,0.97,0.82,0.79,0.8,0.69,0.7,0.53,0.4,1.14,0.9
DEWP_0_1,1.22,1.21,,0.74,1.27,1.03,,0.97,0.7,0.52,,,1.0,,1.27,1.01,0.97,0.95,0.87,0.83,0.59,,1.44,1.12
DEWP_1_1,,,2.04,,,,2.09,,,,,,,1.0,2.6,1.78,1.57,,2.07,,,,2.92,
WSPM_0_1,1.01,0.98,0.76,0.56,1.03,0.84,0.79,0.8,0.56,0.37,0.98,1.02,0.8,0.33,1.0,0.83,0.72,0.77,0.72,0.39,0.34,,1.14,0.88
WSPM_0_0,1.26,1.17,0.96,0.71,1.31,1.02,0.96,0.89,0.67,,1.23,1.19,0.97,,1.2,1.0,1.02,0.88,0.87,0.95,0.7,,1.4,1.07
WSPM_1_1,1.37,1.28,1.02,0.74,1.38,1.04,1.04,1.02,0.65,,1.34,1.27,1.0,,1.33,0.99,1.0,1.16,0.79,0.87,,,1.49,1.22
WSPM_1_2,1.4,1.32,1.04,0.61,1.42,1.09,1.07,1.06,0.72,,1.52,1.38,1.03,,1.3,1.12,0.78,1.0,1.09,1.28,,,1.49,1.28
WSPM_1_0,1.45,1.37,1.11,0.82,1.47,1.25,1.1,1.04,0.77,,1.4,1.43,1.13,,1.39,1.18,1.27,1.03,1.0,1.06,,,1.62,1.23
WSPM_0_2,1.56,1.44,1.32,0.92,1.52,1.27,1.35,1.13,0.81,,1.46,1.4,1.21,,2.59,1.04,1.2,0.81,1.07,1.01,,,1.68,1.36
WSPM_1_3,2.58,2.03,,,2.9,1.55,1.7,1.26,,,,2.07,1.68,,3.0,1.4,,,,,1.0,,2.41,2.53
WSPM_0_3,2.4,2.46,,,2.35,,,,,,,2.53,,,,,,,1.78,,,1.0,,2.07
PM10_0,0.9,0.85,0.68,0.49,0.92,0.74,0.7,0.67,0.47,0.28,0.88,0.88,0.69,0.33,0.87,0.72,0.68,0.68,0.62,0.62,0.43,,1.0,0.78
PM10_1,1.13,1.09,0.86,0.65,1.17,0.93,0.9,0.85,0.66,0.45,1.13,1.11,0.92,,1.15,0.85,0.78,0.73,0.79,0.71,,0.5,1.27,1.0
