,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,1.66,0.47,,,1.27,0.66,0.18,0.26,,,1.08,0.96,0.15,,0.96,1.28,1.01,0.78,1.57,0.32,0.16,,1.01,1.18,0.86
TEMP_0_0,0.47,1.91,,,0.74,1.12,0.05,1.2,,,0.42,1.04,1.03,,0.93,1.15,0.7,0.5,1.43,0.78,0.67,0.53,1.06,1.0,0.88
TEMP_1_1,,,3.93,,0.13,,3.35,,,,1.6,0.34,,1.52,1.03,1.16,0.94,0.88,1.44,0.29,,,1.16,1.22,0.55
TEMP_0_2,,,,10.87,,,,,10.57,5.54,,,3.76,,0.99,1.22,0.64,0.34,1.81,0.83,,,1.06,1.13,0.66
PRES_0_0,1.35,0.8,0.09,,1.6,0.27,,0.05,,,1.02,0.96,0.26,,0.98,1.19,0.87,0.71,1.5,0.46,0.16,0.4,0.94,1.2,1.01
PRES_1_0,0.82,1.48,,,0.37,3.09,,,,,0.55,1.14,0.69,,0.95,1.2,0.75,0.55,1.51,0.59,0.62,,1.15,0.97,0.79
PRES_0_1,0.28,0.09,3.24,,,,3.64,,,,1.62,0.3,,1.36,1.1,1.09,0.89,0.73,1.46,0.26,0.43,,1.17,1.21,0.51
PRES_1_1,0.51,1.81,,,0.07,,,4.22,,,0.08,1.07,1.54,,0.69,1.48,1.13,0.79,1.49,0.74,0.45,,1.19,0.9,0.52
PRES_1_3,,,,10.9,,,,,12.31,,,,3.77,,0.84,1.38,0.76,0.41,1.97,0.99,,,1.17,1.03,0.62
PRES_1_2,,,,10.64,,,,,,45.75,,,3.68,,1.8,,,,,,,,,1.62,
DEWP_1_0,1.09,0.51,1.07,,0.99,0.42,1.13,0.05,,,1.75,0.29,,,1.18,1.08,0.73,0.5,1.53,0.33,,,0.94,1.29,0.86
DEWP_0_0,1.03,1.18,0.16,,0.93,1.0,0.15,0.74,,,0.29,1.81,,,0.79,1.36,1.08,0.87,1.47,0.39,0.56,0.58,1.19,0.98,0.69
DEWP_0_1,0.28,1.44,,2.47,0.44,0.83,,1.53,2.32,1.43,,,3.78,,0.73,1.18,0.73,0.7,1.52,1.32,0.55,,0.99,1.03,1.07
DEWP_1_1,,,3.94,,,,3.65,,,,,,,34.34,1.34,1.1,1.09,,2.12,,,,1.43,0.86,
WSPM_0_1,0.91,0.99,0.58,0.42,0.89,0.73,0.65,0.4,0.33,0.44,1.06,0.74,0.44,0.29,1.75,0.44,0.36,0.23,1.18,,,,0.95,1.23,0.81
WSPM_0_0,0.96,0.88,0.53,0.34,0.85,0.73,0.5,0.66,0.37,,0.82,0.91,0.51,,0.31,2.89,1.13,0.38,3.16,0.09,,,1.22,0.96,0.43
WSPM_1_1,1.12,0.67,0.6,0.29,0.87,0.6,0.57,0.72,0.3,,0.8,1.08,0.48,,0.63,1.82,3.61,0.14,1.05,0.13,,,1.12,1.17,0.77
WSPM_1_2,1.04,0.65,0.71,0.19,0.9,0.6,0.61,0.66,0.22,,0.73,1.1,0.57,,0.31,0.8,0.06,4.19,0.43,,,,1.26,0.98,0.82
WSPM_1_0,0.98,0.83,0.52,0.45,0.82,0.85,0.52,0.55,0.44,,0.83,0.9,0.6,,0.68,2.55,0.82,0.18,3.24,0.17,,,1.16,1.02,0.67
WSPM_0_2,0.64,1.32,0.34,0.59,0.87,0.83,0.32,0.8,0.66,,0.6,0.6,1.54,,,0.17,0.15,,0.52,6.13,,,0.63,1.12,1.96
WSPM_1_3,0.46,1.6,,,0.6,1.07,0.76,0.66,,,,1.32,0.99,,,,,,,,18.56,,1.55,0.98,
WSPM_0_3,0.44,2.02,,,1.3,,,,,,,1.86,,,,,,,,,,32.73,,1.3,2.27
PM10_0,0.88,0.96,0.57,0.36,0.75,0.85,0.6,0.68,0.4,,0.74,1.0,0.56,0.3,0.83,1.48,1.0,0.86,1.72,0.31,0.51,,1.59,0.63,0.21
PM10_1,0.98,0.84,0.58,0.42,0.95,0.58,0.6,0.47,0.33,0.45,0.99,0.78,0.51,0.16,1.08,1.03,0.81,0.53,1.36,0.5,0.16,0.33,0.62,1.69,0.69
PM10_2,1.01,1.05,0.33,0.22,1.18,0.73,0.34,0.28,0.2,,1.04,0.64,0.86,,1.02,0.64,0.61,0.36,1.06,1.55,,1.14,0.14,1.01,4.79
