,ENE_0,NE_0,E_0,ESE_0,SE_0,N_0,SW_0,NNE_0,NW_0,SSW_0,SSE_0,NNW_0,S_0,WSW_0,WNW_0,W_0,NNE_1,ENE_1,E_1,NE_1,NW_2,NW_1,NE_3,ESE_1,SW_1,SW_2,NNE_2,NE_6,NNW_1,WSW_1,SE_1,WNW_1,S_1,WSW_2,ENE_2,N_1,ENE_3,ESE_2,NW_3,nan_0,NE_2,NE_4,E_2,WNW_2,SSE_1,SSW_1,WSW_4,SW_3,NW_4,WNW_3,S_2,WSW_3,ENE_7,SE_4,ENE_4,N_2,W_1,ENE_5,WNW_4,SSW_2,NNW_2,WNW_6,ESE_3,E_3,NNW_3,SSW_3,W_2,ESE_5,S_3,NNW_4,SE_3,N_3,SE_2,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE_0,1.0,0.97,0.98,0.85,0.89,0.8,0.85,0.86,0.74,0.74,0.82,0.84,0.85,0.78,0.7,0.9,0.59,0.56,0.63,0.83,,,,,,,0.58,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.18,1.59,1.2,1.43,1.48,1.53,1.33,1.52,1.35,1.7,,1.64,0.99
NE_0,1.02,1.0,0.96,0.91,0.83,0.84,0.94,0.84,0.81,0.89,0.81,0.76,0.86,0.84,0.76,0.85,0.73,0.61,0.6,0.64,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,1.21,1.62,1.26,1.48,1.48,1.55,1.38,1.56,1.41,1.73,,1.67,1.0
E_0,1.02,1.04,1.0,0.87,0.92,0.96,0.8,0.84,0.71,0.72,0.78,0.87,0.81,0.77,0.75,0.89,0.66,0.77,0.68,0.85,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.2,1.65,1.22,1.46,1.5,1.6,1.34,1.56,1.43,1.74,,1.68,0.99
ESE_0,1.13,1.07,1.12,1.0,0.95,0.93,0.78,0.93,0.71,0.77,0.74,0.93,0.83,0.82,0.89,0.91,0.62,0.49,0.75,0.59,,,,0.55,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,1.24,1.75,1.31,1.58,1.56,1.67,1.44,1.66,1.47,1.85,,1.79,1.13
SE_0,1.16,1.26,1.09,1.09,1.0,1.09,0.87,1.13,0.85,0.9,0.89,0.78,0.91,0.97,0.77,0.82,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.34,1.91,1.41,1.77,1.65,1.82,1.58,1.77,1.58,1.99,,1.92,1.48
N_0,1.19,1.16,1.11,1.01,0.95,1.0,1.0,1.03,0.99,0.86,0.8,0.91,1.07,0.96,0.87,0.87,0.89,0.8,,,,,,,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,1.48,1.85,1.53,1.74,1.74,1.8,1.66,1.86,1.6,2.01,,1.91,1.09
SW_0,1.1,1.07,1.24,1.21,1.22,0.95,1.0,0.97,1.07,1.06,1.22,0.94,1.03,0.82,0.94,0.88,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.3,1.92,1.24,1.87,1.67,1.91,1.53,1.72,1.76,2.04,,1.96,1.53
NNE_0,1.18,1.17,1.15,1.11,0.84,0.99,0.92,1.0,0.95,0.74,0.91,1.0,0.84,0.7,0.85,0.9,0.87,0.98,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,1.49,1.86,1.49,1.71,1.83,1.82,1.68,1.84,1.6,2.04,,1.96,1.19
NW_0,1.42,1.22,1.47,1.36,1.23,1.02,0.94,1.07,1.0,1.14,0.98,0.99,0.97,0.82,0.91,0.84,,,,,0.66,0.71,,,,,,,0.76,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.89,1.93,1.88,1.83,1.79,1.85,1.78,1.96,1.61,2.08,,2.07,1.34
SSW_0,1.49,1.2,1.39,1.37,1.13,1.23,0.97,1.41,0.93,1.0,1.02,0.96,0.97,0.95,0.86,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,1.45,1.96,1.44,1.9,1.75,1.97,1.59,1.82,1.73,2.09,,2.03,1.44
SSE_0,1.19,1.27,1.28,1.29,1.14,1.19,0.95,1.09,1.04,0.91,1.0,1.02,0.95,0.91,0.94,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,1.41,2.05,1.49,1.91,1.67,1.98,1.68,1.87,1.85,2.13,,2.06,1.49
NNW_0,1.29,1.35,1.19,1.03,1.37,1.05,1.16,0.99,1.03,1.04,1.03,1.0,1.34,0.95,0.95,0.81,0.76,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,1.83,1.96,1.94,1.84,1.82,1.95,1.73,2.02,1.68,2.13,,2.07,1.35
S_0,1.17,1.23,1.26,1.21,1.05,1.07,1.04,1.24,1.07,1.02,1.06,0.79,1.0,1.05,0.94,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,1.46,2.04,1.4,1.94,1.75,2.04,1.62,1.88,1.83,2.15,,2.07,1.66
WSW_0,1.19,1.17,1.29,1.22,0.98,1.01,1.19,1.32,1.22,1.12,1.18,0.99,0.97,1.0,1.0,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,1.37,2.1,1.36,1.97,1.81,2.09,1.71,1.92,1.84,2.21,,2.15,1.51
WNW_0,1.46,1.33,1.28,1.06,1.18,1.09,1.04,1.16,1.13,1.23,1.01,1.07,1.1,1.0,1.0,0.99,,,,,0.7,0.77,,,,,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,1.98,2.03,1.95,1.94,1.89,1.94,1.8,2.03,1.74,2.21,,2.15,1.4
W_0,1.11,1.09,1.09,1.08,1.28,1.09,1.17,0.98,1.12,1.31,1.1,1.18,1.26,1.05,1.06,1.0,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,1.55,2.17,1.58,2.04,1.82,2.07,1.77,1.93,1.85,2.26,,2.17,1.59
NNE_1,1.63,1.42,1.4,1.6,,1.05,1.27,1.21,1.46,,,1.29,,1.27,1.21,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39,1.9,2.42,1.77,2.15,2.26,2.21,2.03,2.34,2.05,2.56,,2.45,1.47
ENE_1,1.58,1.65,1.39,1.82,,1.27,1.24,1.08,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53,2.05,2.46,2.17,1.87,2.31,2.35,1.73,2.31,2.28,2.62,,2.54,1.58
E_1,1.5,1.53,1.72,1.5,1.38,,,1.17,,1.08,1.14,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51,1.73,2.49,1.55,2.2,2.21,2.35,1.95,2.37,1.96,2.62,,2.53,1.83
NE_1,1.28,1.5,1.37,1.42,1.23,1.06,,1.05,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,2.01,2.42,1.93,2.29,2.14,2.4,1.94,2.35,2.0,2.62,,2.53,1.7
