,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_1_0,1.0,1.0,,,,,0.96,0.93,0.91,0.76,,,,1.05,0.82,0.88,0.73,0.74,,0.93,0.91,0.9,0.8,0.68,0.65,0.64,0.54,0.54,,1.19,0.92
TEMP_0_0,1.0,1.0,,,,,0.94,0.96,0.86,0.78,,,,1.07,0.9,0.66,0.75,0.73,,0.91,0.93,0.84,0.78,0.7,0.65,0.62,0.65,0.46,,1.19,0.9
TEMP_1_1,,,1.0,,,,1.1,,0.98,,0.8,,,1.2,1.21,0.99,,,,1.06,1.06,0.96,0.92,0.79,0.75,0.71,0.7,,,1.37,1.06
TEMP_0_2,,,,1.0,,,1.15,,,1.15,,0.93,,1.53,1.21,,,1.03,,1.43,1.3,1.23,1.11,0.94,0.91,0.88,0.86,,,1.68,1.31
TEMP_0_1,,,,,1.01,,1.63,1.52,1.5,1.21,,0.95,,2.11,,,1.14,,,1.39,1.19,1.33,,1.09,1.08,0.93,0.91,0.67,,1.81,1.39
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.05,1.02,0.91,0.74,0.65,1.02,1.0,0.99,0.94,0.66,,,1.02,1.11,0.91,0.9,0.73,0.77,1.02,1.02,0.96,0.94,0.83,0.7,0.7,0.59,0.54,0.43,1.02,1.25,0.95
PRES_1_1,1.07,1.05,,,0.69,,1.03,1.0,0.86,,,,,1.12,0.91,,0.79,0.77,,0.95,0.95,0.89,0.87,0.73,0.68,0.67,0.7,0.51,,1.25,0.96
PRES_1_0,1.11,1.13,1.02,,,,1.06,1.0,1.0,,,,,1.19,1.0,0.99,0.83,,,0.98,1.06,0.95,0.89,0.8,0.71,0.77,0.71,0.69,,1.34,1.07
PRES_1_2,1.3,1.28,,0.87,0.84,,1.48,,,1.0,,,,1.34,1.13,,0.96,,,1.19,1.2,1.1,0.98,0.89,0.85,0.79,0.77,0.62,,1.53,1.15
PRES_0_1,,,1.26,,,,,,,,0.99,,,,,1.24,,,,1.36,1.32,,,0.96,0.92,0.92,,,,1.73,1.27
PRES_1_3,,,,1.06,1.01,,,,,,,1.0,,1.69,1.25,,1.15,1.09,,1.52,1.33,1.31,1.2,0.96,0.95,0.93,0.92,0.56,,1.75,1.39
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,0.95,0.95,0.84,0.65,0.63,0.7,0.9,0.89,0.84,0.75,,0.57,0.7,1.0,0.85,,,,0.7,0.88,0.86,0.82,0.76,0.63,0.61,0.51,0.41,,0.7,1.12,0.86
DEWP_0_0,1.14,1.12,0.95,0.8,,,1.16,1.1,1.0,0.89,,0.76,,1.17,1.0,,,,,0.99,1.07,0.97,0.84,0.82,0.76,0.8,0.78,0.55,,1.37,1.05
DEWP_1_1,1.14,0.96,1.02,,,,1.11,,1.01,,0.81,,,,,1.0,,,,1.08,1.07,1.02,0.93,0.79,0.75,0.7,0.71,,,1.39,1.08
DEWP_0_2,1.35,1.33,,,0.88,,1.32,1.26,1.22,1.06,,0.84,,,,,1.01,,,1.25,1.14,1.14,,0.93,0.88,0.82,0.8,0.59,,1.58,1.22
DEWP_0_1,1.41,1.35,,0.95,,,1.21,1.29,,,,0.9,,,,,,1.0,,1.28,1.23,1.16,1.03,0.9,0.86,0.88,0.83,0.66,,1.61,1.25
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.1,1.1,0.94,0.69,0.72,,0.98,1.05,0.99,0.84,0.74,0.65,,1.13,1.03,0.92,0.8,0.78,,1.0,1.48,0.57,,0.62,0.79,0.46,,,,1.3,0.93
WSPM_0_1,1.08,1.05,0.95,0.77,0.73,,1.05,1.04,0.9,0.85,0.76,0.72,,1.15,0.93,0.93,0.83,0.78,,0.68,1.0,0.79,0.9,0.85,0.69,0.8,0.73,,,1.3,0.96
WSPM_0_3,1.13,1.17,1.01,0.81,0.75,,1.05,1.1,1.03,0.91,,0.77,,1.2,1.04,0.94,0.87,0.86,,1.77,1.16,1.0,,0.76,0.8,0.72,,,,1.37,1.02
WSPM_0_4,1.26,1.27,1.04,0.88,,,1.18,1.15,1.11,1.02,,0.8,,1.32,1.11,1.07,,0.93,,,1.11,,1.0,0.82,0.89,0.74,,,,1.5,1.13
WSPM_0_0,1.48,1.42,1.24,1.02,0.9,,1.61,1.38,1.3,1.13,1.0,0.96,,1.58,1.27,1.27,1.06,1.07,,1.47,1.22,1.15,1.11,1.0,0.91,0.98,0.93,,,1.71,1.78
