,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_1_0,0.88,1.19,,,,,0.94,1.07,0.91,1.02,,,,1.0,0.95,1.11,1.46,1.43,,0.98,1.01,1.03,0.87,0.73,0.64,0.76,0.73,0.81,,1.19,0.92
TEMP_0_0,1.19,0.87,,,,,1.15,0.91,0.96,0.93,,,,1.13,0.88,1.74,0.87,0.79,,0.98,0.99,0.94,1.12,0.77,0.7,0.69,0.73,0.63,,1.17,0.96
TEMP_1_1,,,0.8,,,,1.05,,1.08,,0.7,,,1.42,2.19,0.83,,,,1.17,1.01,1.23,1.19,0.82,0.69,0.88,1.11,,,1.29,1.31
TEMP_0_2,,,,0.71,,,1.95,,,1.04,,0.71,,1.62,1.25,,,0.89,,1.81,1.48,1.51,0.98,0.97,0.92,1.06,0.99,,,1.64,1.3
TEMP_0_1,,,,,0.69,,2.18,1.67,2.07,1.01,,0.91,,3.24,,,0.84,,,1.81,1.8,1.14,,1.07,1.04,1.04,1.12,0.64,,1.75,1.29
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.03,1.18,0.93,1.46,1.24,,0.85,1.67,1.1,,,,,1.08,1.19,0.94,1.26,1.3,,1.08,1.0,1.05,0.93,0.81,0.72,0.77,0.74,0.72,,1.24,0.95
PRES_1_1,1.14,0.96,,,0.93,,1.72,0.85,1.94,,,,,1.19,0.94,,0.85,0.8,,1.02,1.02,0.96,1.18,0.79,0.69,0.75,0.79,0.69,,1.23,1.0
PRES_1_0,1.06,1.18,1.15,,,,1.19,2.45,0.82,,,,,1.15,1.06,1.11,1.26,,,1.12,1.15,1.08,0.96,0.82,0.68,0.89,0.87,0.92,,1.28,1.18
PRES_1_2,1.4,1.3,,0.85,0.77,,,,,0.76,,,,1.41,1.05,,0.94,,,1.27,1.4,1.23,1.1,0.84,0.81,0.84,0.89,0.73,,1.46,1.18
PRES_0_1,,,0.99,,,,,,,,0.69,,,,,0.97,,,,1.32,1.23,,,0.98,0.84,1.04,,,,1.6,1.45
PRES_1_3,,,,0.78,0.94,,,,,,,0.68,,2.22,1.45,,1.15,0.89,,1.84,1.44,1.31,1.19,1.1,1.01,1.05,1.09,0.73,,1.72,1.35
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,0.91,1.01,1.07,0.86,1.43,,0.9,1.01,0.87,0.93,,1.0,,0.9,1.15,,,,,0.93,0.99,0.9,0.8,0.78,0.65,0.71,0.71,,,1.14,0.86
DEWP_0_0,1.17,1.04,1.97,0.94,,,1.36,1.11,1.09,0.89,,1.01,,1.45,0.81,,,,,1.18,1.05,1.21,1.24,0.75,0.7,0.78,0.78,0.69,,1.29,1.29
DEWP_1_1,1.37,2.1,0.85,,,,1.08,,1.09,,0.7,,,,,0.79,,,,1.17,0.99,1.49,1.19,0.83,0.69,0.88,1.11,,,1.31,1.2
DEWP_0_2,2.01,1.32,,,0.69,,1.66,1.2,1.48,1.01,,0.91,,,,,0.74,,,1.33,1.58,1.06,,0.94,0.88,0.89,0.94,0.64,,1.53,1.18
DEWP_0_1,2.01,1.24,,0.84,,,1.73,1.17,,,,0.77,,,,,,0.73,,1.37,1.42,1.28,1.19,0.92,0.92,0.9,0.8,0.69,,1.54,1.3
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.1,1.1,1.09,1.09,1.12,,1.05,1.12,1.07,0.99,0.85,1.01,,1.12,1.22,1.06,0.97,0.96,,0.83,2.48,,,0.99,0.9,0.71,,,,1.26,0.99
WSPM_0_1,1.18,1.11,0.95,1.02,1.28,,1.11,1.12,1.01,1.12,0.83,0.93,,1.26,0.96,0.92,1.29,1.07,,1.16,0.83,,,0.98,0.64,0.99,1.09,,,1.23,1.15
WSPM_0_3,1.22,1.15,1.26,1.11,0.75,,1.14,1.13,1.1,1.07,,0.89,,1.2,1.24,1.41,0.87,1.03,,,2.65,0.8,,1.2,1.04,1.05,,,,1.41,0.96
WSPM_0_4,1.21,1.44,1.32,0.83,,,1.17,1.48,1.11,1.13,,0.88,,1.22,1.45,1.33,,1.1,,,,,0.76,1.48,1.25,,,,,1.53,1.03
WSPM_0_0,1.49,1.47,1.32,1.19,1.04,,1.56,1.52,1.38,1.17,1.1,1.29,,1.66,1.22,1.38,1.19,1.25,,1.98,1.39,1.72,,0.73,0.68,0.98,1.05,,,1.58,1.93
WSPM_1_0,1.54,1.56,1.36,1.31,1.25,,1.44,1.58,1.57,1.3,1.22,1.37,,1.71,1.32,1.36,1.36,1.48,,1.46,1.37,1.79,1.85,0.85,0.77,1.13,1.41,,,1.67,2.03
WSPM_1_1,1.5,1.67,1.61,1.43,1.42,,1.93,1.5,1.5,1.36,1.32,1.28,,2.51,1.25,1.72,1.37,1.19,,2.68,1.37,1.86,,0.87,0.92,0.69,,,,1.74,
WSPM_1_2,1.73,1.49,1.96,1.29,1.34,,1.83,1.45,1.47,1.4,,1.28,,2.8,1.2,1.93,1.38,1.12,,,1.69,,,0.92,1.15,,0.66,,,1.76,
WSPM_1_3,2.0,2.11,,,1.13,,2.08,1.94,1.79,1.56,,1.44,,,1.74,,1.37,1.32,,,,,,1.46,,,,0.57,,2.18,2.21
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.89,0.89,0.81,0.75,0.74,,0.88,0.89,0.81,0.79,0.7,0.74,,0.97,0.8,0.81,0.79,0.75,,0.85,0.81,0.89,0.85,0.62,0.55,0.62,0.64,0.55,,0.97,0.97
PM10_1,1.13,1.1,1.33,0.88,0.83,,1.05,1.1,1.09,1.02,1.06,0.81,,1.11,1.17,1.21,0.92,0.98,,1.11,1.31,0.93,0.88,0.71,0.67,0.66,,,,1.5,0.84
