,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,0.61,9.14,,,0.84,1.58,3.94,2.93,,,1.06,1.16,5.0,,1.42,1.24,0.95,1.01,1.11,2.03,2.44,,1.34,1.2,1.2
TEMP_0_0,9.9,0.53,,,1.73,0.79,16.32,0.62,,,2.75,1.08,0.75,,1.22,1.36,2.36,2.18,1.62,0.86,0.65,0.56,1.27,1.49,1.2
TEMP_1_1,,,0.25,,11.75,,0.31,,,,0.94,6.22,,0.25,1.73,1.87,1.68,1.4,1.91,2.93,,,1.74,1.71,2.96
TEMP_0_2,,,,0.09,,,,,0.09,0.09,,,0.42,,2.47,2.97,3.75,5.2,2.32,1.71,,,2.77,2.53,4.62
PRES_0_0,0.83,1.55,7.88,,0.63,11.37,,,,,1.07,1.16,2.82,,1.22,1.26,1.21,1.17,1.26,1.31,2.0,0.77,1.45,1.12,0.94
PRES_1_0,2.02,0.98,,,15.8,0.33,,,,,2.9,1.18,1.38,,1.6,1.6,2.08,2.08,1.51,1.44,0.93,,1.38,2.11,1.68
PRES_0_1,5.6,20.53,0.3,,,,0.27,,,,0.88,6.86,,0.27,1.53,2.0,1.75,1.65,1.93,3.16,1.32,,1.66,1.67,2.92
PRES_1_1,4.22,0.85,,,,,,0.24,,,21.36,1.38,0.68,,2.55,1.53,1.46,1.62,1.84,1.33,1.52,,1.51,2.21,4.13
PRES_1_3,,,,0.1,,,,,0.08,,,,0.44,,3.16,2.7,3.33,4.6,2.28,1.51,,,2.53,3.12,5.57
PRES_1_2,,,,0.18,,,,,,0.02,,,0.78,,2.44,,,,,,,,,2.49,
DEWP_1_0,1.08,2.64,0.67,,1.13,2.19,0.65,16.3,,,0.58,12.96,,,1.01,1.34,1.65,1.84,1.35,1.8,,,1.6,1.09,1.09
DEWP_0_0,1.21,1.04,4.45,,1.22,0.95,5.1,0.96,,,13.16,0.56,,,1.66,1.2,1.02,0.98,1.26,1.84,0.76,0.54,1.08,1.54,1.97
DEWP_0_1,6.84,0.98,,0.27,3.99,1.47,,0.65,0.27,0.27,,,0.26,,2.27,2.0,2.09,1.74,1.7,0.66,1.01,,1.78,1.95,1.23
DEWP_1_1,,,0.66,,,,0.73,,,,,,,0.03,3.39,,,,,,,,3.35,6.3,
WSPM_0_1,1.44,1.19,1.24,1.16,1.3,1.23,1.15,1.79,1.4,0.63,1.01,1.68,1.67,0.99,0.58,,8.97,17.88,2.93,,,,1.56,1.11,1.22
WSPM_0_0,1.69,1.74,1.8,1.84,1.77,1.67,1.96,1.44,1.58,,1.79,1.6,1.95,,,0.44,2.55,6.24,0.6,,,,1.36,2.07,4.52
WSPM_1_1,1.46,2.89,1.76,2.42,1.83,2.34,1.87,1.46,2.11,,2.43,1.44,2.17,,17.21,2.38,0.28,,,,,,1.71,1.95,2.43
WSPM_1_2,1.53,3.08,1.49,3.55,1.79,2.5,1.81,1.67,2.99,,2.8,1.42,1.88,,23.91,7.55,,0.24,,,,,1.52,2.5,2.94
WSPM_1_0,1.81,2.57,2.22,1.73,2.07,2.07,2.29,2.06,1.62,,2.17,2.04,2.01,,4.24,0.76,,,0.54,9.53,,,1.82,2.34,3.03
WSPM_0_2,3.56,1.4,3.65,1.35,2.36,1.92,4.07,1.55,1.13,,3.16,3.03,0.83,,,,,,10.98,0.16,,,3.77,2.17,0.68
WSPM_1_3,7.08,1.68,,,6.38,1.91,2.68,2.64,,,,2.0,2.02,,,,,,,,0.05,,2.27,6.11,
WSPM_0_3,,1.9,,,2.7,,,,,,,1.85,,,,,,,,,,0.03,,3.04,1.03
PM10_0,1.33,1.18,1.2,1.23,1.46,1.06,1.18,1.01,1.07,,1.55,1.04,1.25,0.94,1.48,0.98,1.17,1.01,1.09,2.18,0.82,,0.67,5.31,
PM10_1,1.22,1.43,1.23,1.18,1.18,1.6,1.25,1.56,1.38,0.64,1.09,1.54,1.42,1.78,1.11,1.59,1.32,1.7,1.45,1.22,2.04,0.88,5.45,0.65,2.89
PM10_2,2.03,1.81,3.49,3.46,1.61,2.11,3.56,4.24,3.96,,1.8,2.99,1.48,,1.96,5.71,2.65,2.87,2.97,0.67,,0.53,,4.57,0.23
