,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1
TEMP_1_0,0.9,0.9,,,0.96,0.82,0.95,1.02,,,0.93,0.94,1.27,,0.92,0.67,0.66,0.7,0.55,0.81,0.55,0.75,1.06,0.79
TEMP_0_0,1.04,0.87,,,1.06,0.82,1.57,0.77,,,1.1,0.97,0.86,,0.97,0.71,0.71,0.79,0.57,0.73,0.57,0.48,1.12,0.86
TEMP_1_1,,4.08,0.78,,2.05,1.78,0.82,,,,1.16,1.48,,0.41,1.17,0.88,0.81,0.9,0.71,1.07,,,1.36,1.06
TEMP_0_2,,,,0.64,,,,,0.63,0.48,,,1.06,,1.61,1.16,1.22,1.44,0.87,0.97,,,1.8,1.28
PRES_0_0,0.91,0.89,1.13,,0.91,0.84,,1.06,,,0.92,0.93,1.13,,0.93,0.65,0.65,0.69,0.54,0.82,0.5,0.63,1.05,0.76
PRES_1_0,1.13,1.0,,,1.22,0.8,,2.49,,,1.29,1.07,1.07,,1.07,0.84,0.87,1.0,0.64,0.77,0.7,,1.27,1.04
PRES_0_1,1.82,1.57,0.77,,,,0.79,,,,1.14,1.41,,0.41,1.12,0.86,0.8,0.88,0.71,1.07,0.69,,1.33,1.01
PRES_1_1,1.35,1.09,,,1.61,0.91,,0.76,,,1.43,1.26,0.96,,1.16,0.86,0.83,0.91,0.7,0.91,1.05,,1.38,1.13
PRES_1_3,,,,0.66,,,,,0.62,,,,1.1,,1.7,1.19,1.32,1.44,0.93,1.15,,,1.87,1.38
PRES_1_2,,,,1.0,,,,,,0.49,,,1.6,,2.26,2.1,,,1.09,,,,2.74,1.4
DEWP_1_0,0.99,1.01,0.78,,1.04,0.91,0.79,1.54,,,0.9,1.04,1.53,,0.94,0.68,0.67,0.69,0.57,0.85,0.45,,1.07,0.81
DEWP_0_0,0.97,0.87,1.01,,1.01,0.81,1.11,0.81,,,1.07,0.89,,,0.92,0.69,0.68,0.77,0.55,0.81,0.65,0.48,1.08,0.82
DEWP_0_1,1.3,1.08,,0.67,1.3,1.0,,0.9,0.64,0.59,,,0.78,,1.23,0.84,0.9,0.93,0.67,0.75,0.67,,1.38,1.0
DEWP_1_1,,,1.47,,,,1.53,,,,,,,0.51,2.1,1.25,1.21,,1.39,,,,2.54,1.91
WSPM_0_1,0.97,0.93,0.86,0.67,1.0,0.87,0.88,0.95,0.71,0.42,0.93,1.02,0.95,0.44,0.89,0.71,0.69,0.83,0.56,0.75,0.68,,1.09,0.77
WSPM_0_0,1.2,1.1,1.08,0.95,1.3,0.98,1.08,0.97,0.89,,1.24,1.11,1.12,,1.15,0.8,0.84,0.87,0.65,1.11,0.92,,1.3,1.02
WSPM_1_1,1.29,1.16,1.13,1.03,1.35,1.04,1.15,1.14,0.95,,1.3,1.22,1.17,,1.23,0.82,0.77,1.11,0.67,1.06,,,1.4,1.12
WSPM_1_2,1.3,1.25,1.1,0.83,1.37,1.04,1.16,1.2,1.01,,1.45,1.27,1.15,,1.25,0.95,0.77,0.76,0.81,1.69,0.83,,1.38,1.19
WSPM_1_0,1.36,1.27,1.26,1.06,1.43,1.16,1.22,1.11,0.98,,1.35,1.33,1.27,,1.29,0.95,1.02,1.05,0.75,1.2,,,1.49,1.11
WSPM_0_2,1.52,1.27,1.72,1.16,1.44,1.23,1.79,1.08,0.92,,1.44,1.37,1.12,,2.18,0.98,1.22,0.82,0.9,0.72,,,1.59,1.22
WSPM_1_3,2.82,1.63,,,2.71,1.38,1.74,1.32,,,3.91,1.83,1.63,,2.65,1.16,1.58,1.53,0.9,,0.58,,2.13,2.12
WSPM_0_3,2.14,1.98,,,2.01,,,,,,,2.06,,,,1.84,,,1.46,,,0.52,4.92,1.63
PM10_0,0.9,0.82,0.77,0.63,0.93,0.75,0.78,0.77,0.62,0.38,0.89,0.87,0.8,0.44,0.83,0.61,0.61,0.67,0.49,0.75,0.54,,0.96,0.75
PM10_1,1.06,1.01,1.06,0.87,1.1,0.94,1.11,0.99,0.88,0.74,1.07,1.09,1.04,,1.08,0.75,0.74,0.74,0.64,0.7,0.55,0.62,1.23,0.84
