,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_0_2,1.34,,,,,0.97,0.73,0.34,0.56,0.88,,1.01,0.49,0.73,1.98,,0.89,1.15,0.79,2.18,1.12,1.52,3.46,0.81,0.71,,1.26,1.66,1.37
TEMP_0_1,,2.95,,,,0.42,1.01,1.15,1.0,1.26,,1.23,,,,,0.77,1.16,1.35,2.55,1.58,2.01,3.88,,0.34,,1.27,2.01,1.9
TEMP_0_0,,,4.04,2.57,48.78,0.73,,0.86,2.03,2.21,48.78,,2.59,,,48.78,0.51,1.6,0.62,2.56,0.89,2.44,4.31,,0.63,48.78,1.22,1.74,1.34
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.05,0.33,0.47,,,1.77,,,0.14,0.32,,0.98,0.56,,,,0.94,1.2,0.75,2.5,1.25,2.0,3.9,0.34,0.41,,1.36,1.6,1.05
PRES_1_3,0.93,0.9,,,,,2.49,,,0.09,,1.06,0.42,0.67,1.99,,0.54,0.96,1.08,2.06,1.17,1.52,3.37,1.4,1.02,,1.09,1.79,2.0
PRES_1_1,0.48,1.21,0.93,7.53,,,0.07,4.41,0.53,1.05,,0.59,1.35,,4.35,,1.05,0.91,0.76,2.42,1.75,1.1,3.01,,0.74,,1.3,1.65,1.45
PRES_1_0,0.57,0.66,1.46,,30.450000000000003,0.11,,0.21,4.77,3.97,30.450000000000003,0.79,0.94,,,30.450000000000003,0.59,2.12,1.13,2.57,0.68,1.99,4.54,,0.73,30.450000000000003,1.3,2.02,1.52
PRES_0_0,0.72,0.57,1.14,,,0.33,0.07,0.43,3.27,6.17,,0.86,0.74,2.53,3.42,,1.04,1.36,0.87,1.46,0.69,1.66,3.02,,,,1.12,2.27,2.18
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.96,0.84,,,,0.86,0.79,0.4,0.73,1.02,,1.23,0.02,0.18,0.59,,0.92,1.14,1.01,2.26,1.07,1.75,3.65,0.48,0.46,,1.26,1.82,1.59
DEWP_0_1,0.62,0.04,2.22,3.47,25.89,0.7,0.4,1.13,1.11,1.35,25.89,0.03,2.62,0.38,1.78,25.89,0.46,1.45,0.55,2.51,1.58,1.8,3.79,0.66,1.14,25.89,1.26,1.51,1.16
DEWP_0_0,1.35,,,,,,,,3.78,5.03,,,,35.87,52.8,,2.3,,,,,,,,,,0.89,2.37,
DEWP_1_0,1.35,,,,,,,,,,,,,,43.77,,2.65,,,,,,,,,,1.07,2.12,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,0.95,0.58,0.33,,,0.92,0.46,0.63,0.77,1.13,,1.05,0.33,0.94,1.86,,2.87,0.48,0.07,0.94,0.13,0.47,1.9,,,,1.09,2.09,2.02
WSPM_0_1,0.84,0.6,0.76,,15.66,0.82,0.57,0.5,1.26,1.62,15.66,0.87,0.83,,,15.66,0.29,2.86,0.35,2.58,1.12,2.15,5.39,0.2,0.31,15.66,1.35,1.68,1.29
WSPM_0_2,0.77,0.95,0.48,3.72,,0.65,0.9,0.41,1.0,0.88,,1.05,0.38,,,,0.14,0.67,3.64,1.64,0.49,1.17,3.5,,,,1.28,2.01,1.26
WSPM_0_0,0.79,0.66,0.81,,,0.92,0.58,0.78,0.7,0.91,,0.89,0.74,,,,0.26,1.0,0.78,4.35,1.55,2.56,5.66,0.12,0.64,,1.41,1.32,0.68
WSPM_1_2,0.83,0.83,0.43,,,0.85,0.7,1.05,0.45,1.18,,0.8,1.02,,,,0.31,1.3,0.39,3.39,4.89,1.87,2.8,,0.74,,1.41,1.47,
WSPM_1_1,0.79,0.69,0.76,,,0.94,0.52,0.57,0.86,1.22,,0.93,0.67,,,,0.29,1.25,0.6,3.43,1.54,6.02,4.43,,,,1.41,1.57,0.82
WSPM_1_0,0.86,0.62,0.68,,,0.92,0.57,0.6,0.9,1.13,,0.94,0.66,,,,0.34,1.17,0.75,3.77,1.22,2.06,5.51,,,,1.37,1.36,0.82
WSPM_0_4,1.34,,,,,0.51,1.77,,,,,0.79,1.0,1.9,3.14,,,0.18,,,,0.54,0.46,7.51,,,0.62,2.12,3.33
WSPM_1_3,1.04,0.28,0.52,,,0.52,1.12,0.59,0.86,,,0.66,1.21,,,,,,,1.49,0.38,,1.12,,10.0,,1.25,1.5,2.61
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.91,0.6,0.53,0.94,8.16,0.92,0.61,0.66,0.7,0.97,8.16,0.91,0.71,0.36,1.31,8.16,0.57,1.38,0.72,2.97,1.87,2.33,4.18,0.24,0.92,8.16,1.44,1.44,0.82
PM10_1,0.82,0.72,0.59,1.03,,0.74,0.65,0.48,1.16,1.37,,0.95,0.59,0.66,1.13,,1.07,1.1,1.18,1.59,0.28,1.13,3.24,0.81,0.16,,1.19,2.29,1.62
PM10_2,0.91,0.55,0.55,,,0.5,1.24,0.41,0.83,1.41,,0.93,0.66,0.68,1.81,,1.47,0.55,0.96,0.73,,0.4,1.95,1.33,0.24,,0.55,2.01,4.39
