,ENE_0,NE_0,E_0,ESE_0,N_0,NW_0,NNW_0,WNW_0,NNE_0,SE_0,SW_0,WSW_0,SSW_0,W_0,NW_2,S_0,SSE_0,NW_1,ENE_1,NE_1,NNE_1,NW_3,E_1,NNW_1,NNW_2,N_1,WSW_1,WNW_1,ENE_2,SW_1,NNE_2,E_4,WSW_2,W_1,NE_2,NNW_3,WNW_2,S_1,NW_4,ENE_4,SSW_1,SE_1,N_2,ENE_6,ESE_2,ESE_1,WNW_5,SW_2,NNW_4,E_2,W_2,SSE_1,NE_3,E_3,WSW_3,ENE_3,ESE_3,N_3,WNW_3,SSW_2,NE_4,ESE_5,S_2,N_5,WNW_4,WSW_4,S_3,SE_2,nan_0,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,RAIN_0,WSPM_0,WSPM_1
ENE_0,1.0,0.95,1.01,0.87,0.93,0.75,0.85,0.76,0.84,0.75,0.7,0.85,0.75,0.92,,0.61,0.69,,0.76,0.91,0.71,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,1.21,1.4,1.18,1.48,,1.46,0.94,1.48,,1.48,1.41,1.13
NE_0,1.04,1.0,1.01,0.93,0.9,0.95,0.83,0.86,0.82,0.76,0.97,0.95,0.71,1.04,,0.64,0.53,,0.79,0.61,0.7,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.21,1.39,1.21,1.51,,1.5,0.99,1.51,,1.51,1.43,1.08
E_0,0.98,0.99,1.0,0.95,0.96,0.94,0.87,0.78,0.87,0.81,0.84,0.93,0.74,0.91,,0.71,0.65,,0.71,0.69,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,1.15,1.46,1.13,1.51,,1.49,0.92,1.51,,1.51,1.44,1.13
ESE_0,1.13,1.03,1.01,1.0,1.03,0.83,1.12,0.81,1.02,1.02,0.84,0.86,0.79,0.83,,0.76,0.8,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.24,1.58,1.21,1.62,,1.6,0.88,1.62,,1.62,1.54,1.42
N_0,0.99,1.1,1.05,0.95,1.0,1.04,1.02,0.89,0.91,0.81,0.79,0.7,,0.81,0.98,0.78,0.84,,,0.88,0.8,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,1.53,1.52,1.53,1.63,,1.59,1.14,1.62,,1.63,1.54,1.29
NW_0,1.24,1.08,1.19,1.25,1.01,1.0,0.96,0.98,0.95,,0.76,0.92,0.82,0.9,0.75,,,0.84,,,,,,0.65,0.66,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,1.75,1.53,1.58,1.63,,1.61,1.15,1.63,,1.63,1.56,1.28
NNW_0,1.13,1.23,1.15,0.89,1.03,1.02,1.0,0.93,0.96,0.94,,0.84,,0.75,0.87,,,0.9,,,0.68,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,1.76,1.57,1.7,1.66,,1.62,1.29,1.65,,1.66,1.53,1.34
WNW_0,1.31,1.12,1.32,1.2,1.08,1.01,1.05,1.0,0.95,,0.8,1.06,0.72,1.04,0.83,1.06,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.69,1.61,1.7,1.73,,1.71,1.07,1.73,,1.73,1.66,1.36
NNE_0,1.19,1.2,1.12,1.02,1.08,1.11,1.06,1.04,1.0,0.96,0.81,1.03,1.05,0.9,,0.72,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,1.48,1.63,1.42,1.73,,1.7,1.08,1.73,,1.73,1.61,1.34
SE_0,1.26,1.24,1.18,1.01,1.45,,0.98,,1.02,1.0,0.88,1.03,0.84,1.21,,1.03,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,1.31,1.72,1.34,1.77,,1.78,1.03,1.77,,1.77,1.69,1.54
SW_0,1.42,1.06,1.28,1.28,1.22,1.43,,1.24,1.04,1.09,1.0,0.9,1.01,0.86,,1.06,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78,1.15,1.75,1.15,1.81,,1.81,0.98,1.81,,1.81,1.74,1.49
WSW_0,1.11,0.98,1.0,1.1,1.34,1.17,1.34,0.89,0.96,1.05,1.09,1.0,1.26,0.84,,1.18,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,1.32,1.78,1.19,1.81,,1.82,1.08,1.82,,1.81,1.74,1.73
