,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_0_2,2.33,,,,,2.72,3.92,5.01,7.34,15.62,,1.47,2.91,337.06,1182.57,,5.37,5.47,6.37,18.29,12.56,22.32,45.75,28.89,36.89,,2.04,4.75,13.16
TEMP_0_1,,21.93,,,,1.13,5.36,17.37,13.47,22.75,,1.8,,,,,4.59,5.21,10.85,21.04,17.33,28.65,48.73,,15.27,,1.94,6.11,13.34
TEMP_0_0,,,58.3,,,1.98,,14.58,31.64,44.8,,,16.42,,,,3.52,8.05,5.18,25.73,10.39,33.08,55.87,,30.53,,1.93,5.5,13.24
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.82,2.35,6.61,,,5.11,,,,2.17,,1.42,3.49,,,,5.63,5.67,5.91,22.28,13.91,29.57,51.71,12.33,20.77,,2.25,4.58,8.58
PRES_1_3,1.62,6.74,,,,,13.62,,,,,1.53,2.42,222.26,1130.41,,3.35,4.73,8.83,16.34,13.17,20.86,40.88,49.73,52.18,,1.77,5.04,20.53
PRES_1_1,0.84,9.02,13.15,14322.93,,,,76.68,,7.04,,0.87,8.35,,,,6.16,4.02,5.73,24.31,21.55,21.25,48.95,,36.19,,2.2,4.57,9.21
PRES_1_0,0.99,4.95,20.67,,,,,,88.89,54.42,,1.16,5.82,,,,3.28,9.49,8.92,20.64,5.29,24.1,57.38,,34.66,,1.93,6.12,11.42
PRES_0_0,1.24,4.23,16.14,,,0.28,,,33.1,191.94,,1.19,4.58,2167.2,,,7.65,7.37,8.7,9.24,8.2,20.21,31.46,,,,1.17,8.48,23.1
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,1.67,6.28,,,,2.42,4.23,5.92,10.06,18.35,,1.8,,,,,5.59,5.34,8.24,19.45,11.43,25.73,48.32,16.64,22.84,,1.98,5.33,13.74
DEWP_0_1,1.08,,31.27,6605.76,,1.96,2.16,18.29,16.79,24.68,,,16.44,,,,2.63,7.19,4.24,21.64,19.33,23.84,46.81,24.4,58.42,,2.13,4.42,11.27
DEWP_0_0,2.33,,,,,,,,,155.69,,,,30770.24,,,17.32,,,,,,,,,,0.97,9.81,
DEWP_1_0,2.33,,,,,,,,,,,,,,80028.0,,19.92,,,,,,,,,,,7.43,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.65,4.3,5.5,,,2.58,2.51,10.67,9.84,29.4,,1.52,2.17,757.13,1698.82,,21.9,0.39,,2.32,,,13.1,,,,1.32,7.32,24.05
WSPM_0_1,1.46,4.21,10.8,,,2.26,3.1,6.55,18.44,26.25,,1.25,5.12,,,,0.4,21.15,0.68,8.57,4.43,13.93,53.83,,,,2.19,4.84,8.16
WSPM_0_2,1.34,7.08,5.96,,,1.87,4.72,6.88,14.17,21.49,,1.54,2.38,,,,,0.45,41.58,4.19,,5.87,25.38,,,,1.61,7.61,14.29
WSPM_0_0,1.36,4.87,11.4,,,2.56,2.97,11.94,11.55,13.54,,1.3,4.6,,,,0.39,2.23,1.55,72.49,13.87,42.69,152.67,,15.92,,2.72,2.2,3.51
WSPM_1_2,1.44,6.17,6.03,,,2.3,3.75,15.85,5.0,19.99,,1.14,6.02,,,,,2.15,,21.35,101.8,12.76,13.51,,,,2.73,2.31,
WSPM_1_1,1.37,5.16,10.36,,,2.71,2.86,8.23,9.7,18.56,,1.37,3.97,,,,,4.51,3.21,44.66,6.4,199.11,36.78,,,,2.73,3.3,4.18
WSPM_1_0,1.49,4.45,9.25,,,2.56,2.87,9.28,14.86,13.87,,1.36,4.06,,,,1.06,5.69,2.54,62.02,5.97,27.9,144.65,,,,2.51,3.17,6.94
WSPM_0_4,2.33,,,,,1.49,9.66,,,,,1.16,5.53,1089.03,,,,,,,,,,323.97,,,0.59,7.8,36.23
WSPM_1_3,1.81,2.08,7.34,,,1.5,6.12,10.05,9.87,,,0.96,7.48,,,,,,,5.73,,,,,760.81,,2.49,2.44,17.06
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.57,4.39,7.39,2253.48,,2.6,3.25,10.15,10.08,12.0,,1.32,4.38,,,,2.74,6.58,4.71,28.64,21.44,36.12,61.87,4.48,45.96,,2.83,2.46,2.21
PM10_1,1.43,5.37,8.37,,,2.05,3.54,7.63,15.76,33.32,,1.38,3.6,430.05,926.33,,7.55,5.11,11.53,7.68,2.01,10.37,31.24,34.6,6.63,,1.08,10.63,12.11
PM10_2,1.58,4.13,7.8,,,1.34,6.38,5.16,10.89,36.75,,1.37,3.77,,2588.41,,9.83,2.78,9.08,5.15,,6.14,16.97,55.28,18.45,,0.19,4.98,72.06
