,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_1_0,2.72,0.14,,,,,1.46,0.79,1.51,0.57,,,,1.57,0.95,0.57,0.09,0.09,,1.14,0.75,0.8,1.4,0.94,1.19,1.27,0.99,0.73,,0.92,1.11,1.08
TEMP_0_0,0.13,2.79,,,,,0.51,2.01,0.9,0.95,,,,0.87,1.67,0.03,1.24,1.83,,1.17,1.06,1.19,0.42,0.84,0.63,0.9,1.33,1.13,,0.98,1.03,1.04
TEMP_1_1,,,5.53,,,,1.69,,0.89,,5.55,,,0.53,0.05,4.4,,,,0.89,1.76,0.53,0.57,1.26,1.43,0.72,0.3,,,1.25,0.81,
TEMP_0_2,,,,13.85,,,0.09,,,3.02,,10.95,,0.75,1.25,,,4.74,,0.34,0.67,0.55,3.64,1.13,0.89,0.7,1.3,,,1.02,0.82,1.64
TEMP_0_1,,,,,17.67,,0.13,0.7,,4.57,,3.67,,0.05,,,9.65,,,0.33,0.18,3.13,,1.29,0.87,1.13,0.91,6.25,,0.8,0.97,2.48
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.47,0.49,1.69,0.09,0.13,,3.37,0.02,0.23,,,,,1.39,0.38,1.56,0.19,0.19,,1.04,1.06,0.92,1.24,0.83,1.12,0.6,0.7,0.61,,0.82,1.22,1.23
PRES_1_1,0.8,2.01,,,0.68,,0.02,3.54,,,,,,0.83,1.38,,1.7,2.15,,1.07,1.01,1.27,0.42,0.81,0.85,1.21,1.35,1.2,,1.02,0.96,1.07
PRES_1_0,1.48,0.93,0.91,,,,0.22,,4.69,,,,,1.34,1.04,0.99,0.3,,,0.86,0.95,0.98,1.44,1.0,0.99,0.96,1.06,0.66,,1.12,0.92,0.51
PRES_1_2,0.58,0.96,,2.99,4.55,,,,,8.3,,,,0.78,2.15,,2.42,,,1.0,0.56,0.91,1.16,1.72,1.13,1.52,1.24,1.98,,1.03,1.01,0.8
PRES_0_1,,,5.52,,,,,,,,15.98,,,,,5.83,,,,1.49,1.81,,,1.53,1.32,0.94,,,,1.22,0.9,
PRES_1_3,,,,10.98,3.71,,,,,,,17.81,,0.23,0.71,,2.08,6.11,,0.41,0.87,1.45,1.94,0.62,0.6,1.0,1.14,2.05,,1.07,0.45,2.76
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,1.57,0.87,0.53,0.74,0.05,,1.39,0.83,1.35,0.78,,0.22,,2.19,0.11,,,,,1.25,0.73,1.19,1.67,0.59,0.73,0.34,0.15,,,0.76,1.26,1.44
DEWP_0_0,0.97,1.65,0.05,1.25,,,0.39,1.38,1.04,2.13,,0.71,,0.11,4.99,,,,,0.54,1.33,0.55,0.3,1.77,1.62,2.28,2.55,1.59,,1.4,0.59,0.07
DEWP_1_1,0.56,0.02,4.4,,,,1.56,,0.98,,5.86,,,,,5.85,,,,0.94,2.0,0.24,0.6,1.06,1.39,0.64,0.32,,,1.1,1.1,
DEWP_0_2,0.09,1.25,,,9.65,,0.19,1.7,0.31,2.43,,2.06,,,,,9.91,,,0.96,0.26,2.35,,1.21,0.77,1.4,1.17,3.5,,0.96,0.76,2.24
DEWP_0_1,0.09,1.83,,4.75,,,0.19,2.15,,,,6.13,,,,,,11.05,,0.92,0.56,0.94,1.03,1.04,0.57,1.79,3.05,3.72,,1.2,0.64,1.18
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.14,1.17,0.89,0.33,0.33,,1.02,1.08,0.88,1.0,1.49,0.4,,1.23,0.59,0.94,0.95,0.91,,4.02,,,,,0.41,,,,,0.93,1.22,0.65
WSPM_0_1,0.75,1.06,1.77,0.67,0.18,,1.08,1.01,0.92,0.55,1.83,0.87,,0.73,1.32,2.0,0.26,0.56,,,4.02,,,,0.87,0.19,,,,1.26,0.77,0.09
WSPM_0_3,0.8,1.2,0.54,0.55,3.12,,0.91,1.28,0.98,0.91,,1.45,,1.18,0.56,0.24,2.35,0.95,,,,5.36,,,0.22,,,,,0.52,1.34,2.73
WSPM_0_4,1.4,0.42,0.57,3.65,,,1.24,0.41,1.44,1.17,,1.92,,1.66,0.32,0.6,,1.04,,,,,7.89,,,,,,,0.47,1.55,2.28
WSPM_0_0,0.93,0.85,1.26,1.13,1.23,,0.84,0.8,0.99,1.72,1.53,0.62,,0.57,1.81,1.06,1.17,1.04,,,,,,9.55,5.25,1.41,0.78,,,1.5,0.41,
WSPM_1_0,1.23,0.57,1.44,0.89,0.83,,1.02,0.86,1.09,1.13,1.32,0.6,,0.74,1.59,1.39,0.77,0.57,,0.32,0.94,0.18,,5.52,5.65,,,,,1.32,0.63,
WSPM_1_1,1.21,0.97,0.72,0.7,1.18,,0.65,1.18,0.93,1.54,0.94,1.0,,0.4,2.13,0.67,1.42,1.73,,,0.16,,,1.29,,19.28,,,,1.6,0.27,
WSPM_1_2,1.02,1.3,0.3,1.3,0.91,,0.79,1.31,1.0,1.24,,1.14,,0.22,2.37,0.32,1.17,3.05,,,,,,0.6,,,24.44,,,1.64,0.2,
WSPM_1_3,0.68,1.18,,,6.4,,0.61,1.2,0.66,1.98,,2.2,,,1.59,,3.58,3.72,,,,,,,,,,69.2,,1.64,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.91,0.98,1.25,1.02,0.79,,0.82,1.01,1.13,1.02,1.23,1.07,,0.75,1.4,1.11,0.96,1.2,,0.92,1.24,0.51,0.46,1.52,1.41,1.64,1.7,1.62,,1.67,0.17,
PM10_1,1.12,1.02,0.81,0.82,0.97,,1.21,0.97,0.91,1.02,0.91,0.45,,1.26,0.59,1.09,0.76,0.63,,1.23,0.8,1.35,1.55,0.37,0.55,0.21,0.11,,,0.17,2.55,0.37
PM10_2,1.09,1.05,,1.62,2.48,,1.26,1.04,0.52,0.8,,2.71,,1.44,0.08,,2.23,1.19,,0.66,0.08,2.76,2.33,,,,,,,,0.39,9.75
