,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_0_2,1.53,,,,,1.21,1.06,0.59,0.86,1.35,,1.1,0.73,2.29,5.79,,1.21,1.38,1.09,2.7,1.51,2.06,4.66,1.68,1.48,,1.31,1.78,1.88
TEMP_0_1,,4.68,,,,0.51,1.46,2.03,1.59,1.92,,1.34,,,,,1.04,1.32,1.85,3.18,2.08,2.66,5.08,,0.65,,1.27,2.22,2.17
TEMP_0_0,,,7.56,,,0.89,,1.65,3.57,3.79,,,4.01,,,,0.77,2.0,0.87,3.61,1.24,3.1,5.87,,1.26,,1.26,1.98,1.83
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.19,0.51,0.86,,,2.26,,,0.08,0.3,,1.06,0.86,,,,1.27,1.43,1.02,3.23,1.69,2.71,5.25,0.71,0.84,,1.43,1.71,1.3
PRES_1_3,1.06,1.44,,,,,3.69,,,,,1.14,0.61,1.74,6.03,,0.75,1.16,1.49,2.53,1.56,2.01,4.41,2.9,2.1,,1.15,1.9,2.86
PRES_1_1,0.55,1.93,1.72,28.65,,,,8.64,0.31,0.98,,0.65,2.05,,12.07,,1.4,1.03,1.01,3.46,2.49,1.72,4.82,,1.48,,1.41,1.71,1.51
PRES_1_0,0.65,1.06,2.7,,,0.04,,0.18,9.36,5.56,,0.87,1.43,,,,0.76,2.46,1.52,3.01,0.74,2.59,5.89,,1.44,,1.29,2.22,1.69
PRES_0_0,0.81,0.9,2.11,,,0.22,,0.33,4.56,13.58,,0.9,1.13,12.01,10.62,,1.62,1.81,1.43,1.44,0.9,1.66,3.2,,,,0.88,2.97,3.41
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,1.09,1.34,,,,1.08,1.15,0.7,1.16,1.57,,1.34,,,1.41,,1.26,1.34,1.4,2.86,1.38,2.37,4.92,0.98,0.93,,1.29,1.98,2.04
DEWP_0_1,0.71,,4.08,13.22,,0.87,0.58,2.1,1.89,2.16,,0.01,4.03,,4.28,,0.6,1.8,0.73,3.21,2.28,2.25,4.97,1.4,2.35,,1.35,1.62,1.59
DEWP_0_0,1.53,,,,,,,,4.25,11.21,,,,170.47,171.0,,3.67,,,,,,,,,,0.81,3.43,
DEWP_1_0,1.53,,,,,,,,,,,,,,252.0,,4.22,,,,,,,,,,,2.35,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.08,0.92,0.69,,,1.15,0.68,1.21,1.22,2.24,,1.13,0.53,4.46,7.2,,4.62,0.23,,0.64,,0.3,1.7,,,,0.98,2.55,3.24
WSPM_0_1,0.96,0.92,1.41,,,1.02,0.84,0.78,2.03,2.3,,0.93,1.26,,,,0.21,4.53,0.26,2.3,1.05,2.07,7.0,,,,1.41,1.84,1.27
WSPM_0_2,0.88,1.51,0.82,15.51,,0.83,1.3,0.78,1.67,1.69,,1.15,0.58,,,,,0.32,6.37,1.1,0.2,0.92,3.27,,,,1.19,2.56,1.85
WSPM_0_0,0.89,1.04,1.49,,,1.15,0.82,1.39,1.28,1.34,,0.97,1.13,,,,0.13,0.84,0.53,8.03,1.89,4.06,11.62,,0.93,,1.62,1.08,0.7
WSPM_1_2,0.94,1.32,0.79,,,1.04,1.01,1.94,0.6,1.71,,0.86,1.48,,,,,1.05,0.31,4.53,9.79,2.06,2.51,,,,1.61,1.13,
WSPM_1_1,0.9,1.1,1.35,,,1.2,0.77,0.93,1.26,1.8,,1.02,0.98,,,,,1.41,0.81,5.72,1.3,13.35,5.44,,,,1.61,1.35,0.85
WSPM_1_0,0.98,0.95,1.21,,,1.13,0.79,1.07,1.62,1.48,,1.02,1.0,,,,0.32,1.51,0.62,6.59,1.19,2.41,10.47,,,,1.54,1.25,1.03
WSPM_0_4,1.52,,,,,0.66,2.61,,,,,0.87,1.42,8.55,18.1,,,,,,,,,17.9,,,0.49,2.62,5.01
WSPM_1_3,1.19,0.44,0.96,,,0.66,1.66,1.14,1.2,,,0.72,1.84,,,,,,,1.22,,,,,27.16,,1.46,1.2,2.94
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.03,0.94,0.96,3.41,51.21,1.15,0.88,1.18,1.12,1.19,51.21,0.99,1.07,,,51.21,0.65,1.67,0.85,4.06,2.58,3.2,5.95,0.31,1.9,51.21,1.67,1.21,0.61
PM10_1,0.93,1.15,1.1,,,0.92,0.96,0.89,1.86,2.62,,1.03,0.88,2.86,4.69,,1.65,1.28,1.87,1.42,0.23,1.26,3.74,1.91,0.24,,0.95,3.2,2.05
PM10_2,1.03,0.88,1.02,,,0.62,1.76,0.63,1.39,2.87,,1.02,0.98,,10.41,,2.15,0.67,1.52,0.89,,0.63,2.21,3.18,0.66,,0.3,2.17,8.25
