,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_1_0,188.27,102.33,,,,262187487730998.4,347.12,139.36,1498.21,2795.01,,,262187487730998.4,46.65,968.11,723.04,885.24,1419.68,262187487730998.4,437.0,472.9,925.01,6341.11,198336.97,1099539.34,847402.49,784239.86,27622325.84,262187487730998.4,13.53,166.69,45557.03
TEMP_0_0,104.4,215.36,31.83,,,,160.52,358.92,772.7,4732.93,,,,27.74,2031.97,53.52,12040.99,27522.2,,429.12,569.06,1178.96,1835.48,266191.36,1207196.31,1272442.71,1736344.6,42219041.87,,14.86,153.25,36829.93
TEMP_1_1,,,5189.11,,,,326.47,,930.03,,393569.68,,,13.26,124.42,5195.43,,,,368.44,849.59,527.68,2602.69,268650.85,1676894.67,794869.92,230373.91,,,17.66,135.66,4579.55
TEMP_0_2,,,,513605.26,,,30.1,,,15531.44,,1120171.87,,23.74,1263.63,,,71292.56,,161.71,323.41,614.31,15389.03,210823.35,951298.84,919889.25,1337416.57,,,13.23,128.1,48452.98
TEMP_0_1,,,,,1749762.69,,79.3,132.59,338.18,21882.4,,375691.05,,3.52,,,93776.09,,,137.03,109.11,3315.99,,245173.27,937249.67,919201.55,894371.19,228539189.13,,13.44,171.35,96108.56
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,114.96,73.58,1672.25,3359.5,12907.87,326717714303158.4,562.3,50.66,1103.26,358.06,,,326717714303158.4,37.21,624.38,1909.33,1851.66,2857.76,326717714303158.4,393.93,576.61,994.96,5479.44,197591.3,1195389.55,594490.57,707852.39,16063040.15,326717714303158.4,13.87,168.02,40560.51
PRES_1_1,104.73,185.77,,,67490.41,,71.75,573.76,129.58,,,,,26.26,1349.86,,16527.58,32359.53,,412.3,555.95,1327.59,2101.08,240926.0,1208072.1,1157824.05,1428018.33,44418977.67,,14.13,155.93,47026.35
PRES_1_0,144.97,120.59,968.03,,,,288.86,17.21,3079.96,,,,,41.2,1479.46,1285.58,2933.31,,,314.68,543.53,992.91,6223.6,265212.11,1270100.75,949554.3,1127979.21,35460266.39,,16.17,153.58,20652.63
PRES_1_2,99.94,111.45,,110829.0,450531.3,,29.54,,,39760.56,,,,28.89,2174.1,,23555.58,,,386.73,348.79,945.89,4628.9,312226.41,1216714.22,1477227.45,1443491.94,82178247.99,,14.69,151.11,41378.96
PRES_0_1,,,5065.61,,,,,,,,1033418.9,,,,,6665.03,,,,612.07,809.11,,,245684.59,1602398.58,1041084.63,,,,17.17,118.87,6122.94
PRES_1_3,,,,406900.24,367221.86,,42.33,,,,,1822598.57,,9.97,761.17,,20174.82,91891.44,,201.17,416.86,1573.83,8844.66,155512.41,815566.35,1212933.86,1007784.71,53762907.61,,13.85,120.57,74564.75
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,149.91,115.85,552.48,27414.81,5401.71,205087983613307.25,319.01,154.12,1278.91,4086.56,,22975.88,205087983613307.25,55.52,878.03,,,,205087983613307.25,439.71,397.06,1217.34,7342.62,149002.69,1009170.32,502678.61,275222.24,,205087983613307.25,12.69,171.9,48744.53
DEWP_0_0,121.79,180.64,66.45,46428.08,,,150.52,234.12,823.56,10196.57,,72675.41,,25.1,3907.58,,,,,262.6,816.84,706.08,1565.83,388366.37,1552415.44,2032823.3,2616448.83,57506070.33,,17.24,120.47,18115.23
DEWP_1_1,37.45,4.24,4210.29,,,,310.97,,1102.68,,415772.4,,,,,6826.96,,,,390.81,928.82,269.11,2749.52,274149.51,1716192.91,701248.41,304212.7,,,16.84,154.82,9303.66
DEWP_0_2,27.81,103.03,,,955404.31,,110.32,308.68,567.87,11658.44,,210284.41,,,,,96303.05,,,370.03,154.29,2322.77,,252648.77,999245.55,1233291.3,1133720.08,127919546.13,,14.26,161.35,75018.18
DEWP_0_1,35.38,143.11,,176261.72,,,67.72,375.83,,,,627064.37,,2.55,91.24,,,166279.58,,379.74,385.44,1029.14,4108.05,273715.14,877779.52,1502314.03,2956312.07,137935581.66,,15.82,126.21,42426.73
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,124.48,121.79,878.21,12132.62,33149.14,,227.62,199.06,958.1,4777.43,99196.13,40572.95,,33.21,915.63,1106.53,9242.5,13682.2,,1160.44,336.51,63.0,,87797.33,1048721.75,351357.4,152618.84,,,15.07,167.25,25441.0
