,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,0.7,2.31,,,0.93,1.42,4.34,3.19,,,1.07,1.19,5.84,,1.21,0.65,0.74,0.99,0.44,2.04,2.52,,1.16,0.96,0.81
TEMP_0_0,2.85,0.64,,,1.87,0.86,19.97,0.74,,,2.93,1.19,0.91,,1.33,0.86,1.42,1.71,0.57,0.97,0.71,0.64,1.25,1.29,0.93
TEMP_1_1,,,0.38,,17.39,,0.46,,,,1.31,6.17,,0.35,2.02,1.33,1.47,1.58,0.91,4.04,,,1.87,1.66,2.24
TEMP_0_2,,,,0.18,,,,,0.18,0.19,,,0.82,,4.23,2.62,4.46,8.42,1.45,3.02,,,4.33,3.66,3.71
PRES_0_0,0.83,1.26,8.7,,0.72,3.04,,17.45,,,1.06,1.15,3.24,,1.11,0.7,0.87,1.08,0.48,1.4,1.91,0.89,1.2,0.9,0.65
PRES_1_0,2.18,1.21,,,5.19,0.45,,,,,3.58,1.51,1.93,,1.9,1.06,1.67,2.08,0.64,1.74,1.19,,1.6,1.96,1.55
PRES_0_1,7.8,19.07,0.43,,,,0.4,,,,1.22,6.6,,0.37,1.76,1.37,1.5,1.8,0.86,4.27,1.66,,1.74,1.59,2.26
PRES_1_1,4.35,1.17,,,31.23,,,0.36,,,21.89,2.04,1.03,,3.0,1.1,1.34,1.84,0.86,1.77,2.31,,1.93,2.37,2.75
PRES_1_3,,,,0.2,,,,,0.17,,,,0.9,,5.49,2.53,4.28,7.72,1.47,2.77,,,4.16,4.47,4.34
PRES_1_2,,,,0.54,,,,,,0.07,,,2.33,,6.51,,,,,,,,,6.65,
DEWP_1_0,1.12,2.23,0.78,,1.28,2.04,0.76,17.85,,,0.68,4.1,,,1.0,0.8,1.06,1.43,0.49,2.01,,,1.28,0.92,0.8
DEWP_0_0,1.21,0.98,5.18,,1.34,0.97,5.97,1.12,,,4.2,0.66,,,1.48,0.68,0.8,1.0,0.49,1.91,0.91,0.6,1.06,1.22,1.22
DEWP_0_1,6.77,1.32,,0.39,4.64,1.85,,0.92,0.39,0.4,,,0.39,,2.73,1.27,1.9,1.95,0.8,0.87,1.32,,2.11,1.95,1.11
DEWP_1_1,,,1.82,,,,2.03,,,,,,,0.08,7.43,5.95,4.61,,4.01,,,,7.08,9.24,
WSPM_0_1,1.33,1.2,1.43,1.34,1.41,1.25,1.35,2.13,1.6,0.75,1.09,1.64,1.97,1.04,0.68,2.29,1.81,3.86,0.7,,,,1.33,0.94,0.84
WSPM_0_0,2.03,1.99,2.58,2.59,2.39,2.09,2.78,1.96,2.28,,2.29,1.95,2.76,,5.27,0.5,1.39,2.89,0.36,12.18,,,1.63,1.96,2.35
WSPM_1_1,2.12,2.79,2.66,3.53,2.64,2.66,2.77,2.1,3.19,,2.92,2.01,3.22,,4.31,0.77,0.42,25.94,0.94,10.72,,,1.91,1.97,2.04
WSPM_1_2,2.29,3.39,2.29,4.92,2.62,3.03,2.78,2.49,4.6,,3.66,2.11,2.86,,6.76,2.32,10.5,0.37,5.19,,,,1.87,2.43,2.69
WSPM_1_0,2.7,3.01,3.62,2.83,3.21,2.86,3.64,3.33,2.64,,3.14,3.07,3.28,,3.44,0.82,3.23,8.36,0.5,9.82,,,2.38,2.63,2.82
WSPM_0_2,4.77,2.1,6.67,2.28,3.52,2.71,7.45,2.44,1.92,,4.88,4.51,1.4,,,10.68,11.91,,3.72,0.28,,,4.49,2.62,0.87
WSPM_1_3,16.47,3.8,,,14.83,4.08,6.24,5.19,,,,4.59,4.7,,,,,,,,0.13,,4.16,8.42,
WSPM_0_3,16.64,4.54,,,6.79,,,,,,,5.03,,,,,,,,,,0.08,,8.06,2.07
PM10_0,1.32,1.12,1.37,1.41,1.55,1.08,1.35,1.15,1.24,,1.53,1.11,1.45,1.03,1.33,0.57,0.86,0.92,0.41,2.26,0.91,,0.73,1.76,5.24
PM10_1,1.22,1.33,1.46,1.34,1.3,1.5,1.48,1.77,1.57,0.71,1.17,1.52,1.65,2.11,1.09,0.86,0.9,1.51,0.55,1.28,1.84,1.04,2.06,0.7,0.94
PM10_2,2.79,2.35,5.7,5.65,2.49,2.81,5.81,5.72,6.47,,2.74,3.93,2.43,,2.62,2.71,2.73,3.66,1.36,1.03,,0.86,9.88,2.58,0.34
