,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1
TEMP_1_0,0.89,0.91,,,0.95,0.86,1.02,1.03,,,0.93,0.94,1.28,,0.92,0.71,0.71,0.76,0.59,0.89,0.66,0.84,1.02,0.81
TEMP_0_0,1.02,0.86,,,1.03,0.84,1.6,0.81,,,1.09,0.95,0.87,,0.96,0.73,0.75,0.84,0.62,0.78,0.66,0.58,1.07,0.88
TEMP_1_1,,3.97,0.75,,1.89,1.82,0.78,,,,1.05,1.38,,0.47,1.08,0.85,0.81,0.89,0.72,1.07,,,1.21,1.01
TEMP_0_2,,,,0.59,,,,,0.59,0.48,,,0.92,,1.35,1.02,1.1,1.3,0.8,0.92,,,1.47,1.1
PRES_0_0,0.9,0.89,1.2,,0.9,0.9,,1.16,,,0.92,0.93,1.16,,0.93,0.7,0.7,0.75,0.6,0.88,0.56,0.72,1.02,0.78
PRES_1_0,1.07,0.95,,,1.17,0.77,,,,,1.23,1.01,1.03,,1.01,0.82,0.87,0.98,0.65,0.8,0.78,,1.16,1.02
PRES_0_1,1.62,1.5,0.74,,,,0.76,,,,1.04,1.32,,0.47,1.04,0.85,0.8,0.88,0.72,1.08,0.75,,1.19,0.97
PRES_1_1,1.23,0.99,,,1.51,,,0.73,,,1.34,1.15,0.91,,1.08,0.83,0.82,0.91,0.69,0.91,1.13,,1.23,1.07
PRES_1_3,,,,0.6,,,,,0.58,,,,0.94,,1.42,1.04,1.18,1.29,0.84,1.04,,,1.5,1.19
PRES_1_2,,,,0.81,,,,,,0.43,,,1.21,,1.64,1.55,,,0.9,,,,2.0,1.05
DEWP_1_0,0.97,1.02,0.81,,1.02,0.94,0.81,1.65,,,0.88,1.05,1.69,,0.93,0.72,0.71,0.74,0.61,0.91,0.49,,1.03,0.83
DEWP_0_0,0.95,0.87,1.07,,0.99,0.84,1.17,0.85,,,1.07,0.87,,,0.91,0.72,0.73,0.83,0.6,0.87,0.74,0.57,1.04,0.85
DEWP_0_1,1.23,1.0,,0.68,1.22,0.97,,0.87,0.66,0.64,,,0.75,,1.15,0.83,0.89,0.92,0.68,0.76,0.73,,1.24,0.95
DEWP_1_1,,,1.15,,,,1.19,,,,,,,0.46,1.56,1.05,0.95,,1.16,,,,1.84,1.48
WSPM_0_1,0.95,0.93,0.89,0.76,0.98,0.9,0.9,1.01,0.81,0.56,0.92,1.02,0.99,0.52,0.88,0.75,0.73,0.9,0.6,0.74,0.7,,1.05,0.8
WSPM_0_0,1.1,1.03,1.07,0.97,1.19,0.98,1.05,0.95,0.91,,1.15,1.04,1.08,,1.11,0.77,0.85,0.86,0.66,1.2,0.98,,1.17,0.96
WSPM_1_1,1.17,1.06,1.07,1.0,1.23,0.99,1.1,1.05,0.94,,1.18,1.1,1.11,,1.13,0.79,0.74,1.24,0.66,1.12,,,1.24,1.07
WSPM_1_2,1.2,1.13,1.04,0.85,1.25,1.0,1.11,1.11,1.06,,1.34,1.16,1.09,,1.14,0.91,0.77,0.73,0.87,1.8,,,1.21,1.09
WSPM_1_0,1.2,1.14,1.17,1.04,1.26,1.09,1.16,1.07,0.96,,1.2,1.2,1.16,,1.14,0.89,1.04,1.02,0.72,1.33,,,1.29,1.01
WSPM_0_2,1.33,1.13,1.58,1.08,1.25,1.12,1.63,1.04,0.9,,1.29,1.23,1.02,,2.35,0.93,1.19,0.85,0.88,0.68,,,1.38,1.09
WSPM_1_3,2.18,1.33,,,2.43,1.13,1.43,1.03,,,4.15,1.44,1.34,,2.66,1.06,,,0.85,,0.53,,1.63,1.75
WSPM_0_3,1.61,1.49,,,1.49,,,,,,,1.54,,,,1.52,,,1.24,,,0.46,,1.24
PM10_0,0.92,0.85,0.83,0.73,0.95,0.8,0.84,0.83,0.72,0.52,0.91,0.89,0.86,0.56,0.85,0.67,0.68,0.75,0.55,0.85,0.64,,0.95,0.81
PM10_1,1.0,0.97,1.06,0.9,1.04,0.96,1.11,1.0,0.94,0.79,1.03,1.06,1.02,,1.04,0.76,0.74,0.76,0.67,0.73,,0.69,1.16,0.82
