,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1
TEMP_1_0,0.89,0.89,,,0.94,0.84,0.98,1.06,,,0.92,0.93,1.32,,0.91,0.69,0.69,0.73,0.58,0.87,0.63,0.88,1.02,0.8
TEMP_0_0,1.01,0.86,,,1.02,0.83,1.6,0.79,,,1.07,0.94,0.87,,0.94,0.72,0.73,0.81,0.6,0.77,0.64,0.56,1.06,0.85
TEMP_1_1,,3.74,0.75,,1.86,1.68,0.78,,,,1.06,1.35,,0.45,1.07,0.83,0.78,0.87,0.7,1.05,,,1.21,0.98
TEMP_0_2,,,,0.59,,,,,0.59,0.48,,,0.92,,1.33,1.0,1.07,1.26,0.78,0.87,,,1.46,1.08
PRES_0_0,0.89,0.89,1.18,,0.9,0.86,,1.11,,,0.91,0.92,1.18,,0.92,0.68,0.68,0.72,0.58,0.88,0.57,0.75,1.02,0.77
PRES_1_0,1.05,0.93,,,1.13,0.77,,2.44,,,1.19,1.0,1.04,,1.0,0.82,0.85,0.98,0.64,0.77,0.75,,1.15,0.99
PRES_0_1,1.66,1.45,0.74,,,,0.76,,,,1.04,1.3,,0.45,1.03,0.83,0.77,0.86,0.7,1.06,0.73,,1.19,0.95
PRES_1_1,1.22,0.99,,,1.45,0.85,,0.73,,,1.3,1.14,0.91,,1.05,0.81,0.8,0.87,0.68,0.89,1.1,,1.22,1.04
PRES_1_3,,,,0.6,,,,,0.58,,,,0.94,,1.39,1.01,1.14,1.25,0.82,1.02,,,1.49,1.16
PRES_1_2,,,,0.81,,,,,,0.43,,,1.21,,1.64,1.58,,,0.84,,,,1.93,1.04
DEWP_1_0,0.97,1.0,0.81,,1.02,0.93,0.81,1.59,,,0.88,1.02,1.57,,0.92,0.7,0.69,0.72,0.6,0.9,0.52,,1.03,0.82
DEWP_0_0,0.95,0.86,1.04,,0.98,0.82,1.14,0.84,,,1.04,0.87,,,0.9,0.71,0.7,0.8,0.58,0.86,0.74,0.56,1.04,0.83
DEWP_0_1,1.19,0.99,,0.69,1.19,0.95,,0.87,0.66,0.66,,,0.75,,1.13,0.81,0.87,0.9,0.66,0.74,0.71,,1.23,0.93
DEWP_1_1,,,1.15,,,,1.19,,,,,,,0.46,1.56,0.97,0.95,,1.11,,,,1.84,1.45
WSPM_0_1,0.95,0.92,0.89,0.73,0.97,0.88,0.9,0.98,0.78,0.51,0.91,1.0,0.98,0.52,0.88,0.72,0.71,0.86,0.59,0.79,0.77,,1.04,0.77
WSPM_0_0,1.1,1.02,1.04,0.98,1.19,0.94,1.04,0.94,0.92,,1.15,1.03,1.08,,1.06,0.77,0.82,0.85,0.65,1.1,0.98,,1.17,0.96
WSPM_1_1,1.16,1.06,1.07,1.04,1.22,0.97,1.09,1.09,0.97,,1.17,1.11,1.11,,1.11,0.78,0.74,1.06,0.65,1.04,,,1.23,1.03
WSPM_1_2,1.17,1.13,1.04,0.84,1.23,0.97,1.09,1.14,1.02,,1.3,1.15,1.08,,1.13,0.89,0.73,0.73,0.78,1.65,0.86,,1.22,1.1
WSPM_1_0,1.2,1.13,1.16,1.05,1.25,1.06,1.13,1.03,0.97,,1.19,1.17,1.18,,1.14,0.87,0.95,0.98,0.71,1.15,,,1.29,1.0
WSPM_0_2,1.32,1.12,1.58,1.14,1.25,1.11,1.63,1.0,0.9,,1.26,1.2,1.03,,1.91,0.89,1.12,0.76,0.84,0.68,,,1.36,1.09
WSPM_1_3,2.21,1.29,,,2.12,1.12,1.43,1.09,,,3.07,1.44,1.34,,2.09,0.95,1.31,1.28,0.76,,0.53,,1.63,1.71
WSPM_0_3,1.59,1.49,,,1.49,,,,,,,1.54,,,,1.43,,,1.17,,,0.46,3.58,1.24
PM10_0,0.91,0.84,0.82,0.72,0.94,0.79,0.83,0.82,0.71,0.47,0.91,0.89,0.85,0.54,0.84,0.65,0.65,0.73,0.54,0.83,0.63,,0.95,0.78
PM10_1,1.0,0.97,1.06,0.92,1.04,0.93,1.1,0.99,0.94,0.86,1.02,1.04,1.04,,1.02,0.74,0.74,0.74,0.65,0.72,0.6,0.7,1.14,0.82
