,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.47,0.24,0.98,0.63,0.3,0.79,0.69,0.5,0.62,0.42,0.44,0.55,0.39,0.96,0.5
PRES_0_1,1.0,1.0,,,0.98,0.63,0.31,0.79,0.69,0.5,0.62,0.42,0.44,0.55,0.39,0.96,0.5
PRES_0_0,3.41,,0.69,,3.29,,,2.45,2.01,1.86,,1.34,,,0.94,3.24,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.02,1.02,0.46,0.24,0.99,1.24,,0.81,0.69,0.52,0.63,0.43,0.47,0.55,0.39,0.98,0.51
DEWP_1_0,1.96,1.95,,,,0.76,0.28,1.43,2.91,0.94,,0.81,0.68,,,1.89,1.08
DEWP_0_0,4.58,4.06,,,,1.99,0.6,2.57,,1.83,,1.64,1.68,,,4.36,1.65
WSPM_0_1,1.26,1.25,0.66,,1.24,0.74,0.33,0.91,1.17,0.61,1.59,0.52,0.54,0.68,0.48,1.2,0.62
WSPM_0_2,1.58,1.59,0.52,0.36,1.53,1.0,,1.43,0.83,0.92,1.05,0.74,0.58,,0.85,1.49,0.73
WSPM_0_0,1.81,1.8,,,1.78,1.19,0.59,1.47,1.11,0.81,1.33,0.7,0.78,,0.76,1.73,0.94
WSPM_0_3,1.9,1.89,,,1.84,,,1.54,2.14,1.23,0.77,0.93,,,,1.84,0.92
WSPM_1_0,1.95,1.95,,,1.92,1.25,,1.52,1.39,0.94,1.34,0.8,0.99,,0.73,1.88,1.07
WSPM_1_1,2.27,2.26,,,2.28,1.2,0.57,1.72,2.56,0.99,,0.87,0.74,,0.8,2.16,1.36
WSPM_0_4,2.36,2.35,,,2.28,,,4.54,,,,1.72,,0.71,,2.27,1.4
WSPM_1_2,3.4,3.24,,,3.29,,,3.34,,1.49,,1.65,1.11,,0.68,3.23,
PM10_0,1.04,1.03,0.47,0.24,1.02,0.65,0.31,0.81,0.72,0.52,0.65,0.44,0.46,0.57,0.4,0.99,0.54
PM10_1,1.89,1.88,,,1.84,1.35,,1.49,1.36,0.81,1.03,0.75,0.68,1.21,,1.82,0.79
