,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,0.96,,,,,0.93,0.87,0.87,0.73,0.61,,1.04,0.94,0.34,0.24,,0.79,0.74,0.76,0.56,0.62,0.54,0.45,0.6,0.52,,1.02,0.74
TEMP_0_1,,0.84,,,,1.43,1.13,0.84,0.88,0.76,,1.36,,,,,1.1,0.99,0.91,0.72,0.79,0.67,0.59,,1.32,,1.37,0.98
TEMP_0_0,,,0.79,0.18,0.66,1.59,,0.97,0.87,0.78,0.66,,1.0,,,0.66,1.33,1.09,1.12,0.84,1.01,0.78,0.66,,0.84,0.66,1.56,1.07
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.12,1.12,0.89,,,0.92,,,1.35,0.82,,1.17,1.02,,,,0.87,0.84,0.87,0.61,0.68,0.57,0.5,0.77,0.67,,1.13,0.83
PRES_1_3,1.3,0.98,,,,,0.87,,,0.8,,1.3,1.21,0.44,0.31,,1.11,0.96,0.86,0.72,0.79,0.71,0.57,0.7,0.64,,1.31,0.9
PRES_1_1,1.7,1.2,1.04,0.24,,,2.06,0.78,1.49,1.07,,1.79,1.16,,0.48,,1.31,1.09,1.3,0.78,0.91,0.85,0.65,,1.16,,1.6,1.25
PRES_1_0,1.86,1.38,1.05,,0.51,2.28,,1.32,0.78,0.74,0.51,1.81,1.32,,,0.51,1.27,1.19,1.1,0.95,1.71,0.81,0.76,,1.01,0.51,1.63,1.18
PRES_0_0,1.98,1.59,1.23,,,3.01,1.76,1.15,0.89,0.75,,2.06,1.43,0.46,0.33,,1.42,1.21,1.39,1.05,0.85,0.86,0.83,,,,1.9,1.24
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.99,0.77,,,,0.91,0.84,0.77,0.66,0.56,,0.97,1.47,0.45,0.3,,0.75,0.72,0.69,0.53,0.61,0.5,0.43,0.66,0.61,,0.98,0.7
DEWP_0_1,1.42,1.85,0.76,0.23,0.63,1.32,1.21,0.84,0.85,0.75,0.63,2.27,0.86,0.41,0.32,0.63,1.24,0.92,1.05,0.73,0.77,0.69,0.58,0.72,0.64,0.63,1.33,0.96
DEWP_0_0,3.46,,,,,,,,2.09,1.55,,,,0.57,0.45,,2.37,,,,,,,,,,3.3,2.35
DEWP_1_0,4.11,,,,,,,,,,,,,,0.56,,3.38,,,,,,,,,,3.84,3.35
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.38,1.17,1.03,,,1.28,1.3,0.86,0.9,0.71,,1.4,1.15,0.35,0.19,,0.84,1.39,1.15,1.19,0.64,1.06,0.75,,,,1.4,0.83
WSPM_0_1,1.43,1.15,0.98,,0.66,1.35,1.23,1.03,0.8,0.73,0.66,1.46,1.16,,,0.66,1.09,0.86,1.01,0.75,0.82,0.74,0.59,1.39,1.24,0.66,1.36,1.01
WSPM_0_2,1.54,1.16,1.32,0.36,,1.39,1.25,1.03,0.94,0.59,,1.53,1.44,,,,2.45,1.43,0.82,0.91,1.1,0.77,0.73,,,,1.56,0.92
WSPM_0_0,1.71,1.39,1.13,,,1.53,1.5,1.23,1.18,1.31,,1.76,1.35,,,,1.48,1.09,1.29,0.8,1.17,0.81,0.65,1.32,1.52,,1.66,1.37
WSPM_1_2,1.77,1.35,1.37,,,1.64,1.5,1.2,1.6,1.56,,1.87,1.38,,,,2.53,1.26,1.26,0.82,0.78,0.78,0.65,,1.81,,1.68,4.15
WSPM_1_1,1.98,1.55,1.27,,,1.66,1.64,1.53,1.43,1.2,,1.97,1.55,,,,1.6,1.38,1.65,0.9,1.23,0.76,0.77,,,,1.87,2.02
WSPM_1_0,1.93,1.6,1.4,,,1.78,1.74,1.49,1.33,1.28,,2.0,1.62,,,,1.55,1.25,1.4,0.96,1.27,1.01,0.77,,,,1.88,1.46
WSPM_0_4,1.86,,,,,2.05,1.42,,,,,2.01,1.72,0.4,0.31,,,1.55,,,,1.03,0.62,0.73,,,1.98,1.23
WSPM_1_3,2.2,2.13,1.72,,,2.3,1.75,1.62,1.81,,,2.48,1.67,,,,,,,0.92,0.94,,0.83,,0.7,,2.11,4.1
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.0,0.82,0.73,0.23,0.33,0.91,0.87,0.71,0.69,0.59,0.33,1.03,0.82,0.48,0.46,0.33,0.79,0.72,0.69,0.53,0.62,0.5,0.43,0.71,0.62,0.33,0.97,0.75
PM10_1,1.37,1.1,1.01,,,1.34,1.1,0.92,0.79,0.68,,1.36,1.17,0.34,0.2,,1.0,0.87,1.01,0.72,0.33,0.61,0.57,0.69,0.35,,1.39,0.86
