,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,1.53,0.42,,,1.19,0.56,0.15,0.21,,,1.0,0.88,0.13,,0.88,1.07,0.82,0.63,1.23,0.25,0.1,,0.94,1.09,0.67
TEMP_0_0,0.43,1.73,,,0.69,0.95,0.04,0.97,,,0.38,0.95,0.85,,0.85,0.96,0.57,0.41,1.12,0.6,0.44,0.32,0.98,0.92,0.69
TEMP_1_1,,,3.23,,0.12,,2.79,,,,1.47,0.31,,0.91,0.94,0.97,0.76,0.71,1.13,0.23,,,1.07,1.12,0.43
TEMP_0_2,,,,7.72,,,,,7.38,3.19,,,3.11,,0.91,1.02,0.52,0.28,1.41,0.64,,,0.98,1.04,0.51
PRES_0_0,1.25,0.72,0.07,,1.49,0.23,,0.04,,,0.94,0.88,0.21,,0.9,0.99,0.71,0.57,1.18,0.36,0.1,0.24,0.87,1.1,0.79
PRES_1_0,0.76,1.34,,,0.35,2.61,,,,,0.5,1.04,0.57,,0.87,1.0,0.61,0.44,1.18,0.45,0.4,,1.07,0.89,0.62
PRES_0_1,0.26,0.08,2.66,,,,3.03,,,,1.49,0.28,,0.82,1.0,0.9,0.72,0.59,1.14,0.2,0.28,,1.09,1.11,0.4
PRES_1_1,0.47,1.64,,,0.06,,,3.43,,,0.07,0.98,1.27,,0.63,1.23,0.92,0.64,1.17,0.57,0.29,,1.1,0.83,0.41
PRES_1_3,,,,7.75,,,,,8.6,,,,3.12,,0.77,1.15,0.61,0.33,1.54,0.76,,,1.08,0.95,0.48
PRES_1_2,,,,7.56,,,,,,26.39,,,3.05,,1.65,,,,,,,,,1.49,
DEWP_1_0,1.0,0.46,0.88,,0.92,0.36,0.94,0.04,,,1.61,0.26,,,1.08,0.9,0.6,0.4,1.19,0.25,,,0.87,1.18,0.67
DEWP_0_0,0.95,1.07,0.13,,0.87,0.85,0.12,0.6,,,0.26,1.66,,,0.72,1.14,0.88,0.7,1.15,0.3,0.37,0.35,1.1,0.9,0.54
DEWP_0_1,0.26,1.3,,1.76,0.41,0.7,,1.25,1.62,0.82,,,3.13,,0.67,0.98,0.6,0.56,1.19,1.02,0.36,,0.92,0.95,0.84
DEWP_1_1,,,3.24,,,,3.03,,,,,,,20.67,1.23,0.92,0.88,,1.66,,,,1.33,0.79,
WSPM_0_1,0.84,0.89,0.47,0.3,0.83,0.61,0.54,0.33,0.23,0.25,0.98,0.68,0.37,0.17,1.6,0.37,0.29,0.18,0.92,,,,0.88,1.13,0.64
WSPM_0_0,0.89,0.79,0.44,0.24,0.79,0.62,0.41,0.53,0.26,,0.75,0.83,0.42,,0.28,2.41,0.92,0.31,2.48,0.07,,,1.13,0.88,0.33
WSPM_1_1,1.03,0.61,0.49,0.2,0.82,0.5,0.48,0.59,0.21,,0.73,0.98,0.4,,0.57,1.52,2.94,0.11,0.82,0.1,,,1.04,1.07,0.6
WSPM_1_2,0.96,0.59,0.59,0.14,0.84,0.51,0.5,0.54,0.15,,0.67,1.01,0.47,,0.28,0.67,0.05,3.37,0.34,,,,1.17,0.9,0.64
WSPM_1_0,0.91,0.75,0.43,0.32,0.77,0.72,0.43,0.45,0.31,,0.77,0.82,0.49,,0.62,2.12,0.67,0.14,2.53,0.13,,,1.08,0.93,0.53
WSPM_0_2,0.6,1.2,0.28,0.42,0.81,0.7,0.26,0.65,0.46,,0.55,0.54,1.27,,,0.14,0.13,,0.41,4.71,,,0.59,1.03,1.53
WSPM_1_3,0.43,1.45,,,0.56,0.91,0.63,0.53,,,,1.21,0.82,,,,,,,,12.18,,1.44,0.9,
WSPM_0_3,0.4,1.83,,,1.21,,,,,,,1.7,,,,,,,,,,19.84,,1.19,1.77
PM10_0,0.81,0.87,0.47,0.26,0.7,0.72,0.5,0.55,0.28,,0.68,0.92,0.46,0.18,0.76,1.24,0.81,0.69,1.34,0.24,0.33,,1.48,0.58,0.16
PM10_1,0.91,0.76,0.48,0.3,0.89,0.49,0.5,0.38,0.23,0.26,0.91,0.71,0.43,0.1,0.99,0.86,0.65,0.43,1.07,0.38,0.11,0.2,0.58,1.56,0.54
PM10_2,0.93,0.95,0.27,0.15,1.1,0.61,0.28,0.23,0.14,,0.96,0.59,0.71,,0.94,0.53,0.5,0.29,0.83,1.19,,0.69,0.13,0.92,3.75
