,ENE_0,E_0,NE_0,ESE_0,SW_0,SE_0,N_0,SSW_0,NW_0,S_0,NNW_0,NNE_0,SSE_0,WSW_0,WNW_0,W_0,NNE_1,ENE_1,NW_2,NE_1,E_1,NW_1,SW_1,SW_2,NNE_2,WSW_1,ESE_1,SSW_1,NW_3,NNW_1,SE_1,N_1,ENE_2,SW_3,WSW_2,E_2,NE_2,NNW_2,WNW_1,S_1,SSE_1,SSW_2,NW_4,ESE_2,NE_3,WSW_3,ENE_3,NE_4,WNW_2,SW_4,NE_6,WSW_4,nan_0,E_3,NE_5,S_2,NNW_3,E_4,N_2,SSW_3,W_1,ESE_3,ENE_4,W_2,SE_2,ESE_5,SE_4,N_3,NNW_4,WNW_3,ESE_4,WNW_4,SSW_6,SE_3,N_5,ENE_5,ENE_7,WSW_5,SSW_4,SSE_3,S_3,SSE_2,ENE_6,WNW_5,N_4,WNW_6,SSW_5,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE_0,0.84,0.91,0.92,0.64,0.34,0.39,0.56,0.3,0.34,0.29,0.37,0.67,0.28,0.4,0.29,0.39,0.31,,,0.37,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,0.94,1.25,0.94,1.1,1.14,1.12,1.12,1.16,1.08,1.39,,1.39,0.51
E_0,0.9,0.82,0.8,0.81,0.38,0.59,0.52,0.32,0.37,0.36,0.36,0.51,0.4,0.31,0.41,0.46,0.31,0.35,,0.27,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,0.95,1.23,0.98,1.14,1.11,1.15,1.1,1.18,1.06,1.4,,1.4,0.49
NE_0,0.97,0.74,0.84,0.55,0.31,0.44,0.67,0.31,0.46,0.18,0.49,0.76,0.32,0.38,0.36,0.32,0.47,0.4,,,,,,,0.25,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,0.95,1.26,0.97,1.08,1.19,1.11,1.17,1.15,1.13,1.41,,1.4,0.57
ESE_0,0.79,1.0,0.59,0.84,0.37,0.84,0.39,0.37,0.31,0.51,0.31,0.47,0.53,0.38,0.42,0.39,,0.25,,,0.4,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,0.96,1.28,1.0,1.23,1.1,1.22,1.11,1.26,1.06,1.45,,1.43,0.6
SW_0,0.43,0.46,0.45,0.55,0.94,0.6,0.22,1.01,0.45,0.82,0.33,0.37,0.67,0.94,0.48,0.53,,,,,,,,,,0.43,,0.45,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,0.83,1.42,0.84,1.35,1.05,1.29,1.13,1.27,1.16,1.51,,1.34,1.06
SE_0,0.67,0.74,0.52,0.93,0.5,0.9,0.51,0.55,0.38,0.6,0.28,0.5,0.97,0.42,0.31,0.47,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,0.99,1.35,1.03,1.3,1.13,1.29,1.14,1.3,1.13,1.52,,1.49,0.66
N_0,0.68,0.6,0.83,0.53,0.51,0.31,0.91,0.25,0.8,,0.85,0.9,0.36,0.31,0.47,0.38,0.47,,,0.35,,,,,0.37,,,,,0.44,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,0.85,1.43,0.89,1.17,1.28,1.18,1.26,1.19,1.26,1.52,,1.39,0.98
SSW_0,0.42,0.49,0.28,0.62,1.06,0.62,0.35,0.96,0.33,1.1,,0.29,0.75,0.65,0.41,0.46,,,,,,,0.38,0.26,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,0.85,1.42,0.91,1.41,0.98,1.35,1.08,1.33,1.11,1.53,,1.4,0.98
NW_0,0.6,0.5,0.62,0.41,0.41,0.27,0.61,0.32,1.02,,0.98,0.55,0.32,0.52,1.08,0.57,,,,,,,,,,,,,,0.44,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,0.74,1.48,0.79,1.17,1.31,1.16,1.31,1.06,1.39,1.54,,1.23,1.29
S_0,0.4,0.58,0.48,0.71,0.78,0.95,,0.95,,0.91,0.36,,1.0,0.53,0.3,0.49,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,0.93,1.44,0.94,1.43,1.0,1.39,1.08,1.37,1.11,1.55,,1.52,0.74
NNW_0,0.63,0.52,0.61,0.5,0.32,0.4,1.06,,1.08,0.29,0.94,0.65,0.34,0.41,0.63,0.37,0.42,,0.35,,,0.66,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,0.77,1.5,0.84,1.17,1.34,1.15,1.35,1.11,1.39,1.56,,1.28,1.27
NNE_0,0.98,0.81,1.09,0.6,0.27,0.34,0.9,0.36,0.52,,0.81,,0.36,0.43,0.39,0.41,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,0.95,1.46,0.94,1.23,1.3,1.24,1.29,1.29,1.23,1.57,,1.51,0.82
SSE_0,0.54,0.73,0.4,0.98,0.57,0.95,0.33,0.84,0.34,0.92,0.36,0.37,0.88,0.44,0.33,0.38,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,0.96,1.42,1.02,1.43,1.05,1.38,1.13,1.38,1.12,1.57,,1.51,0.81
WSW_0,0.33,0.54,0.31,0.42,1.16,0.48,0.41,0.92,0.45,0.67,0.33,0.38,0.58,1.0,0.52,0.89,,,,,,,0.71,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,0.79,1.51,0.8,1.35,1.18,1.33,1.21,1.29,1.25,1.58,,1.45,0.99
WNW_0,0.57,0.46,0.49,0.53,0.52,0.4,0.56,0.42,1.19,0.4,0.82,0.45,0.36,0.64,0.96,0.92,,,0.63,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,0.78,1.52,0.88,1.27,1.32,1.29,1.3,1.15,1.42,1.61,,1.34,1.26
W_0,0.43,0.45,0.51,0.5,0.94,0.5,0.54,0.7,0.68,0.53,0.61,0.4,0.5,1.22,0.76,0.96,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,0.76,1.56,0.89,1.35,1.3,1.38,1.26,1.3,1.34,1.65,,1.55,0.96
NNE_1,0.87,0.63,0.92,,,,0.96,,,,0.7,,,,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.07,1.69,1.02,1.48,1.42,1.48,1.42,1.54,1.35,1.8,,1.73,0.95
ENE_1,,0.86,0.96,0.67,,,,,,,,,,,,,,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,1.21,1.59,1.27,1.36,1.53,1.38,1.52,1.43,1.47,1.8,,1.78,0.75
NW_2,,,,,,,,,,,1.04,,,,0.96,,,,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,,1.79,0.9,1.1,1.76,1.08,1.76,0.94,1.82,1.84,,0.87,1.96
NE_1,0.9,0.56,,,,,0.66,,,,,0.7,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,1.04,1.74,1.08,1.3,1.64,1.27,1.66,1.34,1.61,1.84,,1.81,0.83
E_1,0.99,,,1.0,,,,,,,,,,,,,,,,,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,1.29,1.7,1.16,1.57,1.39,1.51,1.47,1.64,1.3,1.85,,1.84,0.68
NW_1,,,,,,,,,,,0.91,,,,1.13,,,,,,,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,,1.83,0.74,1.3,1.67,1.31,1.65,1.12,1.77,1.86,,1.2,1.82
SW_1,,,,,,,,1.14,,,,,,0.69,,,,,,,,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,0.86,1.87,0.87,1.73,1.29,1.64,1.43,1.56,1.51,1.91,,1.53,1.59
SW_2,,,,,,,,1.39,,,,,,0.71,,,,,,,,,,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.95,1.79,1.05,1.83,1.09,1.71,1.3,1.55,1.52,1.9,,1.3,1.82
NNE_2,,,0.76,,,,0.89,,,,,,,,,,,,,,,,,,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.03,1.89,1.07,1.62,1.56,1.71,1.45,1.75,1.39,1.96,,1.87,1.12
WSW_1,,,,,1.04,,,,,,,,,,,0.74,,,,,,,,,,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,0.84,1.88,1.05,1.72,1.44,1.57,1.6,1.52,1.65,1.97,,1.7,1.49
ESE_1,,0.95,,,,0.98,,,,,,,,,,,,,,,,,,,,,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.46,1.69,1.48,1.84,1.25,1.72,1.43,1.85,1.24,1.98,,1.9,1.02
SSW_1,,,,,1.03,,,,,1.23,,,,,,,,,,,,,,,,,,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,0.99,1.94,0.9,1.93,1.09,1.88,1.21,1.79,1.38,1.99,,1.72,1.48
NW_3,,,,,,,,,,,0.84,,,,,,,,,,,,,,,,,,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,,1.93,0.97,1.19,1.93,1.26,1.89,,2.06,2.01,,0.99,2.14
NNW_1,,,,,,,0.88,,1.01,,,,,,,,,,,,,,,,,,,,,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96,,1.95,,1.37,1.83,1.3,1.88,1.21,1.93,2.02,,1.41,1.89
SE_1,,,,1.12,,,,,,,,,1.09,,,,,,,,,,,,,,,,,,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.22,1.96,1.03,1.84,1.38,1.84,1.39,1.84,1.39,2.04,,1.9,1.25
N_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,1.12,1.95,1.11,1.52,1.75,1.49,1.77,1.45,1.8,2.04,,1.71,1.59
ENE_2,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,1.56,1.76,1.53,1.62,1.65,1.61,1.67,1.64,1.64,2.04,,2.0,0.92
SW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,,2.0,1.0,1.9,1.31,1.78,1.5,1.57,1.72,2.05,,1.25,2.07
WSW_2,,,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,,2.1,,1.98,1.25,1.85,1.48,1.8,1.54,2.09,,1.75,1.66
E_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.48,1.8,1.52,1.8,1.55,1.78,1.58,1.89,1.42,2.09,,2.08,
NE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,1.34,1.9,1.39,1.26,2.0,1.5,1.84,1.56,1.79,2.1,,2.09,
NNW_2,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,,2.05,,1.47,1.88,1.31,1.97,0.87,2.14,2.1,,1.32,2.08
WNW_1,,,,,,,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,,2.0,,1.65,1.74,1.57,1.81,1.32,1.98,2.11,,1.36,2.06
S_1,,,,,,,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,1.3,1.98,1.22,1.98,1.35,1.79,1.64,1.96,1.39,2.13,,1.97,1.34
SSE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,1.08,1.99,1.27,2.1,1.12,1.95,1.42,1.98,1.37,2.14,,1.96,1.41
SSW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,1.06,2.07,1.12,2.05,1.29,2.04,1.32,1.92,1.52,2.16,,1.81,1.74
NW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16,,2.03,1.22,1.46,1.92,1.57,1.85,0.99,2.14,2.13,,1.15,2.24
ESE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.66,1.87,1.59,1.91,1.58,1.86,1.64,2.04,1.38,2.18,,1.81,1.74
NE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,1.39,2.07,1.2,1.49,2.0,1.39,2.06,1.82,1.72,2.2,,1.92,1.62
WSW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,1.14,2.04,1.26,1.97,1.57,1.74,1.8,1.67,1.87,2.21,,1.65,2.06
ENE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,1.76,1.94,1.6,1.64,1.9,1.47,2.01,1.72,1.82,2.14,,2.04,1.37
NE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,1.63,1.95,1.64,1.2,2.18,1.2,2.17,1.2,2.17,2.22,,1.97,1.56
WNW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,,2.18,,1.57,2.03,1.71,1.91,1.23,2.21,2.26,,1.07,2.45
SW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27,,2.28,,1.66,1.94,1.66,1.94,1.63,1.96,2.25,,1.59,2.11
NE_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,1.56,2.01,1.55,1.67,1.95,,2.33,1.73,1.91,2.26,,2.12,1.32
WSW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,2.19,1.15,2.09,1.45,1.98,1.62,1.93,1.7,2.26,,1.42,2.33
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,1.52,2.01,1.64,1.36,2.09,1.57,1.96,1.64,1.89,2.2,,2.2,
E_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.72,2.04,1.57,1.95,1.73,2.14,1.44,2.09,1.54,2.29,,2.28,
NE_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,,2.19,,,2.46,,2.45,,2.45,2.31,,2.18,1.31
S_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,,2.29,,2.2,1.39,2.27,1.24,2.27,1.23,2.32,,2.3,
NNW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37,,2.33,,1.82,1.94,1.7,2.04,1.38,2.24,2.34,,,2.38
E_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,2.08,1.42,1.84,1.94,2.01,1.75,1.91,1.87,2.35,,2.31,
N_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,1.51,2.15,1.48,1.83,1.98,1.91,1.91,1.61,2.14,2.36,,1.72,2.16
