,ENE_0,E_0,NE_0,ESE_0,SW_0,SE_0,N_0,SSW_0,NW_0,S_0,NNW_0,NNE_0,SSE_0,WSW_0,WNW_0,W_0,NNE_1,ENE_1,NW_2,NE_1,E_1,NW_1,SW_1,SW_2,NNE_2,WSW_1,ESE_1,SSW_1,NW_3,NNW_1,SE_1,N_1,ENE_2,SW_3,WSW_2,E_2,NE_2,NNW_2,WNW_1,S_1,SSE_1,SSW_2,NW_4,ESE_2,NE_3,WSW_3,ENE_3,NE_4,WNW_2,SW_4,NE_6,WSW_4,nan_0,E_3,NE_5,S_2,NNW_3,E_4,N_2,SSW_3,W_1,ESE_3,ENE_4,W_2,SE_2,ESE_5,SE_4,N_3,NNW_4,WNW_3,ESE_4,WNW_4,SSW_6,SE_3,N_5,ENE_5,ENE_7,WSW_5,SSW_4,SSE_3,S_3,SSE_2,ENE_6,WNW_5,N_4,WNW_6,SSW_5,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE_0,0.78,0.77,0.76,0.71,0.73,0.69,0.68,0.69,0.73,0.67,0.74,0.63,0.67,0.74,0.71,0.73,0.59,0.64,0.86,0.75,0.65,0.74,0.7,0.84,0.6,0.96,0.73,0.64,0.8,0.54,0.74,0.56,0.59,0.66,0.94,0.55,0.64,0.63,0.57,0.58,0.61,0.94,,0.61,0.52,,0.56,,,,,,0.54,0.64,,0.4,,0.64,,,0.71,0.64,0.56,,,,,,,,,,,,,,,,,,,,,,,,,1.57,1.08,1.55,1.13,1.47,1.45,1.47,1.44,1.46,1.48,1.65,0.43,1.52,1.09
E_0,0.79,0.78,0.79,0.71,0.73,0.7,0.71,0.72,0.75,0.69,0.74,0.64,0.66,0.73,0.67,0.75,0.66,0.68,0.6,0.79,0.65,0.71,0.69,0.71,0.55,0.79,0.64,0.52,,0.51,0.63,0.7,0.65,0.75,1.07,0.67,0.61,,0.72,0.71,0.6,0.7,,0.47,,0.82,0.65,,,,,,0.64,0.5,,0.59,,0.6,,,0.8,0.52,0.58,,0.62,,,,,,,,,,,,,,,,,,,,,,,1.59,1.06,1.58,1.1,1.46,1.47,1.45,1.48,1.46,1.52,1.66,0.43,1.53,1.1
NE_0,0.8,0.79,0.77,0.77,0.8,0.74,0.68,0.75,0.77,0.68,0.73,0.62,0.68,0.77,0.73,0.77,0.58,0.62,0.84,0.61,0.76,0.72,0.67,0.72,0.67,1.01,0.9,0.63,0.73,0.61,0.89,0.56,0.57,0.79,0.82,0.67,0.65,0.73,0.74,0.63,0.53,0.62,,0.71,0.66,,0.63,,,,,,0.52,0.73,,,,,0.49,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,1.61,1.16,1.59,1.21,1.52,1.47,1.54,1.45,1.53,1.5,1.69,0.64,1.56,1.09
ESE_0,0.88,0.83,0.86,0.76,0.75,0.73,0.83,0.73,0.8,0.69,0.81,0.74,0.67,0.75,0.72,0.69,0.72,0.62,,0.72,0.66,0.73,0.73,0.74,0.65,0.88,0.56,0.66,,0.58,0.59,0.7,0.6,0.99,0.95,0.62,0.85,,,0.57,0.53,0.75,,0.4,,,0.78,,,,,,0.66,0.58,,0.57,,0.65,,,,0.66,,,0.5,,,,,,,,,,,,,,,,,,,,,,,1.67,1.11,1.66,1.14,1.53,1.57,1.52,1.58,1.51,1.61,1.75,0.41,1.61,1.18
SW_0,0.98,0.95,0.93,0.88,0.75,0.87,0.96,0.75,0.95,0.76,0.96,0.81,0.8,0.69,0.84,0.65,0.83,0.82,1.03,0.66,0.74,0.79,0.63,0.78,0.82,0.52,0.75,0.58,,0.87,0.52,0.67,0.61,0.83,0.54,0.67,0.74,,0.96,0.59,0.75,0.54,,,,0.45,,,,,,0.64,0.39,,,0.45,,,,0.51,0.37,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,1.75,1.23,1.75,1.17,1.64,1.67,1.58,1.78,1.59,1.73,1.86,0.53,1.72,1.3
SE_0,0.96,0.9,0.94,0.81,0.81,0.75,0.93,0.77,0.86,0.73,0.86,0.86,0.72,0.79,0.76,0.74,1.02,0.82,,0.87,0.76,0.89,0.66,0.86,0.85,0.7,0.59,0.62,,,0.5,,0.76,0.84,,0.68,0.99,,,0.52,0.61,0.71,,0.58,,,,,,,,,0.55,0.53,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,1.19,1.79,1.22,1.66,1.67,1.64,1.74,1.6,1.73,1.88,0.37,1.73,1.33
N_0,0.95,0.92,0.92,0.85,0.83,0.84,0.75,0.81,0.78,0.83,0.72,0.73,0.79,0.74,0.72,0.69,0.67,0.84,0.9,0.84,0.97,0.74,0.77,0.8,0.62,0.67,0.76,0.74,1.0,0.7,,0.67,0.75,,0.57,,0.78,0.59,0.71,,0.64,,,,,,,,0.6,,,,0.55,,,,0.62,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,1.6,1.73,1.58,1.71,1.63,1.78,1.6,1.78,1.61,1.89,,1.74,1.16
SSW_0,1.04,0.99,1.02,0.93,0.77,0.82,1.01,0.74,0.95,0.72,0.88,0.93,0.74,0.73,0.88,0.7,1.09,0.8,,0.96,0.78,0.99,0.61,0.49,1.4,0.49,0.8,0.65,,,0.48,,0.88,0.89,0.49,1.01,0.8,,,0.55,0.62,0.54,,0.69,,,,,,,,0.67,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,1.24,1.78,1.22,1.65,1.74,1.6,1.88,1.6,1.77,1.9,,1.75,1.31
NW_0,1.02,1.04,0.94,1.07,0.84,1.04,0.78,1.0,0.72,0.98,0.7,0.78,0.97,0.79,0.66,0.73,0.6,0.98,0.75,0.76,1.19,0.62,0.78,0.94,0.84,0.62,,0.83,0.6,0.67,,0.61,0.81,,0.54,,,0.53,0.49,,,,,,,,,,0.46,,,,0.47,,,,0.58,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,2.27,1.75,1.87,1.77,1.6,1.87,1.62,1.99,1.59,1.93,,1.79,1.2
S_0,1.04,1.0,1.06,0.92,0.77,0.83,1.01,0.75,1.01,0.74,0.92,1.0,0.71,0.76,0.93,0.69,0.9,0.97,,0.93,0.71,1.08,0.47,0.65,,0.48,0.47,0.58,,,0.51,,0.78,,,0.82,,,,0.7,0.59,0.7,,0.77,,,,,,,,,0.63,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,1.25,1.85,1.25,1.7,1.8,1.65,1.9,1.65,1.84,1.95,,1.79,1.36
