,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.0,0.99,2.7,1.0,1.08,2.92,1.52,1.38,4.38,1.23,7.77,3.98,1.14,2.28,1.37,2.33,7.03
PRES_0_1,1.0,1.01,,,1.0,1.09,2.79,1.52,1.34,4.43,1.25,7.78,4.05,1.16,2.13,1.37,2.35,7.14
PRES_0_0,1.0,,66.84,,1.09,,,1.51,3.88,1.59,,7.31,,,6.74,1.49,1.08,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,1.0,1.02,2.95,1.09,0.06,,1.46,1.49,4.35,1.34,7.77,3.46,1.25,2.41,1.38,2.35,7.18
DEWP_1_0,0.98,1.0,,,,12.17,10.77,2.17,0.27,4.72,,7.81,9.49,,,1.3,2.02,3.49
DEWP_0_0,0.82,0.63,,,,7.61,162.44,0.96,,4.42,,6.14,10.19,,,1.22,2.39,40.61
WSPM_0_1,1.0,1.0,0.82,,0.96,1.58,3.05,2.29,0.53,4.98,0.27,9.71,4.6,0.11,1.01,1.39,2.31,6.73
WSPM_0_2,1.0,0.98,2.38,14.77,1.08,0.13,,0.48,5.35,2.24,0.27,4.94,0.66,,0.82,1.39,2.12,3.58
WSPM_0_0,0.99,1.0,,,0.99,1.26,5.81,1.68,0.44,7.62,0.35,10.87,5.59,,3.48,1.38,2.41,9.88
WSPM_0_3,1.0,1.02,,,1.09,,,0.14,0.4,1.52,10.72,2.92,,,,1.26,2.62,12.96
WSPM_1_0,1.0,1.0,,,1.0,1.17,,1.67,0.68,6.07,0.44,9.02,4.11,,1.3,1.37,2.35,9.67
WSPM_1_1,1.0,1.02,,,0.84,2.93,11.8,1.78,0.53,5.11,,6.98,17.64,,2.79,1.35,2.63,8.31
WSPM_0_4,1.0,1.02,,,1.09,,,0.27,,,,1.77,,23.91,,1.26,2.25,
WSPM_1_2,1.0,0.91,,,1.09,,,1.17,,4.69,,5.59,4.01,,67.41,1.49,1.9,
PM10_0,1.0,0.99,1.42,4.01,0.99,1.18,3.77,1.54,1.38,4.56,1.03,7.99,4.38,1.14,3.28,1.47,1.92,4.5
PM10_1,1.0,1.01,,,1.03,0.67,1.15,1.43,1.43,3.92,1.64,7.22,3.26,0.91,,1.22,3.3,11.33
PM10_2,1.0,1.02,,,1.07,,,1.47,,4.07,2.65,7.83,,,,1.11,3.36,78.32
