,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,0.99,0.21,0.11,0.97,0.4,0.2,0.86,0.59,0.8,0.44,0.96,0.55,0.32,0.27,0.99,0.9,0.38
PRES_0_1,1.0,1.0,,,0.97,0.4,0.2,0.87,0.58,0.81,0.44,0.97,0.56,0.32,0.26,0.99,0.91,0.39
PRES_0_0,1.73,,2.92,,1.75,,,1.45,1.72,0.79,,1.54,,,0.86,1.82,0.96,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.01,1.01,0.21,0.12,1.02,0.08,,0.86,0.62,0.81,0.46,0.98,0.52,0.33,0.28,1.0,0.92,0.39
DEWP_1_0,1.35,1.36,,,,1.85,0.42,1.44,0.39,1.13,,1.31,1.14,,,1.32,1.11,0.44
DEWP_0_0,1.96,1.63,,,,2.31,3.61,1.43,,1.62,,1.59,2.13,,,2.06,1.88,
WSPM_0_1,1.11,1.1,0.21,,1.05,0.54,0.21,1.22,0.32,0.91,0.25,1.18,0.59,0.07,0.17,1.11,0.97,0.43
WSPM_0_2,1.24,1.22,0.37,0.35,1.24,0.15,,0.45,1.51,0.63,0.17,0.89,0.14,,,1.23,1.04,0.33
WSPM_0_0,1.32,1.31,,,1.27,0.56,0.37,1.16,0.42,1.57,0.28,1.67,1.03,,0.4,1.3,1.28,0.57
WSPM_0_3,1.35,1.35,,,1.36,,,0.16,0.4,0.6,1.8,0.73,,,,1.26,1.31,0.77
WSPM_1_0,1.36,1.36,,,1.32,0.57,,1.23,0.57,1.41,0.34,1.52,0.85,,,1.33,1.27,0.58
WSPM_1_1,1.46,1.47,,,1.29,1.0,0.68,1.37,,1.17,,1.09,1.94,,,1.43,1.48,0.4
WSPM_0_4,1.49,1.49,,,1.51,,,0.52,,,,0.7,,2.21,,1.42,1.29,
WSPM_1_2,1.75,1.63,,,1.77,,,1.36,,1.48,,1.3,,,2.87,1.83,1.68,
PM10_0,1.05,1.04,0.26,0.15,1.01,0.44,0.25,0.91,0.62,0.88,0.43,1.04,0.64,0.33,0.35,1.1,0.82,0.32
PM10_1,1.16,1.17,,,1.15,0.36,,0.99,0.71,0.84,0.58,1.04,0.51,0.33,,1.04,1.32,0.56
PM10_2,1.81,1.81,,,1.8,,,1.62,,1.4,1.14,1.65,,,,1.29,2.13,2.66
