,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_1_0,0.54,1.01,,,,0.43,0.69,1.58,0.62,2.4,,,0.43,0.81,0.88,2.72,12.32,14.47,0.43,0.94,0.87,1.56,0.94,0.31,0.15,0.37,0.6,1.58,0.43,1.04,0.65,0.55
TEMP_0_0,0.92,0.53,34.35,,,,1.29,0.68,1.21,1.41,,,,1.29,0.61,21.68,1.16,0.81,,0.94,0.9,0.95,3.08,0.28,0.16,0.32,0.45,0.77,,1.06,0.66,0.48
TEMP_1_1,,,0.36,,,,0.92,,1.06,,0.36,,,3.42,11.89,0.45,,,,1.35,0.73,2.55,2.91,0.31,0.14,0.56,2.88,,,1.12,0.99,5.41
TEMP_0_2,,,,0.21,,,8.03,,,0.96,,0.25,,2.91,1.47,,,0.56,,5.99,2.53,3.8,0.68,0.56,0.35,0.61,0.93,,,2.04,1.61,0.91
TEMP_0_1,,,,,0.19,,9.09,4.64,7.22,0.76,,0.7,,57.92,,,0.34,,,5.99,5.36,0.89,,0.68,0.48,0.83,1.47,0.24,,2.36,1.35,0.51
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,0.91,1.57,0.99,18.34,6.38,0.27,0.47,4.6,0.84,10.64,,,0.27,1.11,1.56,1.07,6.84,8.75,0.27,1.24,0.84,1.52,1.14,0.29,0.15,0.5,0.66,1.29,0.27,1.12,0.69,0.57
PRES_1_1,1.06,0.65,,,2.39,,2.97,0.47,6.3,,,,,1.54,0.87,,0.98,0.74,,1.01,0.93,0.96,3.56,0.31,0.17,0.35,0.59,0.89,,1.17,0.72,0.53
PRES_1_0,0.82,1.06,2.13,,,,0.88,9.31,0.39,,,,,1.1,0.99,1.94,4.99,,,1.39,1.14,1.49,1.13,0.43,0.2,0.63,0.78,2.9,,1.19,0.86,1.15
PRES_1_2,1.62,1.61,,0.7,0.54,,14.32,,,0.29,,,,1.9,0.82,,0.97,,,1.71,2.08,2.09,1.73,0.38,0.26,0.37,0.71,0.66,,1.64,1.1,0.77
PRES_0_1,,,0.55,,,,,,,,0.19,,,,,0.52,,,,1.3,1.09,,,0.44,0.21,0.62,,,,1.7,1.57,6.08
PRES_1_3,,,,0.29,0.86,,18.09,,,,,0.18,,7.6,2.39,,1.54,0.48,,5.37,1.91,1.64,1.38,0.75,0.4,0.56,1.33,0.57,,2.05,1.87,0.66
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,0.6,0.86,2.6,1.67,11.68,0.24,0.65,1.31,0.65,1.58,,4.07,0.24,0.62,1.03,,,,0.24,0.84,0.99,0.95,0.75,0.33,0.15,0.45,0.88,,0.24,1.01,0.57,0.39
DEWP_0_0,1.04,0.75,38.77,1.55,,,1.99,1.39,1.4,0.86,,2.73,,1.62,0.38,,,,,1.75,0.8,1.95,3.56,0.29,0.17,0.3,0.42,0.84,,1.19,0.99,1.76
DEWP_1_1,3.1,14.3,0.46,,,,0.98,,1.0,,0.35,,,,,0.35,,,,1.35,0.66,6.17,2.81,0.31,0.14,0.57,2.79,,,1.18,0.91,2.7
DEWP_0_2,6.21,1.89,,,0.26,,3.66,1.29,2.78,1.14,,0.98,,,,,0.26,,,1.95,3.91,0.91,,0.49,0.3,0.53,1.07,0.34,,1.73,1.09,0.51
DEWP_0_1,4.54,1.36,,0.55,,,4.29,1.12,,,,0.43,,54.24,16.36,,,0.24,,1.96,1.85,2.05,2.06,0.39,0.31,0.41,0.41,0.45,,1.62,1.38,0.82
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
