,ENE_0,E_0,NE_0,ESE_0,SW_0,SE_0,N_0,SSW_0,NW_0,S_0,NNW_0,NNE_0,SSE_0,WSW_0,WNW_0,W_0,NNE_1,ENE_1,NW_2,NE_1,E_1,NW_1,SW_1,SW_2,NNE_2,WSW_1,ESE_1,SSW_1,NW_3,NNW_1,SE_1,N_1,ENE_2,SW_3,WSW_2,E_2,NE_2,NNW_2,WNW_1,S_1,SSE_1,SSW_2,NW_4,ESE_2,NE_3,WSW_3,ENE_3,NE_4,WNW_2,SW_4,NE_6,WSW_4,nan_0,E_3,NE_5,S_2,NNW_3,E_4,N_2,SSW_3,W_1,ESE_3,ENE_4,W_2,SE_2,ESE_5,SE_4,N_3,NNW_4,WNW_3,ESE_4,WNW_4,SSW_6,SE_3,N_5,ENE_5,ENE_7,WSW_5,SSW_4,SSE_3,S_3,SSE_2,ENE_6,WNW_5,N_4,WNW_6,SSW_5,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE_0,0.78,0.78,0.77,0.72,0.76,0.71,0.7,0.7,0.75,0.68,0.76,0.64,0.69,0.76,0.74,0.77,0.59,0.65,0.96,0.77,0.67,0.72,0.81,0.86,0.62,1.15,0.8,0.65,,0.59,0.88,0.57,0.6,0.7,0.98,0.6,0.69,,0.67,0.59,0.69,0.96,,0.58,0.51,,0.61,,,,,,0.58,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,1.09,1.56,1.15,1.47,1.46,1.47,1.44,1.46,1.48,1.65,0.46,1.52,1.09
E_0,0.8,0.79,0.81,0.72,0.76,0.72,0.73,0.73,0.78,0.7,0.76,0.65,0.67,0.76,0.7,0.77,0.69,0.7,0.62,0.79,0.68,0.68,0.69,0.68,0.55,0.82,0.66,0.57,,0.52,0.68,0.76,0.66,0.88,1.12,0.66,0.66,,,0.74,0.62,0.87,,0.5,,0.97,0.65,,,,,,0.64,0.51,,0.66,,0.67,,,,0.54,0.58,,0.67,,,,,,,,,,,,,,,,,,,,,,,1.6,1.07,1.58,1.12,1.47,1.48,1.46,1.48,1.47,1.52,1.66,0.44,1.53,1.13
NE_0,0.8,0.8,0.78,0.79,0.82,0.75,0.69,0.77,0.79,0.72,0.74,0.63,0.71,0.81,0.74,0.81,0.59,0.64,0.82,0.63,0.78,0.72,0.76,0.75,0.72,1.15,1.03,0.72,0.73,0.6,1.0,0.58,0.59,0.74,0.88,0.65,0.64,0.77,0.67,0.76,0.54,0.66,,0.77,0.64,,0.63,,,,,,0.54,0.69,,,,,0.53,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,1.61,1.18,1.59,1.23,1.52,1.47,1.55,1.45,1.53,1.5,1.69,0.65,1.55,1.08
ESE_0,0.9,0.85,0.87,0.78,0.76,0.74,0.86,0.73,0.82,0.7,0.86,0.77,0.67,0.77,0.75,0.71,0.75,0.66,,0.79,0.65,0.72,0.7,0.85,0.69,0.9,0.6,0.67,,,0.59,0.74,0.66,,0.93,0.65,0.88,,,0.67,0.52,0.81,,0.41,,,0.68,,,,,,0.67,0.6,,0.62,,,,,,0.67,,,0.51,,,,,,,,,,,,,,,,,,,,,,,1.68,1.12,1.67,1.15,1.53,1.57,1.53,1.58,1.51,1.62,1.75,0.42,1.61,1.22
SW_0,1.05,0.97,0.95,0.93,0.75,0.9,1.01,0.76,0.99,0.79,1.0,0.84,0.81,0.7,0.87,0.66,0.93,0.87,,0.67,0.81,0.9,0.62,0.77,1.0,0.53,0.78,0.57,,,0.53,,,0.87,0.54,,0.76,,,0.64,0.79,0.54,,,,0.44,,,,,,0.58,0.36,,,0.45,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,1.25,1.75,1.19,1.65,1.67,1.59,1.79,1.59,1.74,1.86,0.53,1.72,1.32
SE_0,1.0,0.91,0.98,0.82,0.83,0.76,0.99,0.79,0.89,0.74,0.89,0.89,0.73,0.81,0.78,0.77,1.17,0.84,,0.91,0.8,,0.64,1.0,0.84,0.72,0.58,0.59,,,0.49,,0.8,0.9,,0.8,,,,0.53,0.62,0.72,,0.59,,,,,,,,,0.55,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,1.19,1.8,1.22,1.66,1.68,1.64,1.74,1.61,1.73,1.88,0.42,1.73,1.38
N_0,0.95,0.95,0.93,0.88,0.88,0.85,0.76,0.84,0.8,0.85,0.73,0.75,0.8,0.77,0.73,0.73,0.67,0.88,0.94,0.87,0.98,0.79,0.89,,0.67,0.77,0.81,0.77,1.02,0.72,,0.69,0.71,,0.62,,0.77,0.6,0.73,,,,,,,,,,0.64,,,,0.58,,,,0.61,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,1.65,1.73,1.62,1.72,1.64,1.77,1.61,1.79,1.62,1.89,,1.74,1.18
SSW_0,1.12,1.04,1.11,0.96,0.77,0.84,1.09,0.75,1.0,0.74,0.95,1.0,0.75,0.73,0.91,0.71,1.24,0.92,,0.95,0.86,0.92,0.59,0.49,,0.48,0.82,0.66,,,0.45,,1.0,0.86,0.5,0.99,0.76,,,0.55,0.62,0.53,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,1.26,1.79,1.23,1.66,1.76,1.61,1.9,1.61,1.79,1.9,,1.76,1.34
NW_0,1.06,1.08,0.96,1.14,0.87,1.07,0.79,1.04,0.73,0.99,0.71,0.81,1.03,0.83,0.67,0.75,0.6,1.05,0.77,0.8,,0.64,0.85,1.14,0.94,0.62,,,0.65,0.69,,0.63,0.76,,0.65,,,0.54,0.5,,,,,,,,,,0.45,,,,0.5,,,,0.58,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,2.28,1.75,1.87,1.77,1.62,1.88,1.62,2.0,1.59,1.92,,1.81,1.21
S_0,1.1,1.05,1.11,0.95,0.78,0.84,1.03,0.75,1.1,0.75,0.95,1.08,0.73,0.76,0.96,0.7,1.03,1.0,,1.01,0.72,,0.45,0.66,,0.48,0.45,0.58,,,0.5,,0.75,,,0.89,,,,0.67,0.58,0.71,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,1.26,1.86,1.26,1.7,1.82,1.65,1.92,1.66,1.86,1.95,,1.79,1.39
