,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.39,0.22,0.98,0.57,0.3,0.82,0.68,0.61,0.58,0.57,0.5,0.49,0.38,0.97,0.59
PRES_0_1,1.0,1.0,,,0.98,0.57,0.3,0.83,0.68,0.61,0.58,0.57,0.51,0.49,0.37,0.97,0.59
PRES_0_0,2.85,,1.1,,2.8,,,2.12,2.02,1.54,,1.48,,,1.15,2.77,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.02,1.02,0.38,0.22,1.0,0.61,,0.84,0.69,0.62,0.59,0.58,0.52,0.5,0.38,0.99,0.6
DEWP_1_0,1.75,1.74,,,,0.99,0.33,1.43,1.87,1.03,,0.98,0.84,,,1.7,1.04
DEWP_0_0,3.44,2.97,,,,2.06,1.02,2.4,,1.91,,1.9,1.63,,,3.34,1.9
WSPM_0_1,1.21,1.2,0.54,,1.18,0.69,0.3,1.0,0.9,0.73,0.87,0.7,0.63,0.39,0.43,1.18,0.71
WSPM_0_2,1.47,1.47,0.49,0.44,1.44,0.54,,1.12,1.0,0.91,0.71,0.85,0.54,,0.58,1.41,0.78
WSPM_0_0,1.64,1.63,,,1.6,1.04,0.64,1.41,0.82,1.0,0.89,0.92,0.82,,0.73,1.59,1.0
WSPM_0_3,1.71,1.7,,,1.68,,,1.08,1.4,1.07,1.0,0.94,,,,1.68,0.99
WSPM_1_0,1.74,1.74,,,1.7,1.04,0.44,1.46,1.09,1.07,0.95,1.0,0.91,,0.76,1.7,1.1
WSPM_1_1,1.98,1.97,,,1.92,1.17,0.7,1.64,1.59,1.18,,1.09,1.0,,0.49,1.92,1.37
WSPM_0_4,2.05,2.04,,,2.01,,,2.73,,,,1.43,,1.0,,1.98,1.23
WSPM_1_2,2.77,2.62,,,2.72,,,2.38,2.02,1.48,,1.45,1.41,,1.05,2.69,
PM10_0,1.03,1.03,0.4,0.22,1.01,0.58,0.3,0.84,0.71,0.63,0.6,0.59,0.53,0.5,0.39,1.0,0.6
PM10_1,1.7,1.69,,,1.67,1.0,0.5,1.39,1.18,0.89,0.93,0.91,0.67,0.87,,1.65,1.0
