,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,0.98,0.01,,0.91,0.08,0.01,0.51,0.2,0.23,0.1,0.27,0.08,0.04,0.02,0.8,0.44,0.02
PRES_0_1,1.0,1.0,,,0.91,0.08,0.01,0.51,0.19,0.23,0.1,0.28,0.08,0.04,0.02,0.79,0.45,0.02
PRES_0_0,1.0,,0.99,,0.98,,,0.44,0.51,,,0.21,,,0.09,1.0,0.11,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,0.98,0.02,,1.0,,,0.49,0.22,0.22,0.11,0.27,0.07,0.05,0.02,0.79,0.45,0.02
DEWP_1_0,0.99,0.99,,,,0.99,0.02,0.77,0.03,0.24,,0.27,0.2,,,0.81,0.33,
DEWP_0_0,1.0,0.79,,,,,0.85,0.36,,0.33,,,0.44,,,0.97,,
WSPM_0_1,1.0,0.99,0.01,,0.87,0.13,,0.96,0.01,0.13,,0.25,0.04,,,0.82,0.43,0.02
WSPM_0_2,1.0,0.96,0.04,0.01,0.99,0.01,,0.03,0.98,0.05,,0.11,,,,0.8,0.43,0.01
WSPM_0_0,1.0,0.99,,,0.9,0.09,,0.3,0.05,0.8,0.02,0.74,0.16,,0.02,0.81,0.45,0.03
WSPM_0_3,1.0,1.0,,,1.0,,,,,0.04,0.99,0.07,,,,0.67,0.56,0.05
WSPM_1_0,1.0,0.99,,,0.91,0.09,,0.44,0.09,0.59,0.03,0.56,0.09,,,0.78,0.45,0.02
WSPM_1_1,1.0,1.0,,,0.77,0.22,0.05,0.48,,0.38,,0.2,0.82,,,0.82,0.44,
WSPM_0_4,1.0,1.0,,,1.0,,,,,,,,,0.99,,0.76,0.38,
WSPM_1_2,1.0,0.9,,,0.98,,,,,0.21,,,,,0.92,0.98,0.14,
PM10_0,1.0,0.98,0.02,,0.91,0.09,0.01,0.52,0.2,0.24,0.08,0.29,0.09,0.04,0.03,0.97,0.25,0.01
PM10_1,1.0,1.0,,,0.94,0.05,,0.5,0.22,0.2,0.13,0.23,0.06,0.03,,0.47,0.9,0.04
PM10_2,1.0,1.0,,,0.97,,,0.44,,0.26,0.24,0.28,,,,0.24,0.86,0.64
