,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.47,0.23,0.98,0.63,0.3,0.78,0.68,0.48,0.61,0.41,0.42,0.54,0.38,0.95,0.49
PRES_0_1,1.0,1.0,,,0.98,0.63,0.3,0.78,0.68,0.48,0.61,0.41,0.42,0.55,0.37,0.96,0.49
PRES_0_0,3.52,,0.71,,3.4,,,2.41,2.01,1.79,,1.3,,,1.1,3.35,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.03,1.02,0.46,0.23,0.99,1.15,,0.8,0.68,0.5,0.62,0.42,0.45,0.55,0.38,0.98,0.5
DEWP_1_0,1.96,1.95,,,,0.76,0.26,1.42,3.1,0.9,,0.79,0.66,,,1.88,1.03
DEWP_0_0,4.58,4.06,,,,1.99,0.6,2.92,,1.88,,1.75,1.46,,,4.36,1.88
WSPM_0_1,1.26,1.25,0.72,,1.24,0.73,0.31,0.91,1.1,0.58,1.3,0.5,0.53,0.64,0.49,1.2,0.61
WSPM_0_2,1.58,1.6,0.52,0.39,1.53,0.91,,1.33,0.83,0.86,1.0,0.7,0.6,,0.72,1.49,0.71
WSPM_0_0,1.81,1.8,,,1.78,1.23,0.63,1.44,1.05,0.8,1.33,0.7,0.72,,0.77,1.72,0.91
WSPM_0_3,1.9,1.89,,,1.84,,,1.57,1.96,1.14,0.77,0.88,,,,1.84,0.89
WSPM_1_0,1.95,1.94,,,1.91,1.26,0.46,1.51,1.35,0.9,1.35,0.78,0.85,,0.9,1.87,1.02
WSPM_1_1,2.27,2.26,,,2.28,1.22,0.62,1.72,2.15,1.01,,0.88,0.74,,0.51,2.15,1.31
WSPM_0_4,2.36,2.35,,,2.28,,,4.37,,,,1.62,,0.71,,2.26,1.31
WSPM_1_2,3.4,3.24,,,3.29,,,2.91,2.79,1.4,,1.33,1.29,,0.68,3.23,
PM10_0,1.04,1.03,0.47,0.23,1.02,0.65,0.3,0.8,0.71,0.51,0.64,0.43,0.45,0.57,0.38,0.99,0.52
PM10_1,1.89,1.88,,,1.84,1.41,0.56,1.47,1.34,0.79,1.0,0.74,0.64,1.21,,1.81,0.78
