,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.0,1.0,0.55,1.0,0.96,0.54,0.78,0.81,0.44,0.87,0.33,0.45,0.92,0.6,0.84,0.63,0.34
PRES_0_1,1.0,0.99,,,0.99,0.95,0.56,0.78,0.82,0.44,0.86,0.33,0.45,0.91,0.6,0.84,0.63,0.33
PRES_0_0,1.16,,0.14,,1.11,,,0.78,0.59,0.69,,0.34,,,0.4,0.95,0.92,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,1.0,0.94,0.53,0.96,3.8,,0.8,0.78,0.44,0.83,0.33,0.49,0.88,0.57,0.84,0.62,0.34
DEWP_1_0,1.0,0.99,,,,0.28,0.14,0.66,3.45,0.4,,0.32,0.28,,,0.84,0.67,0.37
DEWP_0_0,1.13,1.04,,,,0.4,0.08,0.69,,0.38,,0.33,0.28,,,0.93,0.75,0.12
WSPM_0_1,1.0,1.0,1.36,,1.02,0.8,0.45,0.66,1.35,0.41,2.31,0.31,0.44,1.48,0.75,0.84,0.61,0.32
WSPM_0_2,1.0,1.02,0.52,0.39,0.96,1.46,,1.06,0.43,0.57,1.21,0.39,0.54,,0.92,0.83,0.59,0.31
WSPM_0_0,1.0,0.99,,,1.0,1.0,0.53,0.78,0.88,0.35,1.5,0.29,0.39,,0.63,0.82,0.69,0.34
WSPM_0_3,1.0,0.99,,,0.96,,,1.35,1.75,0.72,0.31,0.47,,,,0.88,0.59,0.27
WSPM_1_0,1.0,1.0,,,0.99,0.97,0.38,0.76,0.98,0.39,1.27,0.31,0.46,,0.82,0.83,0.67,0.37
WSPM_1_1,1.0,0.99,,,1.07,0.61,0.34,0.72,1.47,0.37,,0.3,0.23,,0.31,0.84,0.7,0.45
WSPM_0_4,1.0,0.99,,,0.96,,,3.32,,,,0.88,,0.2,,0.87,0.64,
WSPM_1_2,1.08,1.05,,,1.04,,,1.01,1.28,0.39,,0.36,0.37,,0.13,0.89,1.56,
PM10_0,1.0,1.0,0.83,0.45,1.0,0.92,0.54,0.78,0.83,0.45,0.98,0.34,0.47,0.89,0.55,0.82,0.67,0.48
PM10_1,1.0,0.99,,,0.98,1.17,0.5,0.78,0.81,0.41,0.71,0.32,0.41,1.12,0.62,0.87,0.55,0.24
PM10_2,1.0,0.99,,,0.97,,,0.79,1.11,0.36,0.49,0.32,,,,0.89,0.55,0.11
