,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1
TEMP_1_0,1.0,0.94,,,1.01,0.83,0.77,0.76,,,0.99,0.97,0.79,,0.98,0.79,0.73,0.73,0.69,0.66,0.45,,1.1,0.89
TEMP_0_0,1.06,1.0,,,1.08,0.85,0.83,0.79,,,1.03,1.03,0.82,,1.02,0.83,0.83,0.77,0.71,0.69,0.49,0.4,1.18,0.91
TEMP_1_1,,,1.0,,1.34,,1.03,,,,1.29,1.28,,0.49,1.28,1.03,0.97,0.96,0.9,0.85,,,1.45,1.14
TEMP_0_2,,,,1.0,,,,,0.96,0.62,,,1.4,,1.76,1.43,1.35,1.33,1.24,1.19,,,2.02,1.56
PRES_0_0,0.99,0.93,0.74,,1.0,0.79,,,,,0.97,0.96,0.77,,0.96,0.78,0.73,0.73,0.68,0.64,0.43,0.39,1.09,0.86
PRES_1_0,1.21,1.17,,,1.27,1.0,,,,,1.23,1.19,0.95,,1.21,0.97,0.92,0.88,0.8,0.81,0.58,,1.36,1.09
PRES_0_1,1.29,1.19,0.97,,,,1.0,,,,1.26,1.25,,0.48,1.24,1.01,0.95,0.93,0.88,0.83,0.59,,1.42,1.11
PRES_1_1,1.32,1.27,,,,,,1.0,,,1.26,1.31,1.04,,1.31,1.05,1.0,0.98,0.92,0.89,0.65,,1.49,1.17
PRES_1_3,,,,1.04,,,,,1.0,,,,1.46,,1.83,1.49,1.41,1.38,1.29,1.24,,,2.09,1.63
PRES_1_2,,,,1.62,,,,,,1.0,,,2.22,,2.79,,,,,,,,3.3,2.39
DEWP_1_0,1.01,0.97,0.78,,1.04,0.82,0.79,0.8,,,1.0,0.99,,,0.99,0.8,0.75,0.73,0.7,0.66,,,1.13,0.88
DEWP_0_0,1.03,0.97,0.78,,1.04,0.84,0.8,0.76,,,1.01,1.0,,,1.0,0.81,0.77,0.76,0.7,0.68,0.48,0.4,1.14,0.91
DEWP_0_1,1.27,1.22,,0.71,1.3,1.05,,0.96,0.69,0.45,,,1.0,,1.26,1.02,0.96,0.95,0.88,0.85,0.59,,1.43,1.12
DEWP_1_1,,,2.04,,,,2.09,,,,,,,1.0,2.53,,,,,,,,2.9,
WSPM_0_1,1.02,0.98,0.78,0.57,1.05,0.83,0.8,0.77,0.54,0.36,1.01,1.0,0.79,0.39,1.0,,0.65,0.79,0.74,,,,1.14,0.89
WSPM_0_0,1.26,1.2,0.97,0.7,1.29,1.03,0.99,0.95,0.67,,1.24,1.24,0.98,,,1.0,1.02,0.89,0.85,,,,1.41,1.06
WSPM_1_1,1.37,1.2,1.03,0.73,1.36,1.09,1.05,1.0,0.71,,1.33,1.3,1.03,,1.52,0.99,1.0,,,,,,1.47,1.24
WSPM_1_2,1.36,1.29,1.04,0.75,1.38,1.14,1.07,1.02,0.72,,1.36,1.32,1.06,,1.27,1.13,,1.0,,,,,1.49,1.26
WSPM_1_0,1.45,1.4,1.12,0.8,1.46,1.24,1.14,1.09,0.77,,1.43,1.43,1.13,,1.35,1.18,,,1.0,0.92,,,1.63,1.26
WSPM_0_2,1.52,1.44,1.17,0.84,1.55,1.24,1.2,1.12,0.81,,1.51,1.46,1.18,,,,,,1.09,1.0,,,1.69,1.33
WSPM_1_3,2.21,2.05,,,2.33,1.73,1.7,1.55,,,,2.08,1.68,,,,,,,,1.0,,2.4,
WSPM_0_3,,2.48,,,2.58,,,,,,,2.53,,,,,,,,,,1.0,,2.22
PM10_0,0.91,0.85,0.69,0.49,0.92,0.74,0.71,0.67,0.48,0.29,0.89,0.88,0.7,0.35,0.88,0.71,0.68,0.67,0.61,0.59,0.42,,1.0,0.78
PM10_1,1.13,1.1,0.88,0.64,1.17,0.92,0.9,0.85,0.61,0.42,1.13,1.1,0.89,,1.13,0.94,0.81,0.79,0.8,0.75,,0.45,1.27,1.0
