,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.68,0.44,0.99,0.78,0.49,0.85,0.8,0.61,0.77,0.53,0.57,0.73,0.57,0.97,0.62
PRES_0_1,1.0,1.0,,,0.99,0.78,0.5,0.85,0.8,0.61,0.77,0.53,0.57,0.73,0.57,0.97,0.62
PRES_0_0,1.95,,0.57,,1.9,,,1.51,1.34,1.3,,0.96,,,0.78,1.88,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.01,1.01,0.66,0.44,0.99,1.53,,0.87,0.8,0.62,0.76,0.53,0.61,0.72,0.56,0.98,0.62
DEWP_1_0,1.41,1.4,,,,0.68,0.32,1.11,2.43,0.82,,0.73,0.64,,,1.37,0.96
DEWP_0_0,2.24,1.99,,,,1.21,0.47,1.35,,1.09,,1.0,1.07,,,2.16,0.99
WSPM_0_1,1.12,1.12,0.85,,1.12,0.82,0.47,0.88,1.21,0.66,1.75,0.57,0.64,0.81,0.63,1.09,0.69
WSPM_0_2,1.26,1.28,0.61,0.52,1.23,0.99,,1.23,0.77,0.89,1.03,0.74,0.6,,0.99,1.21,0.71
WSPM_0_0,1.35,1.35,,,1.34,1.11,0.71,1.18,0.97,0.74,1.23,0.65,0.76,,0.82,1.31,0.87
WSPM_0_3,1.39,1.38,,,1.35,,,1.21,1.82,1.09,0.69,0.85,,,,1.36,0.83
WSPM_1_0,1.41,1.4,,,1.39,1.12,,1.18,1.16,0.82,1.19,0.72,0.93,,0.77,1.37,0.95
WSPM_1_1,1.52,1.51,,,1.54,1.0,0.62,1.24,1.99,0.8,,0.72,0.65,,0.78,1.46,1.12
WSPM_0_4,1.55,1.54,,,1.51,,,3.21,,,,1.41,,0.61,,1.51,1.14
WSPM_1_2,1.93,1.84,,,1.88,,,2.04,,1.03,,1.16,0.82,,0.56,1.86,
PM10_0,1.02,1.02,0.67,0.44,1.01,0.8,0.49,0.86,0.82,0.63,0.79,0.54,0.59,0.75,0.57,0.98,0.65
PM10_1,1.38,1.38,,,1.36,1.23,,1.18,1.15,0.72,0.93,0.69,0.65,1.17,,1.35,0.71
