,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.49,0.32,0.98,0.65,0.4,0.86,0.75,0.69,0.66,0.65,0.6,0.58,0.48,0.98,0.67
PRES_0_1,1.0,1.0,,,0.98,0.65,0.4,0.87,0.75,0.69,0.66,0.66,0.6,0.58,0.47,0.98,0.67
PRES_0_0,2.26,,1.1,,2.23,,,1.76,1.76,1.38,,1.34,,,1.16,2.21,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.02,1.01,0.48,0.32,1.0,0.7,,0.88,0.76,0.7,0.67,0.67,0.61,0.59,0.48,0.99,0.68
DEWP_1_0,1.52,1.52,,,,0.99,0.39,1.31,1.78,1.02,,0.98,0.87,,,1.49,1.03
DEWP_0_0,2.55,2.21,,,,1.75,1.02,1.86,,1.6,,1.62,1.43,,,2.5,1.61
WSPM_0_1,1.15,1.15,0.65,,1.13,0.76,0.39,1.0,0.94,0.78,0.95,0.76,0.71,0.44,0.51,1.13,0.77
WSPM_0_2,1.33,1.34,0.57,0.59,1.31,0.57,,1.07,1.0,0.94,0.74,0.88,0.59,,0.67,1.29,0.81
WSPM_0_0,1.45,1.45,,,1.43,1.06,0.77,1.31,0.8,1.0,0.9,0.94,0.86,,0.82,1.42,1.01
WSPM_0_3,1.5,1.5,,,1.48,,,0.99,1.35,1.06,1.0,0.94,,,,1.48,0.99
WSPM_1_0,1.52,1.52,,,1.49,1.04,0.52,1.33,1.04,1.06,0.95,1.0,0.94,,0.84,1.49,1.1
WSPM_1_1,1.68,1.67,,,1.63,1.14,0.8,1.46,1.48,1.12,,1.06,1.0,,0.52,1.63,1.32
WSPM_0_4,1.72,1.71,,,1.69,,,2.4,,,,1.38,,1.0,,1.68,1.18
WSPM_1_2,2.19,2.07,,,2.16,,,1.97,1.75,1.32,,1.31,1.32,,1.05,2.14,
PM10_0,1.02,1.02,0.5,0.32,1.0,0.67,0.41,0.88,0.77,0.71,0.68,0.67,0.62,0.6,0.49,1.0,0.68
PM10_1,1.49,1.49,,,1.47,1.0,0.59,1.28,1.13,0.88,0.93,0.92,0.7,0.91,,1.46,1.0
