,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_1_0,1.67,0.81,,,,1.33,1.14,0.46,1.07,0.2,,,1.33,1.25,0.56,0.25,0.03,0.03,1.33,0.75,0.69,0.45,0.56,0.97,1.76,0.61,0.31,0.12,1.33,1.0,1.3,0.83
TEMP_0_0,0.92,1.69,0.01,,,,0.53,1.17,0.55,0.34,,,,0.74,1.17,0.02,0.39,0.55,,0.74,0.83,0.58,0.16,1.3,1.94,0.92,0.69,0.19,,1.09,1.2,0.67
TEMP_1_1,,,2.32,,,,1.07,,0.66,,1.47,,,0.35,0.07,1.82,,,,0.63,1.24,0.26,0.23,1.31,2.69,0.58,0.09,,,1.3,1.06,0.08
TEMP_0_2,,,,3.72,,,0.1,,,1.12,,2.59,,0.63,0.73,,,1.42,,0.28,0.47,0.3,1.37,1.03,1.53,0.67,0.53,,,0.97,1.0,0.88
TEMP_0_1,,,,,4.19,,0.26,0.43,0.24,1.58,,0.87,,0.09,,,3.06,,,0.24,0.16,1.62,,1.19,1.5,0.67,0.36,1.03,,0.99,1.34,1.75
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.02,0.58,0.75,0.02,0.03,1.65,1.85,0.17,0.79,0.03,,,1.65,0.99,0.36,0.67,0.06,0.06,1.65,0.68,0.84,0.49,0.49,0.96,1.92,0.43,0.28,0.07,1.65,1.02,1.31,0.74
PRES_1_1,0.93,1.46,,,0.16,,0.24,1.88,0.09,,,,,0.7,0.77,,0.54,0.65,,0.71,0.81,0.65,0.19,1.17,1.94,0.84,0.57,0.2,,1.04,1.22,0.86
PRES_1_0,1.28,0.95,0.43,,,,0.95,0.06,2.19,,,,,1.1,0.85,0.45,0.1,,,0.54,0.79,0.49,0.55,1.29,2.04,0.69,0.45,0.16,,1.19,1.2,0.38
PRES_1_2,0.88,0.88,,0.8,1.08,,0.1,,,2.88,,,,0.77,1.25,,0.77,,,0.66,0.51,0.46,0.41,1.52,1.95,1.07,0.57,0.37,,1.08,1.18,0.75
