,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1
TEMP_1_0,0.91,1.08,,,0.97,0.94,1.08,1.04,,,0.98,1.0,1.23,,1.0,0.75,0.75,0.8,0.64,0.87,0.72,,1.08,0.87
TEMP_0_0,1.2,0.88,,,1.14,0.84,1.57,0.79,,,1.19,1.0,0.84,,1.03,0.84,0.9,0.9,0.7,0.77,0.58,0.49,1.15,0.95
TEMP_1_1,,,0.77,,2.03,,0.82,,,,1.16,1.57,,0.48,1.25,1.0,0.97,0.99,0.85,1.12,,,1.37,1.17
TEMP_0_2,,,,0.64,,,,,0.63,0.48,,,1.06,,1.68,1.33,1.39,1.62,1.07,1.22,,,1.88,1.42
PRES_0_0,0.93,0.96,1.23,,0.92,1.03,,1.43,,,0.96,0.98,1.07,,0.97,0.77,0.77,0.81,0.66,0.81,0.6,0.56,1.08,0.84
PRES_1_0,1.22,1.09,,,1.48,0.81,,,,,1.41,1.12,1.06,,1.2,0.9,0.98,0.99,0.72,0.91,0.73,,1.3,1.17
PRES_0_1,1.71,1.81,0.78,,,,0.79,,,,1.13,1.56,,0.48,1.19,1.0,0.97,1.0,0.84,1.12,0.75,,1.34,1.15
PRES_1_1,1.47,1.12,,,2.08,,,0.76,,,1.81,1.27,0.96,,1.33,0.97,0.97,1.03,0.82,0.98,0.93,,1.41,1.24
PRES_1_3,,,,0.66,,,,,0.62,,,,1.1,,1.8,1.34,1.45,1.62,1.1,1.24,,,1.91,1.53
PRES_1_2,,,,1.0,,,,,,0.49,,,1.6,,2.26,,,,,,,,3.16,1.84
DEWP_1_0,1.0,1.1,0.79,,1.05,0.97,0.8,1.58,,,0.9,1.25,1.91,,0.97,0.79,0.8,0.82,0.67,0.86,,,1.11,0.88
DEWP_0_0,1.02,0.95,1.14,,1.05,0.87,1.2,0.84,,,1.26,0.89,,,1.03,0.79,0.79,0.84,0.66,0.89,0.65,0.5,1.1,0.95
DEWP_0_1,1.54,1.12,,0.64,1.47,1.08,,0.91,0.62,0.51,,,0.78,,1.32,0.98,1.03,1.03,0.81,0.82,0.72,,1.4,1.09
DEWP_1_1,,,1.47,,,,1.53,,,,,,,0.51,2.25,1.74,1.49,,1.8,,,,2.54,
WSPM_0_1,1.02,1.0,0.88,0.73,1.06,0.9,0.9,0.97,0.74,0.51,0.97,1.07,0.97,0.52,0.9,0.99,0.82,1.05,0.73,,,,1.13,0.87
WSPM_0_0,1.23,1.17,1.12,0.91,1.31,1.12,1.13,1.02,0.87,,1.25,1.18,1.14,,1.39,0.82,1.01,1.03,0.69,1.45,,,1.33,1.06
WSPM_1_1,1.33,1.27,1.16,1.0,1.37,1.15,1.17,1.08,0.94,,1.39,1.26,1.19,,1.5,0.85,0.78,2.14,0.74,1.39,,,1.39,1.3
WSPM_1_2,1.34,1.38,1.13,1.01,1.37,1.25,1.19,1.15,1.04,,1.54,1.31,1.18,,1.51,1.16,1.02,0.76,1.41,1.79,,,1.39,1.34
WSPM_1_0,1.41,1.39,1.28,1.01,1.47,1.33,1.28,1.24,0.96,,1.43,1.46,1.27,,1.39,0.99,1.38,1.33,0.8,1.4,,,1.52,1.27
WSPM_0_2,1.63,1.33,1.55,0.99,1.53,1.27,1.61,1.17,0.92,,1.62,1.52,1.1,,,1.42,1.53,1.49,1.23,0.71,,,1.68,1.22
WSPM_1_3,2.63,1.77,,,2.76,1.53,1.74,1.43,,,,1.83,1.63,,,1.62,,,,,0.58,,2.13,2.33
WSPM_0_3,2.29,2.0,,,2.12,,,,,,,2.06,,,,,,,,,,0.52,,1.68
PM10_0,0.93,0.88,0.79,0.66,0.97,0.81,0.8,0.79,0.64,0.48,0.93,0.91,0.83,0.5,0.9,0.69,0.72,0.76,0.59,0.79,0.58,,0.96,0.91
PM10_1,1.11,1.1,1.08,0.82,1.13,1.03,1.12,1.03,0.84,0.6,1.13,1.16,1.0,,1.1,0.91,0.83,0.87,0.75,0.78,,0.56,1.37,0.85
