,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.05,303869.18,995648733.55,1.31,1937.79,17885943.23,15.09,183.05,1366.92,1376.7,4196.47,15728.39,14631.85,536524.49,3.76,58.87,3258096.45
PRES_0_1,0.98,1.04,,,1.28,1922.24,17111639.87,14.86,177.14,1352.53,1365.66,4135.32,15602.22,14514.47,510497.63,3.7,58.22,3231960.82
PRES_0_0,0.02,,37924.57,,0.02,,,0.22,4.67,11.84,,58.66,,,15016.38,0.06,0.55,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,0.91,0.96,277095.8,952219497.12,1.25,351.45,,13.52,173.54,1247.43,1316.65,3843.34,13450.7,13993.62,498998.49,3.45,54.27,3040534.56
DEWP_1_0,0.08,0.08,,,,530.89,2191814.21,1.48,7.14,113.46,,337.93,1921.56,,,0.3,4.3,220507.95
DEWP_0_0,,,,,,25.08,717377.68,0.06,,6.21,,15.58,136.82,,,0.02,0.28,
WSPM_0_1,0.43,0.45,118548.61,,0.55,1006.73,7090010.43,8.21,38.06,597.32,300.8,1987.23,6535.06,1308.5,133530.28,1.64,24.56,1422038.41
WSPM_0_2,0.18,0.19,81877.21,448779668.04,0.25,109.92,,1.15,69.2,160.02,79.85,573.8,607.49,,,0.69,10.06,420841.03
WSPM_0_0,0.11,0.12,,,0.14,228.82,2715469.3,1.69,10.92,223.81,73.9,609.3,2458.27,,67106.82,0.41,7.03,405567.02
WSPM_0_3,0.09,0.1,,,0.13,,,0.2,8.39,69.9,386.64,215.6,,,,0.33,5.87,446352.8
WSPM_1_0,0.08,0.09,,,0.11,169.61,,1.32,10.87,146.89,66.1,405.68,1480.93,,,0.31,5.11,303981.97
WSPM_1_1,0.05,0.05,,,0.06,158.17,1973433.33,0.78,,64.99,,155.77,1818.19,,,0.18,3.17,110709.88
WSPM_0_4,0.04,0.04,,,0.06,,,0.25,,,,85.5,,2842.33,,0.15,2.36,
WSPM_1_2,0.01,0.01,,,0.02,,,0.19,,20.11,,45.13,,,45463.67,0.06,0.88,
PM10_0,0.67,0.7,244371.77,816620620.46,0.88,1368.68,14439871.21,10.2,122.89,955.67,862.12,2905.89,11643.4,9844.65,447867.96,2.68,34.42,1769765.85
PM10_1,0.29,0.31,,,0.38,437.08,,4.29,54.57,356.03,451.42,1123.19,3606.63,3751.27,,0.98,21.47,1174356.2
PM10_2,0.01,0.01,,,0.01,,,0.14,,11.72,17.6,35.12,,,,0.02,0.68,111142.87
