,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,0.98,0.42,,,0.81,0.26,0.05,0.07,,,0.68,0.57,0.04,,0.65,0.48,0.31,0.2,0.42,0.06,0.01,,0.69,0.76,0.2
TEMP_0_0,0.44,0.95,,,0.52,0.37,0.01,0.29,,,0.25,0.6,0.28,,0.56,0.48,0.28,0.16,0.45,0.14,0.04,0.02,0.72,0.67,0.22
TEMP_1_1,,,1.0,,0.09,0.01,0.92,,,,0.92,0.25,,0.04,0.67,0.46,0.32,0.25,0.43,0.05,,,0.8,0.81,0.15
TEMP_0_2,,,,0.99,,,,,0.87,0.12,,,0.99,,0.58,0.5,0.2,0.09,0.53,0.15,,,0.73,0.71,0.18
PRES_0_0,0.86,0.54,0.02,,0.99,0.15,,0.02,,,0.63,0.58,0.07,,0.64,0.46,0.29,0.19,0.43,0.08,0.01,0.01,0.66,0.77,0.24
PRES_1_0,0.56,0.79,,,0.38,0.96,,,,,0.34,0.65,0.18,,0.59,0.49,0.27,0.17,0.45,0.11,0.04,,0.76,0.67,0.21
PRES_0_1,0.18,0.06,0.82,,,,1.0,,,,0.93,0.21,,0.04,0.72,0.44,0.3,0.21,0.44,0.05,0.03,,0.81,0.8,0.14
PRES_1_1,0.4,0.96,,,0.08,,,0.99,,,0.05,0.58,0.41,,0.44,0.58,0.38,0.22,0.43,0.13,0.03,,0.78,0.61,0.14
PRES_1_3,,,,1.0,,,,,1.0,,,,1.0,,0.5,0.55,0.24,0.11,0.58,0.18,,,0.79,0.67,0.18
PRES_1_2,,,,0.97,,,,,,0.97,,,0.97,,0.97,,,,0.36,,,,,0.89,
DEWP_1_0,0.68,0.31,0.27,,0.63,0.16,0.31,0.02,,,0.98,0.26,,,0.74,0.43,0.27,0.15,0.45,0.06,,,0.68,0.81,0.2
DEWP_0_0,0.69,0.72,0.04,,0.62,0.35,0.04,0.18,,,0.26,0.98,,,0.54,0.53,0.34,0.23,0.41,0.07,0.03,0.02,0.78,0.67,0.19
DEWP_0_1,0.22,0.75,,0.23,0.32,0.29,,0.38,0.19,0.03,,,1.0,,0.47,0.47,0.25,0.2,0.45,0.23,0.03,,0.67,0.69,0.25
DEWP_1_1,,,1.0,,,,1.0,,,,,,,0.98,0.91,0.4,0.35,,0.62,,,,0.95,0.71,
WSPM_0_1,0.63,0.53,0.15,0.04,0.59,0.26,0.18,0.1,0.03,0.01,0.62,0.47,0.12,0.01,0.96,0.32,0.21,0.11,0.43,,,,0.68,0.78,0.2
WSPM_0_0,0.61,0.53,0.14,0.03,0.57,0.25,0.14,0.16,0.03,,0.5,0.53,0.13,,0.33,0.85,0.37,0.14,0.7,0.04,0.01,,0.82,0.66,0.15
WSPM_1_1,0.66,0.54,0.15,0.03,0.55,0.22,0.16,0.18,0.02,,0.5,0.59,0.13,,0.54,0.63,0.85,0.08,0.37,0.03,,,0.76,0.74,0.17
WSPM_1_2,0.63,0.49,0.18,0.02,0.59,0.23,0.17,0.16,0.02,,0.51,0.62,0.15,,0.37,0.45,0.07,0.93,0.21,0.03,,,0.83,0.69,0.23
WSPM_1_0,0.61,0.52,0.13,0.04,0.55,0.3,0.14,0.13,0.04,,0.51,0.52,0.16,,0.52,0.71,0.29,0.07,0.66,0.04,,,0.77,0.69,0.17
WSPM_0_2,0.46,0.7,0.09,0.06,0.57,0.3,0.09,0.2,0.05,,0.35,0.35,0.41,,0.1,0.12,0.08,0.03,0.2,0.97,,,0.45,0.72,0.4
WSPM_1_3,0.35,0.79,,,0.45,0.33,0.21,0.15,,,,0.71,0.26,,,0.15,,,,,0.97,,0.98,0.72,
WSPM_0_3,0.49,1.0,,,0.8,,,,,,,1.0,,,,,,,,,,0.98,,0.8,0.49
PM10_0,0.57,0.57,0.15,0.03,0.51,0.29,0.16,0.16,0.03,,0.48,0.57,0.15,0.01,0.54,0.56,0.34,0.24,0.47,0.06,0.03,,0.97,0.54,0.09
PM10_1,0.64,0.5,0.15,0.04,0.61,0.22,0.16,0.12,0.03,0.01,0.58,0.48,0.14,,0.69,0.43,0.27,0.16,0.43,0.09,0.01,0.01,0.56,0.96,0.18
PM10_2,0.67,0.61,0.08,0.02,0.78,0.27,0.09,0.08,0.02,,0.62,0.42,0.25,,0.65,0.28,0.2,0.09,0.33,0.25,,0.04,0.14,0.74,0.88
