,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.51,0.38,0.99,0.67,0.49,0.94,0.79,0.93,0.7,1.08,0.76,0.61,0.55,1.01,0.88
PRES_0_1,1.0,1.0,,,0.99,0.68,0.48,0.94,0.78,0.94,0.7,1.08,0.77,0.61,0.54,1.01,0.89
PRES_0_0,1.35,,3.68,,1.37,,,1.18,1.58,,,1.31,,,1.4,1.4,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.01,1.0,0.51,0.4,1.03,,,0.93,0.82,0.94,0.73,1.09,0.72,0.63,0.56,1.01,0.9
DEWP_1_0,1.18,1.19,,,,2.16,0.66,1.31,0.48,1.14,,1.28,1.26,,,1.18,0.86
DEWP_0_0,1.51,1.33,,,,,5.16,1.21,,1.39,,,2.24,,,1.56,
WSPM_0_1,1.06,1.06,0.5,,1.03,0.84,0.34,1.28,0.27,0.8,,1.13,0.54,,,1.07,0.91
WSPM_0_2,1.12,1.11,0.78,0.85,1.14,0.31,,0.32,1.67,0.59,,0.87,,,,1.13,0.95
WSPM_0_0,1.16,1.16,,,1.14,0.79,,0.85,0.49,1.81,0.44,1.84,1.32,,0.64,1.17,1.04
WSPM_0_3,1.18,1.18,,,1.2,,,,,0.58,2.07,0.71,,,,1.18,1.24
WSPM_1_0,1.19,1.19,,,1.17,0.81,,1.03,0.67,1.65,0.5,1.7,1.12,,,1.18,1.15
WSPM_1_1,1.23,1.24,,,1.13,1.27,1.52,1.24,,1.26,,1.03,2.36,,,1.24,1.15
WSPM_0_4,1.25,1.25,,,1.27,,,,,,,,,2.66,,1.21,0.86
WSPM_1_2,1.36,1.29,,,1.39,,,,,1.2,,,,,3.66,1.4,
PM10_0,1.01,1.01,0.53,0.41,0.99,0.68,0.52,0.94,0.8,0.96,0.68,1.11,0.79,0.6,0.59,1.04,0.74
PM10_1,1.18,1.18,,,1.18,0.59,,1.1,0.94,0.94,1.01,1.02,0.67,0.59,,1.03,1.91
