,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.0,0.99,1.9,1.0,1.04,2.18,1.37,1.21,3.0,1.13,5.29,2.61,1.07,1.68,1.29,1.93,4.38
PRES_0_1,1.0,1.01,,,1.0,1.06,2.03,1.37,1.17,3.03,1.15,5.31,2.65,1.09,1.58,1.28,1.95,4.46
PRES_0_0,1.0,,66.84,,1.09,,,1.3,3.22,1.04,,4.57,,,6.74,1.49,0.71,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,1.0,1.02,2.08,1.09,0.03,,1.31,1.3,2.97,1.23,5.3,2.25,1.17,1.76,1.29,1.96,4.51
DEWP_1_0,0.98,1.0,,,,12.15,6.97,2.05,0.21,3.21,,5.28,6.24,,,1.26,1.56,2.85
DEWP_0_0,0.97,0.78,,,,7.61,191.45,1.14,,4.19,,4.6,10.19,,,1.45,1.95,
WSPM_0_1,1.0,1.0,0.82,,0.96,1.55,1.97,2.27,0.21,2.79,,6.0,2.27,,0.58,1.32,1.87,4.61
WSPM_0_2,1.0,0.98,2.38,10.39,1.08,0.13,,0.2,5.35,1.11,0.11,2.75,0.19,,,1.3,1.81,2.67
WSPM_0_0,1.0,1.01,,,0.99,1.16,3.49,1.28,0.43,7.4,0.29,10.55,4.68,,2.04,1.29,2.07,5.35
WSPM_0_3,1.0,1.02,,,1.09,,,,0.19,0.8,10.72,1.62,,,,1.13,2.31,9.47
WSPM_1_0,1.0,1.01,,,1.0,1.09,,1.46,0.63,5.37,0.4,7.64,2.7,,,1.29,1.97,4.6
WSPM_1_1,1.0,1.02,,,0.84,2.93,11.8,1.6,,4.02,,4.03,17.24,,,1.26,2.09,
WSPM_0_4,1.0,1.02,,,1.09,,,,,,,0.98,,23.91,,1.22,1.74,
WSPM_1_2,1.0,0.91,,,1.09,,,0.88,,3.78,,2.69,,,67.41,1.45,1.01,
PM10_0,1.0,0.99,1.42,2.82,0.99,1.14,2.93,1.39,1.2,3.14,0.96,5.52,2.95,1.08,2.4,1.46,1.39,2.34
PM10_1,1.0,1.01,,,1.03,0.65,,1.31,1.27,2.63,1.51,4.73,1.96,0.82,,0.99,3.22,7.44
PM10_2,1.0,1.02,,,1.07,,,1.35,,3.02,2.65,5.37,,,,0.61,3.32,73.97
