,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.02,67.23,608.91,1.09,12.05,146.52,1.96,4.89,4.95,10.1,4.87,12.15,23.09,54.25,1.29,2.41,50.27
PRES_0_1,0.95,0.96,,,1.04,11.39,145.28,1.86,4.71,4.69,9.54,4.64,11.49,21.82,52.66,1.23,2.29,47.52
PRES_0_0,,,,,,,,,,,,,,,,,,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,0.77,0.78,48.43,445.63,0.8,50.33,,1.53,3.59,3.82,7.39,3.74,10.16,16.9,39.33,0.99,1.83,38.75
DEWP_1_0,,,,,,,0.02,,0.01,,,,,,,,,0.04
DEWP_0_0,,,,,,,,,,,,,,,,,,
WSPM_0_1,0.08,0.08,5.85,,0.09,0.78,9.53,0.12,0.85,0.39,5.04,0.37,0.9,3.99,5.1,0.1,0.18,4.05
WSPM_0_2,0.01,0.01,0.23,1.86,0.01,0.14,,0.03,0.01,0.05,0.12,0.04,0.09,,,0.01,0.01,0.32
WSPM_0_0,,,,,,0.02,0.19,,0.01,,0.02,,0.02,,0.06,,,0.06
WSPM_0_3,,,,,,,,,0.01,0.01,,0.01,,,,,,0.03
WSPM_1_0,,,,,,0.01,,,,,0.01,,0.01,,,,,0.03
WSPM_1_1,,,,,,,0.01,,,,,,,,,,,
WSPM_0_4,,,,,,,,,,,,,,,,,,
WSPM_1_2,,,,,,,,,,,,,,,,,,
PM10_0,0.3,0.31,17.12,152.04,0.33,3.54,42.77,0.59,1.5,1.55,3.43,1.5,3.91,7.0,15.24,0.37,0.84,24.62
PM10_1,0.02,0.02,,,0.03,0.35,,0.05,0.12,0.11,0.2,0.11,0.25,0.66,,0.03,0.05,0.84
PM10_2,,,,,,,,,,,,,,,,,,
