,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,0.69,0.93,,,0.79,0.89,1.6,1.41,,,0.81,0.86,2.03,,0.81,0.57,0.63,0.75,0.44,1.12,1.13,1.67,0.81,0.74,0.62
TEMP_0_0,1.03,0.62,,,0.98,0.69,3.47,0.66,,,1.23,0.81,0.75,,0.85,0.6,0.69,0.84,0.45,0.73,0.63,0.61,0.82,0.81,0.67
TEMP_1_1,,,0.38,,2.63,4.23,0.41,,,,0.69,1.39,,0.33,0.79,0.59,0.61,0.68,0.46,1.18,,,0.78,0.72,0.75
TEMP_0_2,,,,0.18,,,,,0.18,0.18,,,0.39,,0.84,0.57,0.75,1.11,0.39,0.64,,,0.84,0.76,0.63
PRES_0_0,0.74,0.81,2.35,,0.71,1.1,,2.49,,,0.81,0.85,1.54,,0.82,0.59,0.65,0.77,0.46,0.99,0.94,0.83,0.83,0.73,0.57
PRES_1_0,0.88,0.7,,,1.16,0.44,,,,,1.19,0.76,0.92,,0.82,0.57,0.7,0.82,0.41,0.76,0.72,,0.8,0.84,0.77
PRES_0_1,1.78,2.26,0.41,,,,0.4,,,,0.69,1.43,,0.35,0.76,0.62,0.63,0.74,0.46,1.24,0.75,,0.77,0.72,0.77
PRES_1_1,1.07,0.63,,,2.29,,,0.36,,,2.08,0.85,0.6,,0.9,0.53,0.57,0.72,0.43,0.74,1.01,,0.8,0.83,0.81
PRES_1_3,,,,0.18,,,,,0.17,,,,0.39,,0.9,0.54,0.76,1.02,0.39,0.64,,,0.8,0.79,0.62
PRES_1_2,,,,0.19,,,,,,0.06,,,0.38,,0.64,,,,0.35,,,,,0.63,
DEWP_1_0,0.83,1.07,0.71,,0.91,1.03,0.7,3.46,,,0.67,1.26,5.27,,0.77,0.6,0.65,0.78,0.45,1.1,,,0.82,0.72,0.61
DEWP_0_0,0.82,0.72,1.73,,0.88,0.75,1.9,0.83,,,1.28,0.65,,,0.84,0.56,0.63,0.76,0.44,1.05,0.78,0.6,0.79,0.79,0.76
DEWP_0_1,1.35,0.69,,0.39,1.2,0.79,,0.59,0.39,0.42,,,0.39,,0.95,0.58,0.72,0.77,0.43,0.54,0.67,,0.86,0.79,0.56
DEWP_1_1,,,0.38,,,,0.4,,,,,,,0.08,0.69,0.52,0.44,,0.47,,,,0.71,0.69,
WSPM_0_1,0.84,0.84,0.93,0.93,0.91,0.84,0.92,1.19,1.03,0.71,0.8,0.96,1.13,0.72,0.66,0.73,0.7,1.09,0.47,1.5,,,0.85,0.72,0.59
WSPM_0_0,0.85,0.8,1.02,1.02,0.96,0.85,1.03,0.83,0.96,,0.91,0.83,1.04,,1.09,0.44,0.65,0.84,0.35,1.7,1.54,,0.75,0.81,0.79
WSPM_1_1,0.87,0.83,0.96,1.03,0.96,0.87,0.98,0.86,0.94,,0.95,0.81,1.03,,0.89,0.46,0.38,1.53,0.38,1.65,,,0.77,0.76,0.71
WSPM_1_2,0.88,0.89,0.88,1.07,0.94,0.91,0.97,0.93,1.25,,1.09,0.86,0.96,,1.01,0.64,0.91,0.35,0.84,2.18,,,0.77,0.82,1.03
WSPM_1_0,0.86,0.81,1.02,0.92,0.95,0.88,1.0,0.94,0.88,,0.9,0.91,0.97,,0.87,0.5,0.84,1.27,0.36,1.55,,,0.8,0.78,0.76
WSPM_0_2,1.04,0.73,1.48,0.81,0.91,0.81,1.57,0.78,0.72,,1.1,1.01,0.62,,5.24,0.93,1.26,1.32,0.7,0.28,,,0.96,0.78,0.44
WSPM_1_3,1.42,0.67,,,1.51,0.63,0.87,0.65,,,,0.74,0.76,,,0.76,,,,,0.12,,0.69,0.98,
WSPM_0_3,0.84,0.6,,,0.68,,,,,,,0.64,,,,,,,,,,0.08,,0.79,0.33
PM10_0,0.9,0.82,0.96,0.97,1.0,0.83,0.95,0.89,0.93,,0.97,0.84,0.99,0.84,0.85,0.55,0.67,0.71,0.42,1.21,0.82,,0.7,0.88,1.51
PM10_1,0.84,0.84,0.97,0.92,0.88,0.87,0.98,1.04,0.98,0.7,0.83,0.93,1.02,0.97,0.79,0.62,0.6,0.87,0.47,0.83,0.82,0.84,0.97,0.67,0.57
PM10_2,0.83,0.75,1.25,1.29,0.86,0.83,1.29,1.18,1.49,,0.91,1.0,0.88,,0.85,0.63,0.74,0.78,0.47,0.53,,0.54,1.02,0.76,0.31
