,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1
TEMP_1_0,0.89,0.96,,,0.95,0.91,1.06,1.05,,,0.94,0.96,1.27,,0.93,0.73,0.75,0.8,0.62,0.92,0.73,0.84,1.03,0.83
TEMP_0_0,1.06,0.86,,,1.06,0.83,1.6,0.81,,,1.12,0.96,0.87,,0.98,0.78,0.79,0.86,0.65,0.79,0.66,0.59,1.08,0.91
TEMP_1_1,,4.3,0.74,,1.88,1.94,0.78,,,,1.05,1.41,,0.49,1.1,0.88,0.85,0.91,0.76,1.09,,,1.22,1.03
TEMP_0_2,,,,0.59,,,,,0.59,0.48,,,0.92,,1.37,1.06,1.14,1.35,0.85,0.99,,,1.49,1.14
PRES_0_0,0.9,0.91,1.24,,0.9,0.95,,1.26,,,0.93,0.95,1.14,,0.94,0.74,0.75,0.79,0.64,0.88,0.61,0.7,1.03,0.81
PRES_1_0,1.09,0.99,,,1.23,0.78,,,,,1.27,1.02,1.03,,1.04,0.84,0.89,0.97,0.67,0.84,0.79,,1.17,1.07
PRES_0_1,1.59,1.55,0.75,,,,0.76,,,,1.04,1.37,,0.5,1.06,0.89,0.85,0.92,0.75,1.09,0.77,,1.19,1.01
PRES_1_1,1.26,1.01,,,1.63,,,0.73,,,1.42,1.15,0.91,,1.12,0.86,0.86,0.94,0.73,0.92,1.06,,1.23,1.1
PRES_1_3,,,,0.6,,,,,0.58,,,,0.94,,1.44,1.07,1.23,1.34,0.87,1.07,,,1.52,1.22
PRES_1_2,,,,0.81,,,,,,0.43,,,1.21,,1.64,1.57,,,0.94,,,,2.11,1.18
DEWP_1_0,0.97,1.04,0.81,,1.02,0.95,0.82,1.65,,,0.88,1.11,1.8,,0.94,0.76,0.74,0.78,0.64,0.9,,,1.05,0.85
DEWP_0_0,0.97,0.89,1.13,,1.0,0.86,1.2,0.86,,,1.13,0.87,,,0.94,0.75,0.77,0.85,0.63,0.91,0.74,0.58,1.04,0.88
DEWP_0_1,1.3,1.01,,0.67,1.27,1.0,,0.87,0.65,0.61,,,0.75,,1.17,0.86,0.93,0.95,0.71,0.78,0.75,,1.24,0.98
DEWP_1_1,,,1.15,,,,1.19,,,,,,,0.46,1.59,1.16,1.02,,1.25,,,,1.84,
WSPM_0_1,0.96,0.95,0.9,0.8,1.0,0.9,0.91,1.03,0.83,0.61,0.94,1.03,1.0,0.56,0.88,0.82,0.75,0.94,0.65,0.72,0.7,,1.06,0.84
WSPM_0_0,1.12,1.05,1.08,0.95,1.19,1.02,1.07,0.95,0.91,,1.14,1.07,1.08,,1.17,0.78,0.92,0.93,0.67,1.29,1.09,,1.18,0.98
WSPM_1_1,1.18,1.11,1.08,0.99,1.23,1.03,1.11,1.05,0.89,,1.21,1.11,1.11,,1.16,0.79,0.75,1.38,0.65,1.21,,,1.23,1.08
WSPM_1_2,1.21,1.16,1.06,0.87,1.24,1.07,1.12,1.11,1.06,,1.37,1.19,1.09,,1.19,0.95,0.86,0.73,1.03,1.79,,,1.22,1.13
WSPM_1_0,1.22,1.16,1.17,1.0,1.27,1.15,1.16,1.08,0.96,,1.21,1.24,1.16,,1.18,0.91,1.16,1.19,0.73,1.39,,,1.3,1.05
WSPM_0_2,1.36,1.15,1.53,1.03,1.28,1.14,1.58,1.07,0.9,,1.34,1.27,1.01,,3.26,1.04,1.3,1.01,0.97,0.68,,,1.4,1.08
WSPM_1_3,2.12,1.37,,,2.35,1.17,1.43,1.05,,,,1.44,1.34,,2.94,1.16,,,,,0.53,,1.63,1.87
WSPM_0_3,1.61,1.49,,,1.49,,,,,,,1.54,,,,,,,1.34,,,0.46,,1.24
PM10_0,0.92,0.87,0.84,0.74,0.96,0.83,0.84,0.84,0.72,0.57,0.92,0.91,0.87,0.6,0.87,0.7,0.71,0.77,0.58,0.86,0.66,,0.96,0.85
PM10_1,1.02,1.0,1.06,0.88,1.06,0.97,1.11,1.01,0.94,0.73,1.05,1.08,1.01,,1.04,0.79,0.78,0.81,0.7,0.76,,0.66,1.19,0.82
