,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,0.99,0.12,0.07,0.96,0.3,0.16,0.92,0.53,1.12,0.35,1.73,0.65,0.22,0.21,1.08,1.1,0.48
PRES_0_1,1.0,1.01,,,0.96,0.3,0.15,0.93,0.52,1.13,0.36,1.74,0.66,0.23,0.2,1.08,1.11,0.48
PRES_0_0,1.0,,8.14,,1.05,,,0.91,1.45,0.39,,1.53,,,0.79,1.22,0.44,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,0.99,0.12,0.08,1.05,0.01,,0.89,0.58,1.11,0.38,1.73,0.56,0.24,0.22,1.08,1.12,0.49
DEWP_1_0,0.98,0.99,,,,3.46,0.55,1.37,0.09,1.2,,1.73,1.55,,,1.04,0.91,0.3
DEWP_0_0,0.92,0.72,,,,2.16,11.96,0.74,,1.39,,1.51,2.23,,,1.13,1.1,
WSPM_0_1,1.0,0.99,0.1,,0.91,0.44,0.16,1.49,0.12,1.14,0.05,2.06,0.64,0.01,0.09,1.1,1.07,0.48
WSPM_0_2,1.0,0.97,0.29,0.39,1.03,0.04,,0.17,2.29,0.46,0.04,0.95,0.06,,,1.09,1.03,0.28
WSPM_0_0,1.0,1.0,,,0.95,0.33,0.26,0.92,0.19,2.46,0.09,3.07,1.09,,0.27,1.08,1.18,0.6
WSPM_0_3,1.0,1.01,,,1.05,,,0.03,0.1,0.33,3.25,0.56,,,,0.96,1.29,0.98
WSPM_1_0,1.0,1.0,,,0.95,0.32,,1.01,0.28,1.81,0.13,2.32,0.65,,,1.08,1.13,0.56
WSPM_1_1,1.0,1.01,,,0.81,0.83,0.78,1.09,,1.33,,1.32,3.78,,,1.06,1.24,0.3
WSPM_0_4,1.0,1.01,,,1.05,,,0.1,,,,0.34,,4.87,,1.01,1.01,
WSPM_1_2,1.0,0.91,,,1.05,,,0.65,,1.33,,0.98,,,7.86,1.21,0.67,
PM10_0,1.0,0.99,0.17,0.11,0.95,0.33,0.21,0.94,0.53,1.16,0.3,1.8,0.73,0.22,0.31,1.2,0.84,0.27
PM10_1,1.0,1.0,,,0.99,0.19,,0.88,0.56,0.99,0.47,1.57,0.49,0.17,,0.88,1.75,0.79
PM10_2,1.0,1.01,,,1.02,,,0.9,,1.12,0.8,1.69,,,,0.61,1.79,7.09
