,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.68,0.49,0.99,0.79,0.54,0.89,0.84,0.69,0.79,0.61,0.66,0.74,0.63,0.97,0.7
PRES_0_1,1.0,1.0,,,0.99,0.79,0.56,0.89,0.84,0.69,0.79,0.61,0.66,0.74,0.64,0.98,0.7
PRES_0_0,1.84,,0.54,,1.81,,,1.63,1.32,1.46,,1.14,,,0.78,1.77,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.01,1.01,0.66,0.49,0.99,,,0.91,0.83,0.71,0.79,0.62,0.7,0.74,0.62,0.98,0.7
DEWP_1_0,1.41,1.4,,,,0.68,0.39,1.15,2.05,0.96,,0.87,0.76,,,1.38,1.1
DEWP_0_0,2.34,2.2,,,,1.66,0.5,1.92,,1.04,,0.92,1.13,,,2.25,
WSPM_0_1,1.12,1.12,0.79,,1.12,0.81,0.53,0.88,1.56,0.89,,0.73,0.7,,0.69,1.1,0.77
WSPM_0_2,1.26,1.27,0.67,0.44,1.23,1.29,,1.81,0.77,1.17,,0.94,,,,1.22,0.84
WSPM_0_0,1.36,1.35,,,1.34,1.06,,1.24,1.22,0.74,1.43,0.67,1.04,,0.86,1.31,0.93
WSPM_0_3,1.39,1.38,,,1.35,,,,,1.47,0.69,1.06,,,,1.37,0.91
WSPM_1_0,1.41,1.41,,,1.39,1.11,,1.23,1.38,0.84,1.34,0.76,1.31,,,1.36,1.11
WSPM_1_1,1.52,1.51,,,1.55,1.05,0.66,1.57,,0.76,,0.72,0.65,,,1.46,1.22
WSPM_0_4,1.55,1.54,,,1.51,,,,,,,1.75,,0.61,,1.53,1.24
WSPM_1_2,1.86,1.84,,,1.83,,,2.74,,1.23,,1.46,,,0.54,1.79,
PM10_0,1.02,1.02,0.67,0.49,1.01,0.81,0.55,0.9,0.85,0.72,0.81,0.63,0.68,0.76,0.63,0.98,0.77
PM10_1,1.39,1.38,,,1.36,1.23,,1.25,1.22,0.83,0.99,0.72,0.83,1.13,,1.43,0.72
