,ENE_0,NE_0,E_0,ESE_0,N_0,NW_0,NNW_0,WNW_0,NNE_0,SE_0,SW_0,WSW_0,SSW_0,W_0,NW_2,S_0,SSE_0,NW_1,ENE_1,NE_1,NNE_1,NW_3,E_1,NNW_1,NNW_2,N_1,WSW_1,WNW_1,ENE_2,SW_1,NNE_2,E_4,WSW_2,W_1,NE_2,NNW_3,WNW_2,S_1,NW_4,ENE_4,SSW_1,SE_1,N_2,ENE_6,ESE_2,ESE_1,WNW_5,SW_2,NNW_4,E_2,W_2,SSE_1,NE_3,E_3,WSW_3,ENE_3,ESE_3,N_3,WNW_3,SSW_2,NE_4,ESE_5,S_2,N_5,WNW_4,WSW_4,S_3,SE_2,nan_0,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,RAIN_0,WSPM_0,WSPM_1
ENE_0,0.78,0.76,0.78,0.67,0.75,0.74,0.79,0.73,0.65,0.66,0.66,0.75,0.64,0.74,,0.55,0.56,0.98,0.65,0.94,0.67,,0.64,,,0.54,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.16,1.49,1.13,1.6,,1.57,0.92,1.6,,1.6,1.45,1.17
NE_0,0.81,0.78,0.83,0.79,0.71,0.85,0.74,0.74,0.63,0.64,0.76,0.84,0.7,0.89,1.09,0.65,0.55,,0.64,0.66,0.58,,0.77,0.55,,0.73,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,1.22,1.52,1.2,1.63,,1.61,0.97,1.63,,1.63,1.47,1.13
E_0,0.81,0.8,0.79,0.71,0.74,0.85,0.84,0.68,0.65,0.66,0.7,0.75,0.68,0.75,,0.64,0.55,,0.67,0.78,0.64,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,1.12,1.59,1.08,1.64,,1.61,0.94,1.64,,1.64,1.48,1.23
ESE_0,0.93,0.87,0.83,0.77,1.02,0.9,1.12,0.8,0.76,0.71,0.74,0.76,0.64,0.71,,0.64,0.63,,0.62,0.83,0.87,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,1.2,1.71,1.16,1.79,,1.76,0.95,1.79,,1.79,1.62,1.44
N_0,0.97,0.96,0.99,0.83,0.76,0.83,0.77,0.79,0.7,0.81,0.67,0.66,0.59,0.68,1.05,0.69,0.71,0.86,0.64,0.68,0.66,,,0.76,0.7,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.85,1.63,1.8,1.79,,1.74,1.39,1.79,,1.8,1.65,1.21
NW_0,1.08,0.98,1.05,1.17,0.79,0.75,0.71,0.7,0.78,0.97,0.65,0.7,0.88,0.75,0.8,0.76,0.78,0.65,,0.82,0.52,,,0.62,0.54,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,2.35,1.62,1.99,1.8,,1.75,1.35,1.8,,1.8,1.67,1.17
NNW_0,1.07,1.05,0.99,0.86,0.78,0.78,0.74,0.76,0.8,1.01,0.66,0.65,0.81,0.63,0.81,0.86,0.77,0.81,,,0.65,1.06,,0.7,0.7,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,2.54,1.65,2.23,1.83,,1.78,1.68,1.83,,1.84,1.68,1.25
WNW_0,1.17,1.18,1.22,1.12,0.94,0.76,0.8,0.74,0.82,1.14,0.81,0.9,0.74,0.78,0.71,0.93,1.15,0.86,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,2.41,1.72,2.11,1.92,,1.89,1.14,1.92,,1.93,1.82,1.27
NNE_0,0.96,0.98,0.97,0.88,0.88,0.96,0.88,0.91,0.78,0.75,0.69,0.82,0.79,1.0,,0.69,0.58,,0.7,0.61,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78,1.59,1.77,1.56,1.93,,1.89,1.15,1.93,,1.93,1.73,1.34
SE_0,1.15,1.1,0.94,0.82,1.26,1.1,1.08,0.84,1.04,0.73,0.82,0.84,0.7,0.89,,0.72,0.71,,0.83,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,1.23,1.9,1.32,1.99,,1.98,0.99,1.99,,1.99,1.8,1.57
