,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_0_2,1.0,,,,,0.54,0.29,0.07,0.12,0.14,,0.82,0.19,0.02,0.03,,0.3,0.39,0.21,0.45,0.22,0.23,0.51,0.11,0.07,,0.87,0.7,0.29
TEMP_0_1,,1.0,,,,0.24,0.41,0.25,0.2,0.19,,1.0,,,,,0.26,0.39,0.36,0.53,0.31,0.3,0.57,,0.03,,0.87,0.85,0.41
TEMP_0_0,,,0.97,0.02,0.18,0.41,,0.19,0.42,0.34,0.18,,0.97,,,0.18,0.17,0.54,0.17,0.53,0.17,0.36,0.63,,0.06,0.18,0.84,0.74,0.29
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,0.78,0.11,0.11,,,1.0,,,0.03,0.05,,0.8,0.21,,,,0.32,0.4,0.2,0.52,0.24,0.3,0.57,0.04,0.04,,0.93,0.68,0.23
PRES_1_3,0.69,0.31,,,,,1.0,,,0.01,,0.86,0.16,0.02,0.03,,0.18,0.32,0.29,0.43,0.23,0.23,0.49,0.18,0.1,,0.75,0.75,0.43
PRES_1_1,0.36,0.41,0.22,0.07,,,0.03,0.96,0.11,0.16,,0.48,0.5,,0.07,,0.35,0.31,0.2,0.5,0.34,0.16,0.44,,0.07,,0.9,0.69,0.31
PRES_1_0,0.42,0.23,0.35,,0.12,0.06,,0.05,0.98,0.61,0.12,0.65,0.35,,,0.12,0.2,0.71,0.3,0.53,0.13,0.29,0.67,,0.07,0.12,0.89,0.85,0.33
PRES_0_0,0.53,0.19,0.27,,,0.18,0.03,0.09,0.67,0.95,,0.7,0.28,0.07,0.06,,0.35,0.46,0.23,0.3,0.13,0.25,0.44,,,,0.77,0.96,0.47
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.71,0.29,,,,0.49,0.32,0.09,0.15,0.16,,1.0,0.01,,0.01,,0.31,0.39,0.27,0.47,0.21,0.26,0.54,0.06,0.04,,0.87,0.77,0.34
DEWP_0_1,0.46,0.01,0.53,0.03,0.09,0.39,0.16,0.25,0.23,0.21,0.09,0.03,0.98,0.01,0.03,0.09,0.15,0.49,0.15,0.52,0.31,0.27,0.56,0.09,0.11,0.09,0.87,0.64,0.25
DEWP_0_0,1.0,,,,,,,,0.78,0.78,,,,0.94,0.89,,0.78,,,,,,,,,,0.61,1.0,
DEWP_1_0,1.0,,,,,,,,,,,,,,0.74,,0.89,,,,,,,,,,0.74,0.89,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,0.71,0.2,0.08,,,0.52,0.18,0.14,0.16,0.17,,0.86,0.12,0.02,0.03,,0.97,0.16,0.02,0.2,0.03,0.07,0.28,,,,0.75,0.88,0.43
WSPM_0_1,0.63,0.2,0.18,,0.06,0.47,0.23,0.11,0.26,0.25,0.06,0.7,0.31,,,0.06,0.1,0.97,0.09,0.54,0.22,0.32,0.79,0.03,0.03,0.06,0.93,0.71,0.28
WSPM_0_2,0.58,0.32,0.11,0.03,,0.37,0.36,0.09,0.21,0.14,,0.86,0.14,,,,0.05,0.23,0.98,0.34,0.09,0.17,0.51,,,,0.88,0.85,0.27
WSPM_0_0,0.58,0.22,0.2,,,0.52,0.23,0.17,0.14,0.14,,0.73,0.28,,,,0.09,0.34,0.21,0.91,0.3,0.38,0.83,0.02,0.06,,0.97,0.56,0.15
WSPM_1_2,0.62,0.28,0.1,,,0.48,0.28,0.23,0.09,0.18,,0.65,0.38,,,,0.11,0.44,0.11,0.71,0.95,0.28,0.41,,0.07,,0.97,0.62,
WSPM_1_1,0.59,0.24,0.18,,,0.53,0.21,0.12,0.18,0.19,,0.76,0.25,,,,0.1,0.42,0.16,0.71,0.3,0.89,0.65,,,,0.97,0.66,0.18
WSPM_1_0,0.64,0.21,0.16,,,0.52,0.23,0.13,0.19,0.17,,0.77,0.25,,,,0.11,0.4,0.2,0.79,0.24,0.31,0.81,,,,0.95,0.57,0.18
WSPM_0_4,1.0,,,,,0.29,0.71,,,,,0.65,0.38,0.05,0.05,,,0.06,,,,0.08,0.07,0.99,,,0.43,0.89,0.72
WSPM_1_3,0.78,0.09,0.12,,,0.29,0.45,0.13,0.18,,,0.53,0.45,,,,,,,0.31,0.07,,0.16,,0.97,,0.86,0.63,0.56
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.67,0.21,0.13,0.01,0.03,0.52,0.24,0.14,0.14,0.15,0.03,0.74,0.27,0.01,0.02,0.03,0.19,0.47,0.19,0.62,0.36,0.35,0.61,0.03,0.09,0.03,0.99,0.61,0.18
PM10_1,0.61,0.24,0.14,0.01,,0.42,0.26,0.1,0.24,0.21,,0.77,0.22,0.02,0.02,,0.36,0.37,0.32,0.33,0.05,0.17,0.48,0.11,0.02,,0.82,0.96,0.35
PM10_2,0.68,0.19,0.13,,,0.28,0.5,0.09,0.17,0.22,,0.76,0.25,0.02,0.03,,0.5,0.19,0.26,0.15,,0.06,0.29,0.18,0.02,,0.38,0.85,0.94
