,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.37,0.23,0.98,0.56,0.33,0.88,0.69,0.79,0.58,0.89,0.6,0.47,0.4,1.0,0.73
PRES_0_1,1.0,1.0,,,0.98,0.56,0.31,0.88,0.68,0.79,0.58,0.89,0.61,0.48,0.39,1.0,0.74
PRES_0_0,1.55,,3.06,,1.57,,,1.27,1.59,,,1.24,,,1.16,1.59,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.01,1.01,0.37,0.24,1.02,,,0.87,0.72,0.79,0.61,0.9,0.57,0.5,0.4,1.01,0.75
DEWP_1_0,1.28,1.29,,,,1.93,0.48,1.33,0.46,1.05,,1.15,1.08,,,1.26,0.78
DEWP_0_0,1.81,1.59,,,,,4.07,1.35,,1.41,,,2.12,,,1.85,
WSPM_0_1,1.09,1.09,0.37,,1.05,0.71,0.23,1.23,0.24,0.7,,0.96,0.44,,,1.09,0.78
WSPM_0_2,1.19,1.17,0.6,0.53,1.2,0.27,,0.32,1.55,0.53,,0.76,,,,1.19,0.83
WSPM_0_0,1.25,1.25,,,1.22,0.7,,0.85,0.46,1.64,0.39,1.63,1.12,,0.5,1.24,0.93
WSPM_0_3,1.28,1.28,,,1.29,,,,,0.53,1.87,0.63,,,,1.27,1.12
WSPM_1_0,1.29,1.29,,,1.26,0.73,,1.05,0.63,1.51,0.45,1.52,0.97,,,1.27,1.04
WSPM_1_1,1.36,1.37,,,1.24,1.15,1.11,1.29,,1.17,,0.94,2.06,,,1.36,1.06
WSPM_0_4,1.38,1.39,,,1.4,,,,,,,,,2.31,,1.34,0.79
WSPM_1_2,1.57,1.49,,,1.59,,,,,1.17,,,,,3.03,1.6,
PM10_0,1.01,1.01,0.39,0.24,0.99,0.56,0.34,0.89,0.7,0.81,0.57,0.92,0.63,0.47,0.42,1.03,0.62
PM10_1,1.27,1.28,,,1.27,0.52,,1.11,0.89,0.86,0.91,0.91,0.57,0.5,,1.1,1.73
