,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.47,0.25,0.98,0.63,0.32,0.8,0.7,0.53,0.63,0.45,0.47,0.55,0.41,0.96,0.52
PRES_0_1,1.0,1.0,,,0.99,0.63,0.32,0.8,0.71,0.53,0.63,0.45,0.47,0.55,0.41,0.96,0.53
PRES_0_0,3.3,,0.66,,3.19,,,2.51,2.0,1.96,,1.43,,,0.94,3.14,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.02,1.02,0.46,0.26,0.99,1.3,,0.83,0.71,0.54,0.64,0.46,0.5,0.56,0.4,0.98,0.53
DEWP_1_0,1.96,1.95,,,,0.76,0.3,1.44,2.7,1.0,,0.87,0.73,,,1.89,1.14
DEWP_0_0,4.8,4.32,,,,2.25,0.64,3.07,,1.79,,1.54,1.81,,,4.57,
WSPM_0_1,1.26,1.25,0.61,,1.24,0.73,0.34,0.91,1.25,0.67,2.36,0.56,0.56,0.76,0.49,1.2,0.64
WSPM_0_2,1.58,1.59,0.55,0.33,1.53,1.12,,1.64,0.83,1.0,1.12,0.81,0.53,,,1.5,0.77
WSPM_0_0,1.81,1.8,,,1.78,1.16,0.61,1.51,1.27,0.82,1.33,0.7,0.95,,0.71,1.75,1.0
WSPM_0_3,1.9,1.89,,,1.84,,,1.42,2.5,1.37,0.77,1.01,,,,1.84,0.96
WSPM_1_0,1.95,1.95,,,1.92,1.23,,1.53,1.51,0.96,1.38,0.82,1.22,,,1.88,1.14
WSPM_1_1,2.27,2.26,,,2.28,1.23,0.57,1.76,,0.92,,0.81,0.74,,,2.16,1.37
WSPM_0_4,2.36,2.35,,,2.28,,,4.71,,,,1.86,,0.71,,2.28,1.51
WSPM_1_2,3.38,3.24,,,3.27,,,3.44,,1.59,,1.8,,,0.67,3.22,
PM10_0,1.04,1.03,0.47,0.26,1.02,0.65,0.33,0.82,0.73,0.55,0.66,0.46,0.49,0.58,0.41,0.99,0.57
PM10_1,1.89,1.88,,,1.84,1.35,,1.57,1.39,0.85,1.05,0.78,0.73,1.17,,1.85,0.79
