,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_1_0,1.0,1.0,,,,,0.96,0.95,0.93,0.83,,,,1.04,0.88,0.9,0.81,0.79,,0.94,0.93,0.91,0.84,0.74,0.71,0.74,0.65,0.64,,1.15,0.92
TEMP_0_0,1.0,1.0,,,,,0.98,0.97,0.89,0.83,,,,1.05,0.91,0.78,0.81,0.79,,0.94,0.94,0.89,0.84,0.77,0.74,0.66,0.71,0.55,,1.14,0.95
TEMP_1_1,,,1.0,,,,1.07,,0.99,,0.84,,,1.15,1.14,0.99,,,,1.05,1.05,0.98,0.94,0.84,0.8,0.78,0.77,,,1.27,1.05
TEMP_0_2,,,,1.0,,,1.13,,,1.11,,0.95,,1.38,1.16,,,1.03,,1.3,1.22,1.17,1.09,0.96,0.93,0.92,0.9,,,1.48,1.23
TEMP_0_1,,,,,1.0,,1.4,1.35,1.33,1.15,,0.97,,1.64,,,1.1,,,1.28,1.16,1.23,,1.07,1.04,0.94,0.93,0.75,,1.56,1.28
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.04,1.0,0.93,0.79,0.72,,1.0,0.96,0.96,,,,,1.08,0.94,0.92,0.81,0.82,,1.01,0.96,0.94,0.88,0.79,0.79,0.67,0.63,0.55,,1.19,0.96
PRES_1_1,1.05,1.03,,,0.75,,1.03,1.0,0.89,,,,,1.09,0.93,,0.84,0.82,,0.96,0.97,0.92,0.89,0.79,0.75,0.74,0.75,0.6,,1.18,0.97
PRES_1_0,1.08,1.12,1.01,,,,1.04,1.06,1.0,,,,,1.14,1.0,0.99,0.87,,,1.0,1.05,0.97,0.91,0.82,0.74,0.81,0.77,0.71,,1.25,1.05
PRES_1_2,1.21,1.2,,0.9,0.88,,,,,1.0,,,,1.25,1.1,,0.97,,,1.14,1.14,1.07,0.99,0.91,0.88,0.84,0.82,0.69,,1.38,1.11
PRES_0_1,,,1.19,,,,,,,,1.0,,,,,1.18,,,,1.26,1.24,,,0.99,0.95,0.94,,,,1.52,1.22
PRES_1_3,,,,1.05,1.01,,,,,,,1.0,,1.5,1.19,,1.11,1.07,,1.36,1.25,1.22,1.15,0.97,0.97,0.96,0.94,0.68,,1.53,1.29
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,0.96,0.96,0.87,0.72,0.7,,0.92,0.92,0.88,0.8,,0.66,,1.0,0.89,,,,,0.91,0.89,0.86,0.81,0.72,0.69,0.58,0.5,,,1.09,0.89
DEWP_0_0,1.11,1.1,0.96,0.85,,,1.08,1.07,1.0,0.92,,0.81,,1.12,1.0,,,,,0.98,1.05,0.98,0.88,0.84,0.81,0.84,0.82,0.63,,1.27,1.03
DEWP_1_1,1.11,0.98,1.01,,,,1.08,,1.01,,0.85,,,,,1.0,,,,1.06,1.05,1.01,0.95,0.84,0.81,0.76,0.77,,,1.28,1.06
DEWP_0_2,1.24,1.24,,,0.91,,1.23,1.19,1.16,1.04,,0.88,,,,,1.0,,,1.18,1.11,1.11,,0.95,0.91,0.86,0.85,0.68,,1.41,1.16
DEWP_0_1,1.28,1.25,,0.96,,,1.16,1.21,,,,0.92,,,,,,1.0,,1.2,1.17,1.12,1.03,0.93,0.9,0.91,0.86,0.73,,1.43,1.18
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.07,1.07,0.95,0.77,0.78,,1.0,1.04,0.98,0.88,0.79,0.73,,1.09,1.03,0.94,0.85,0.83,,1.0,1.46,,,0.71,0.87,0.52,,,,1.22,0.96
WSPM_0_1,1.07,1.05,0.96,0.82,0.78,,1.05,1.02,0.92,0.88,0.81,0.78,,1.12,0.95,0.95,0.87,0.84,,0.69,1.0,,,0.9,0.75,0.84,0.81,,,1.22,0.95
WSPM_0_3,1.11,1.11,1.0,0.85,0.81,,1.05,1.08,1.02,0.93,,0.82,,1.15,1.02,0.95,0.9,0.89,,,1.26,1.0,,0.84,0.88,0.76,,,,1.27,1.03
WSPM_0_4,1.19,1.18,1.04,0.91,,,1.13,1.12,1.09,1.01,,0.85,,1.23,1.09,1.05,,0.95,,,,,1.0,0.93,0.96,,,,,1.36,1.1
WSPM_0_0,1.33,1.32,1.19,1.02,0.91,,1.35,1.28,1.23,1.11,1.0,0.97,,1.36,1.2,1.2,1.04,1.05,,1.32,1.16,1.09,,1.0,0.93,1.02,0.96,,,1.5,1.48
WSPM_1_0,1.42,1.34,1.25,1.06,0.99,,1.29,1.33,1.41,1.13,1.07,1.01,,1.45,1.26,1.24,1.09,1.1,,1.1,1.3,1.24,1.2,1.05,1.0,0.99,1.07,,,1.57,1.6
WSPM_1_1,1.37,1.52,1.27,1.09,1.17,,1.57,1.35,1.29,1.23,1.06,1.04,,1.91,1.25,1.35,1.21,1.11,,1.93,1.17,1.32,,1.03,0.94,1.01,,,,1.63,
WSPM_1_2,1.51,1.41,1.3,1.12,1.07,,1.56,1.33,1.28,1.22,,1.07,,1.96,1.23,1.29,1.18,1.16,,,1.24,,,0.96,0.99,,1.0,,,1.64,
WSPM_1_3,1.57,1.83,,,1.28,,1.67,1.66,1.43,1.44,,1.31,,,1.56,,1.42,1.37,,,,,,1.3,,,,1.0,,1.98,1.56
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.87,0.87,0.79,0.67,0.64,,0.85,0.85,0.8,0.73,0.66,0.64,,0.92,0.8,0.78,0.71,0.69,,0.82,0.82,0.78,0.73,0.68,0.65,0.63,0.62,0.5,,1.0,0.82
PM10_1,1.11,1.06,0.9,0.81,0.78,,1.03,1.03,0.96,0.9,0.77,0.76,,1.11,0.91,0.93,0.86,0.85,,1.02,1.0,0.96,0.9,0.57,0.62,0.43,,,,1.22,1.0
