,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,0.99,0.18,0.14,0.97,0.39,0.27,1.01,0.63,1.39,0.44,2.22,0.88,0.31,0.33,1.12,1.25,0.76
PRES_0_1,1.0,1.01,,,0.96,0.39,0.26,1.01,0.61,1.41,0.45,2.23,0.89,0.31,0.31,1.12,1.26,0.78
PRES_0_0,1.0,,12.41,,1.05,,,0.99,1.71,0.49,,1.96,,,1.21,1.27,0.5,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,0.99,0.19,0.15,1.05,0.01,,0.96,0.68,1.38,0.49,2.22,0.76,0.33,0.34,1.12,1.27,0.78
DEWP_1_0,0.98,0.99,,,,4.44,0.94,1.5,0.11,1.5,,2.22,2.1,,,1.09,1.03,0.48
DEWP_0_0,0.92,0.72,,,,2.78,20.56,0.81,,1.73,,1.93,3.02,,,1.17,1.24,
WSPM_0_1,1.0,0.99,0.15,,0.92,0.57,0.27,1.62,0.14,1.43,0.06,2.64,0.86,0.02,0.13,1.15,1.22,0.78
WSPM_0_2,1.0,0.97,0.44,0.76,1.04,0.05,,0.19,2.71,0.57,0.06,1.22,0.08,,,1.13,1.16,0.44
WSPM_0_0,1.0,1.0,,,0.96,0.43,0.45,1.01,0.22,3.07,0.12,3.94,1.47,,0.42,1.12,1.33,0.96
WSPM_0_3,1.0,1.01,,,1.05,,,0.04,0.12,0.41,4.13,0.72,,,,1.0,1.46,1.58
WSPM_1_0,1.0,1.0,,,0.96,0.42,,1.1,0.33,2.25,0.16,2.97,0.87,,,1.12,1.28,0.9
WSPM_1_1,1.0,1.01,,,0.81,1.07,1.35,1.19,,1.66,,1.69,5.13,,,1.11,1.41,0.49
WSPM_0_4,1.0,1.01,,,1.05,,,0.11,,,,0.44,,6.69,,1.05,1.14,
WSPM_1_2,1.0,0.91,,,1.05,,,0.71,,1.66,,1.26,,,12.08,1.26,0.75,
PM10_0,1.0,0.99,0.26,0.21,0.96,0.42,0.37,1.02,0.63,1.45,0.38,2.3,0.98,0.31,0.47,1.25,0.95,0.44
PM10_1,1.0,1.0,,,1.0,0.24,,0.96,0.66,1.24,0.59,2.01,0.67,0.24,,0.91,1.98,1.28
PM10_2,1.0,1.01,,,1.03,,,0.98,,1.4,1.02,2.16,,,,0.63,2.02,11.38
