,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.0,1.0,0.37,1.0,0.93,0.34,0.66,0.72,0.23,0.81,0.13,0.25,0.88,0.44,0.73,0.43,0.14
PRES_0_1,1.0,0.98,,,0.99,0.91,0.36,0.65,0.74,0.23,0.8,0.13,0.25,0.86,0.45,0.73,0.43,0.14
PRES_0_0,1.16,,0.02,,1.06,,,0.65,0.32,0.6,,0.14,,,0.14,0.78,0.93,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,1.0,0.91,0.34,0.92,18.14,,0.68,0.67,0.23,0.74,0.13,0.3,0.8,0.4,0.73,0.42,0.14
DEWP_1_0,1.0,0.98,,,,0.08,0.04,0.45,7.68,0.2,,0.12,0.1,,,0.74,0.5,0.22
DEWP_0_0,1.26,1.24,,,,0.15,0.01,0.56,,0.17,,0.13,0.11,,,0.85,0.49,0.01
WSPM_0_1,1.0,1.0,1.37,,1.04,0.64,0.26,0.44,2.26,0.2,7.25,0.11,0.22,4.13,0.72,0.72,0.42,0.14
WSPM_0_2,1.0,1.03,0.32,0.11,0.92,3.84,,1.78,0.19,0.46,2.47,0.21,0.61,,1.46,0.71,0.41,0.18
WSPM_0_0,1.0,0.99,,,1.0,0.9,0.24,0.64,1.27,0.13,2.49,0.09,0.19,,0.37,0.71,0.48,0.13
WSPM_0_3,1.0,0.98,,,0.91,,,3.38,3.71,0.71,0.09,0.31,,,,0.8,0.37,0.09
WSPM_1_0,1.0,0.99,,,1.0,0.9,,0.6,1.22,0.17,1.88,0.11,0.31,,0.59,0.72,0.47,0.14
WSPM_1_1,1.0,0.98,,,1.16,0.36,0.1,0.55,3.09,0.16,,0.12,0.06,,0.32,0.72,0.47,0.15
WSPM_0_4,1.0,0.98,,,0.91,,,9.23,,,,0.85,,0.04,,0.78,0.46,
WSPM_1_2,1.11,1.09,,,1.02,,,1.25,,0.19,,0.22,0.17,,0.02,0.75,2.48,
PM10_0,1.0,1.01,0.7,0.25,1.0,0.85,0.3,0.64,0.73,0.23,1.0,0.13,0.26,0.86,0.34,0.68,0.51,0.29
PM10_1,1.0,0.99,,,0.97,1.43,0.45,0.68,0.72,0.21,0.57,0.12,0.23,1.22,,0.81,0.3,0.07
PM10_2,1.0,0.98,,,0.94,,,0.73,,0.17,0.28,0.13,,,,0.95,0.32,0.01
