,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_1_0,1.28,0.6,,,,,0.92,0.63,0.86,0.39,,,,1.09,0.63,0.45,0.15,0.14,,0.76,0.67,0.57,0.63,0.57,0.7,0.5,0.34,0.22,,0.96,0.94,0.58
TEMP_0_0,0.59,1.28,,,,,0.59,1.02,0.62,0.5,,,,0.83,0.87,0.09,0.54,0.63,,0.74,0.73,0.67,0.34,0.59,0.61,0.43,0.48,0.25,,0.99,0.91,0.57
TEMP_1_1,,,1.53,,,,1.04,,0.7,,1.04,,,0.66,0.2,1.34,,,,0.72,1.03,0.48,0.44,0.7,0.88,0.42,0.22,,,1.22,0.91,0.15
TEMP_0_2,,,,1.93,,,0.27,,,1.11,,1.55,,0.93,0.87,,,1.22,,0.53,0.71,0.56,1.22,0.74,0.76,0.49,0.52,,,1.18,0.99,0.83
TEMP_0_1,,,,,2.05,,0.45,0.77,0.4,1.39,,0.92,,0.31,,,1.88,,,0.51,0.37,1.39,,0.85,0.81,0.57,0.45,0.74,,1.16,1.16,1.07
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,0.99,0.6,0.81,0.13,0.14,,1.35,0.22,0.59,,,,,1.04,0.45,0.76,0.21,0.21,,0.75,0.77,0.62,0.61,0.57,0.75,0.34,0.31,0.18,,0.96,1.0,0.6
PRES_1_1,0.8,1.16,,,0.33,,0.26,1.37,0.11,,,,,0.83,0.77,,0.65,0.7,,0.73,0.75,0.71,0.36,0.59,0.68,0.5,0.47,0.27,,1.02,0.91,0.61
PRES_1_0,1.08,0.91,0.63,,,,0.68,0.12,1.47,,,,,1.08,0.76,0.64,0.28,,,0.67,0.77,0.65,0.67,0.65,0.68,0.48,0.41,0.24,,1.14,0.96,0.42
PRES_1_2,0.8,0.95,,0.83,0.94,,,,,1.7,,,,0.91,1.09,,0.86,,,0.81,0.63,0.68,0.64,0.86,0.81,0.62,0.49,0.39,,1.15,1.04,0.61
PRES_0_1,,,1.74,,,,,,,,1.99,,,,,1.75,,,,1.07,1.17,,,0.83,1.0,0.55,,,,1.38,1.05,
PRES_1_3,,,,1.77,0.94,,,,,,,2.05,,0.58,0.68,,0.88,1.43,,0.6,0.83,0.94,0.93,0.58,0.68,0.58,0.49,0.38,,1.24,0.85,1.08
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,1.01,0.77,0.43,0.35,0.09,,0.87,0.64,0.77,0.45,,0.17,,1.21,0.4,,,,,0.75,0.59,0.65,0.67,0.44,0.57,0.25,0.14,,,0.86,0.97,0.64
DEWP_0_0,0.91,1.16,0.14,0.51,,,0.56,0.9,0.72,0.81,,0.35,,0.56,1.49,,,,,0.55,0.94,0.51,0.31,0.87,0.89,0.74,0.67,0.32,,1.24,0.76,0.27
DEWP_1_1,0.62,0.14,1.38,,,,1.01,,0.75,,1.08,,,,,1.55,,,,0.75,1.1,0.34,0.45,0.67,0.89,0.39,0.23,,,1.18,1.03,0.21
DEWP_0_2,0.36,1.02,,,1.41,,0.55,1.09,0.57,0.94,,0.64,,,,,1.78,,,0.81,0.43,1.11,,0.77,0.75,0.6,0.48,0.51,,1.15,1.0,0.92
DEWP_0_1,0.41,1.25,,1.1,,,0.41,1.25,,,,1.13,,,,,,1.82,,0.81,0.67,0.71,0.62,0.75,0.66,0.71,0.78,0.55,,1.26,0.9,0.7
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,0.94,0.93,0.59,0.25,0.23,,0.8,0.79,0.7,0.54,0.51,0.25,,0.99,0.58,0.6,0.49,0.46,,1.41,0.35,,,0.24,0.6,0.17,,,,1.04,1.01,0.48
WSPM_0_1,0.78,0.85,0.84,0.37,0.17,,0.83,0.74,0.64,0.4,0.58,0.38,,0.79,0.79,0.87,0.26,0.36,,0.16,1.4,,,0.56,0.81,0.42,0.27,,,1.18,0.83,0.26
WSPM_0_3,0.81,0.96,0.48,0.34,0.74,,0.79,0.88,0.74,0.54,,0.5,,1.0,0.56,0.31,0.8,0.49,,,0.18,1.52,,0.27,0.44,0.24,,,,0.85,1.09,0.94
WSPM_0_4,1.1,0.68,0.51,0.92,,,0.97,0.52,0.94,0.65,,0.6,,1.25,0.48,0.52,,0.54,,,,,1.67,0.22,0.38,,,,,0.87,1.24,0.9
WSPM_0_0,0.99,0.97,0.83,0.56,0.51,,0.9,0.79,0.85,0.83,0.62,0.38,,0.84,1.05,0.77,0.63,0.58,,0.45,0.69,0.32,,1.75,1.62,0.87,0.57,,,1.41,0.84,0.41
WSPM_1_0,1.14,0.9,0.93,0.51,0.44,,0.95,0.84,1.0,0.69,0.62,0.38,,0.99,1.03,0.9,0.53,0.44,,0.53,1.1,0.45,0.36,1.46,1.5,0.55,0.41,,,1.37,0.95,0.49
WSPM_1_1,1.09,1.19,0.66,0.46,0.58,,0.92,1.02,0.82,0.85,0.51,0.5,,1.0,1.17,0.67,0.77,0.78,,0.82,0.74,0.53,,1.3,0.8,2.03,,,,1.54,0.96,
WSPM_1_2,1.09,1.22,0.44,0.64,0.49,,1.01,1.04,0.86,0.76,,0.54,,0.84,1.22,0.44,0.69,1.07,,,0.55,,,0.88,0.53,,2.19,,,1.54,1.09,
WSPM_1_3,0.9,1.33,,,1.48,,0.97,1.16,0.81,1.08,,0.87,,,1.16,,1.37,1.34,,,,,,0.84,,,,2.86,,1.79,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.74,0.77,0.64,0.41,0.32,,0.66,0.67,0.68,0.49,0.42,0.38,,0.73,0.72,0.59,0.45,0.48,,0.64,0.77,0.43,0.35,0.7,0.78,0.53,0.48,0.29,,1.14,0.58,0.26
PM10_1,0.9,0.84,0.55,0.38,0.38,,0.84,0.72,0.66,0.53,0.39,0.26,,0.97,0.56,0.62,0.42,0.37,,0.77,0.65,0.72,0.66,0.36,0.49,0.24,0.09,,,0.74,1.26,0.51
PM10_2,1.05,1.0,,0.64,0.73,,1.06,0.88,0.68,0.55,,0.74,,1.21,0.31,,0.85,0.6,,0.67,0.21,1.2,0.96,,0.26,,,,,0.13,1.05,1.74
