,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_1_0,1.24,0.72,,,,,0.97,0.7,0.92,0.47,,,,1.1,0.7,0.54,0.21,0.21,,0.82,0.75,0.65,0.7,0.66,0.78,0.59,0.41,0.3,,1.09,0.88
TEMP_0_0,0.72,1.25,,,,,0.67,1.04,0.69,0.58,,,,0.89,0.92,0.14,0.61,0.69,,0.8,0.8,0.73,0.43,0.69,0.72,0.52,0.57,0.32,,1.09,0.87
TEMP_1_1,,,1.45,,,,1.08,,0.79,,1.06,,,0.75,0.3,1.31,,,,0.81,1.08,0.58,0.53,0.79,0.97,0.53,0.31,,,1.28,0.66
TEMP_0_2,,,,1.78,,,0.38,,,1.16,,1.49,,1.03,0.96,,,1.24,,0.66,0.83,0.68,1.25,0.85,0.88,0.61,0.63,,,1.3,1.08
TEMP_0_1,,,,,1.89,,0.6,0.89,0.56,1.4,,0.98,,0.46,,,1.77,,,0.64,0.48,1.41,,0.96,0.96,0.69,0.56,0.81,,1.35,1.26
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.03,0.7,0.86,0.2,0.21,,1.31,0.33,0.71,0.15,,,,1.06,0.55,0.82,0.29,0.29,,0.83,0.84,0.7,0.69,0.66,0.85,0.43,0.39,0.24,,1.12,0.93
PRES_1_1,0.88,1.17,,,0.41,,0.38,1.32,0.19,,,,,0.9,0.83,,0.71,0.75,,0.8,0.83,0.78,0.46,0.7,0.78,0.6,0.57,0.35,,1.12,0.88
PRES_1_0,1.12,0.98,0.73,,,,0.8,0.2,1.4,,,,,1.12,0.84,0.73,0.37,,,0.75,0.85,0.73,0.75,0.75,0.77,0.59,0.51,0.33,,1.22,0.82
PRES_1_2,0.91,1.04,,0.89,0.99,,0.33,,,1.59,,,,0.99,1.14,,0.92,,,0.9,0.74,0.78,0.73,0.94,0.93,0.73,0.59,0.49,,1.29,0.95
PRES_0_1,,,1.67,,,,,,,,1.83,,,,,1.67,,,,1.15,1.23,,,0.94,1.11,0.68,,,,1.47,0.86
PRES_1_3,,,,1.68,1.01,,,,,,,1.88,,0.72,0.79,,0.96,1.42,,0.74,0.93,1.03,1.02,0.7,0.83,0.72,0.6,0.46,,1.32,1.16
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,1.03,0.84,0.52,0.43,0.14,0.61,0.91,0.7,0.82,0.52,,0.24,0.61,1.19,0.51,,,,0.61,0.81,0.67,0.71,0.72,0.53,0.67,0.33,0.2,,0.61,1.02,0.91
DEWP_0_0,0.98,1.19,0.21,0.6,,,0.68,0.96,0.8,0.86,,0.44,,0.7,1.42,,,,,0.64,1.01,0.61,0.4,0.94,0.98,0.84,0.76,0.41,,1.27,0.65
DEWP_1_1,0.71,0.21,1.34,,,,1.06,,0.83,,1.09,,,,,1.47,,,,0.83,1.14,0.44,0.55,0.77,0.97,0.49,0.32,,,1.28,0.81
DEWP_0_2,0.48,1.09,,,1.36,,0.67,1.15,0.69,1.01,,0.72,,,,,1.66,,,0.9,0.54,1.15,,0.87,0.87,0.71,0.59,0.59,,1.26,1.09
DEWP_0_1,0.55,1.28,,1.13,,,0.52,1.27,,,,1.15,,,,,,1.7,,0.91,0.78,0.81,0.72,0.87,0.79,0.81,0.86,0.64,,1.33,0.96
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
