,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,6.8,7.52,,,4.65,75.43,64.68,161.15,,,6.71,7.44,73.22,,7.18,158.99,313.68,360.69,1287.91,1043.31,107863.48,,4.75,7.45,970.07
TEMP_0_0,2.86,12.06,,,2.83,75.74,27.02,272.31,,,3.24,6.08,149.13,,5.52,120.77,216.49,228.53,985.02,1284.06,175845.23,1836530.47,3.84,5.45,789.17
TEMP_1_1,,,133.93,,0.47,,87.61,,,,2.48,1.37,,1503176.16,2.27,46.62,92.99,116.95,382.1,303.28,,,1.56,2.31,235.33
TEMP_0_2,,,,5134.93,,,,,8783.8,2571989.14,,,25.44,,0.51,11.11,17.7,16.98,98.47,118.83,,,0.35,0.52,59.22
PRES_0_0,6.65,10.57,68.6,,5.65,51.14,,76.83,,,6.99,8.03,102.53,,7.83,167.14,318.07,372.62,1391.48,1351.64,108162.97,2307619.3,4.93,8.1,1137.24
PRES_1_0,1.91,5.48,,,1.03,64.91,,,,,1.97,3.24,62.52,,2.89,61.75,111.45,119.85,497.42,567.42,88923.04,,2.04,2.78,387.47
PRES_0_1,0.97,1.11,135.3,,,,101.86,,,,2.8,1.43,,1587794.97,2.6,50.48,101.52,118.6,430.25,320.35,60584.38,,1.75,2.57,254.73
PRES_1_1,1.02,4.07,,,0.28,,,176.63,,,0.47,2.14,62.7,,1.64,46.97,91.81,98.78,340.35,433.65,53028.58,,1.41,1.78,210.6
PRES_1_3,,,,4319.24,,,,,7931.87,,,,21.44,,0.4,9.93,16.41,15.57,86.6,108.96,,,0.31,0.42,48.55
PRES_1_2,,,,637.5,,,,,,927712.28,,,3.12,,0.09,,,,,,,,,0.07,
DEWP_1_0,5.17,7.37,214.0,,3.87,55.02,155.84,71.11,,,7.99,3.83,,,7.49,137.48,251.3,263.35,1207.87,981.96,,,4.28,7.32,899.94
DEWP_0_0,4.77,10.69,78.2,,3.55,82.28,52.92,240.82,,,3.06,9.09,,,5.76,147.99,295.39,345.98,1112.27,1042.36,189029.35,2217830.4,4.6,6.04,806.83
DEWP_0_1,0.9,4.26,,11242.66,0.88,26.75,,126.22,18743.97,6199889.65,,,116.32,,2.03,49.55,87.57,110.06,411.46,679.71,65313.78,,1.53,2.25,348.35
DEWP_1_1,,,5.95,,,,4.06,,,,,,,323143.63,0.12,1.95,4.13,,22.14,,,,0.08,0.08,
WSPM_0_1,4.51,9.99,149.73,12875.27,3.53,69.6,113.46,181.04,19621.36,9450355.22,5.92,5.91,111.19,1907391.84,8.71,87.08,160.46,177.53,1039.73,,,,4.17,6.81,836.32
WSPM_0_0,1.81,3.59,56.81,4451.99,1.34,27.69,38.68,89.0,8119.37,,2.03,2.49,46.23,,1.37,84.64,123.74,85.56,641.94,196.7,,,1.83,2.35,232.34
WSPM_1_1,1.54,2.39,46.67,3198.93,1.06,18.84,32.09,72.89,5662.5,,1.59,2.14,34.58,,1.66,50.18,163.84,51.64,266.53,185.35,,,1.35,2.05,260.9
WSPM_1_2,1.36,2.26,46.9,2357.71,0.99,17.99,30.64,65.11,4440.7,,1.43,2.02,35.14,,1.0,32.61,15.18,209.9,192.83,,,,1.34,1.73,267.36
WSPM_1_0,0.97,1.87,29.89,2762.88,0.7,16.37,20.88,43.94,4691.63,,1.09,1.36,26.87,,1.09,42.87,59.03,30.76,348.43,141.79,,,0.95,1.3,167.82
WSPM_0_2,0.67,1.98,20.62,2619.82,0.6,12.98,14.06,43.59,4806.08,,0.78,0.9,36.03,,,8.66,19.0,,119.5,710.91,,,0.58,1.14,226.62
WSPM_1_3,0.12,0.45,,,0.11,2.92,4.35,7.62,,,,0.27,5.88,,,,,,,,37380.23,,0.19,0.23,
WSPM_0_3,0.05,0.23,,,0.07,,,,,,,0.15,,,,,,,,,,271296.85,,0.12,21.71
PM10_0,5.13,11.24,172.18,13576.37,3.71,87.95,124.77,268.37,24676.41,,5.74,7.86,143.3,2294267.84,6.86,179.07,335.64,394.8,1405.08,1080.5,206985.57,,6.18,5.65,555.67
PM10_1,4.8,9.28,155.29,13118.92,3.7,62.8,111.24,199.31,19969.55,9808674.2,5.84,6.15,121.6,1496324.27,7.0,131.62,252.96,273.37,1114.48,1170.29,92351.08,1726591.08,3.47,8.21,777.45
PM10_2,1.0,2.09,23.73,1901.19,0.85,14.44,16.92,30.06,3188.14,,1.25,1.12,32.73,,1.38,20.41,45.15,42.52,191.58,429.27,,695203.35,0.28,1.28,428.62
