,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.0,1.0,0.37,1.0,0.93,0.34,0.66,0.72,0.23,0.81,0.13,0.25,0.88,0.44,0.73,0.43,0.14
PRES_0_1,0.98,0.97,,,0.98,0.9,0.36,0.64,0.73,0.22,0.78,0.13,0.24,0.85,0.45,0.72,0.42,0.14
PRES_0_0,0.02,,,,0.02,,,0.01,,0.01,,,,,,0.01,0.01,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,0.92,0.92,0.84,0.31,0.84,16.59,,0.63,0.61,0.21,0.68,0.12,0.27,0.73,0.37,0.66,0.39,0.13
DEWP_1_0,0.08,0.08,,,,0.01,,0.04,0.62,0.02,,0.01,0.01,,,0.06,0.04,0.02
DEWP_0_0,0.01,0.01,,,,,,,,,,,,,,,,
WSPM_0_1,0.43,0.43,0.59,,0.44,0.27,0.11,0.19,0.97,0.09,3.11,0.05,0.1,1.77,0.31,0.31,0.18,0.06
WSPM_0_2,0.18,0.19,0.06,0.02,0.17,0.7,,0.32,0.03,0.08,0.45,0.04,0.11,,0.27,0.13,0.08,0.03
WSPM_0_0,0.11,0.11,,,0.11,0.1,0.03,0.07,0.14,0.01,0.27,0.01,0.02,,0.04,0.08,0.05,0.01
WSPM_0_3,0.09,0.09,,,0.08,,,0.31,0.34,0.06,0.01,0.03,,,,0.07,0.03,0.01
WSPM_1_0,0.08,0.08,,,0.08,0.08,,0.05,0.1,0.01,0.16,0.01,0.03,,0.05,0.06,0.04,0.01
WSPM_1_1,0.05,0.05,,,0.06,0.02,,0.03,0.15,0.01,,0.01,,,0.02,0.03,0.02,0.01
WSPM_0_4,0.04,0.04,,,0.04,,,0.38,,,,0.04,,,,0.03,0.02,
WSPM_1_2,0.02,0.01,,,0.01,,,0.02,,,,,,,,0.01,0.03,
PM10_0,0.67,0.68,0.47,0.17,0.67,0.57,0.2,0.43,0.49,0.16,0.67,0.09,0.17,0.58,0.23,0.46,0.35,0.2
PM10_1,0.29,0.29,,,0.28,0.41,0.13,0.2,0.21,0.06,0.16,0.04,0.07,0.35,,0.24,0.09,0.02
PM10_2,0.01,0.01,,,0.01,,,0.01,,,,,,,,0.01,,
