,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,0.99,0.26,0.14,0.97,0.46,0.21,0.82,0.61,0.67,0.48,0.74,0.48,0.37,0.29,0.99,0.61
PRES_0_1,1.0,1.0,,,0.97,0.46,0.21,0.82,0.6,0.67,0.49,0.74,0.48,0.37,0.28,0.99,0.62
PRES_0_0,1.79,,2.54,,1.79,,,1.37,1.6,,,1.18,,,0.95,1.81,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.01,1.01,0.27,0.14,1.02,,,0.82,0.63,0.67,0.51,0.75,0.46,0.39,0.29,1.0,0.63
DEWP_1_0,1.39,1.4,,,,1.73,0.34,1.36,0.44,0.96,,1.03,0.93,,,1.36,0.7
DEWP_0_0,2.17,1.9,,,,,3.2,1.52,,1.42,,,2.01,,,2.19,
WSPM_0_1,1.12,1.12,0.27,,1.07,0.6,0.16,1.18,0.22,0.6,,0.81,0.36,,,1.11,0.67
WSPM_0_2,1.26,1.24,0.46,0.34,1.26,0.24,,0.32,1.44,0.47,,0.66,,,,1.24,0.74
WSPM_0_0,1.35,1.34,,,1.3,0.62,,0.86,0.43,1.49,0.35,1.45,0.96,,0.38,1.32,0.84
WSPM_0_3,1.38,1.38,,,1.39,,,,,0.48,1.68,0.57,,,,1.36,1.01
WSPM_1_0,1.4,1.39,,,1.36,0.65,,1.07,0.6,1.39,0.41,1.37,0.83,,,1.37,0.94
WSPM_1_1,1.51,1.51,,,1.37,1.05,0.81,1.33,,1.09,,0.86,1.81,,,1.49,0.98
WSPM_0_4,1.54,1.54,,,1.55,,,,,,,,,2.01,,1.47,0.73
WSPM_1_2,1.8,1.72,,,1.82,,,,,1.14,,,,,2.51,1.82,
PM10_0,1.02,1.01,0.28,0.14,0.99,0.47,0.23,0.84,0.62,0.69,0.48,0.76,0.5,0.37,0.31,1.03,0.52
PM10_1,1.38,1.38,,,1.36,0.47,,1.13,0.84,0.79,0.82,0.81,0.49,0.42,,1.18,1.55
