,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1
TEMP_1_0,0.92,0.91,,,0.98,0.8,0.92,0.98,,,0.95,0.95,1.23,,0.93,0.65,0.63,0.67,0.52,0.76,0.48,0.63,1.1,0.78
TEMP_0_0,1.07,0.89,,,1.1,0.82,1.55,0.75,,,1.14,0.99,0.84,,0.99,0.7,0.7,0.77,0.55,0.7,0.5,0.41,1.18,0.86
TEMP_1_1,,4.44,0.82,,2.27,1.88,0.86,,,,1.28,1.62,,0.37,1.28,0.92,0.84,0.93,0.73,1.08,,,1.53,1.13
TEMP_0_2,,,,0.69,,,,,0.68,0.47,,,1.22,,1.94,1.34,1.4,1.64,0.98,1.08,,,2.22,1.51
PRES_0_0,0.92,0.89,1.09,,0.93,0.81,,1.01,,,0.92,0.93,1.09,,0.94,0.63,0.62,0.66,0.51,0.76,0.43,0.53,1.09,0.75
PRES_1_0,1.22,1.07,,,1.33,0.83,,2.54,,,1.38,1.15,1.1,,1.15,0.87,0.88,1.01,0.65,0.77,0.65,,1.4,1.1
PRES_0_1,1.98,1.7,0.79,,,,0.82,,,,1.24,1.54,,0.37,1.22,0.9,0.82,0.9,0.72,1.07,0.64,,1.48,1.08
PRES_1_1,1.5,1.19,,,1.79,0.97,,0.8,,,1.58,1.39,1.01,,1.28,0.91,0.87,0.95,0.72,0.93,1.0,,1.56,1.22
PRES_1_3,,,,0.72,,,,,0.67,,,,1.28,,2.07,1.39,1.52,1.66,1.06,1.3,,,2.33,1.65
PRES_1_2,,,,1.23,,,,,,0.55,,,2.12,,3.13,2.79,,,1.4,,,,3.88,1.9
DEWP_1_0,1.01,1.02,0.76,,1.07,0.89,0.77,1.48,,,0.92,1.06,1.48,,0.96,0.67,0.64,0.66,0.54,0.8,0.4,,1.12,0.81
DEWP_0_0,0.99,0.89,0.98,,1.03,0.79,1.09,0.79,,,1.09,0.91,,,0.93,0.68,0.66,0.75,0.53,0.77,0.57,0.4,1.13,0.82
DEWP_0_1,1.43,1.17,,0.66,1.43,1.05,,0.93,0.62,0.53,,,0.81,,1.34,0.88,0.93,0.96,0.69,0.76,0.63,,1.54,1.06
DEWP_1_1,,,1.89,,,,1.97,,,,,,,0.57,2.82,1.62,1.55,,1.75,,,,3.5,2.52
WSPM_0_1,1.0,0.94,0.84,0.61,1.03,0.86,0.86,0.92,0.64,0.35,0.95,1.04,0.93,0.37,0.91,0.69,0.67,0.8,0.53,0.71,0.6,,1.14,0.77
WSPM_0_0,1.31,1.18,1.12,0.92,1.42,1.03,1.12,1.0,0.86,,1.35,1.21,1.17,,1.24,0.83,0.87,0.9,0.66,1.11,0.86,,1.45,1.08
WSPM_1_1,1.43,1.27,1.19,1.01,1.51,1.11,1.22,1.19,0.93,,1.44,1.34,1.23,,1.35,0.87,0.81,1.16,0.69,1.09,,,1.58,1.21
WSPM_1_2,1.45,1.37,1.16,0.82,1.54,1.11,1.23,1.26,0.99,,1.61,1.41,1.22,,1.38,1.01,0.81,0.8,0.84,1.74,0.79,,1.57,1.29
WSPM_1_0,1.55,1.43,1.35,1.07,1.63,1.26,1.32,1.19,0.98,,1.53,1.5,1.38,,1.45,1.03,1.1,1.12,0.79,1.26,,,1.73,1.22
WSPM_0_2,1.74,1.45,1.88,1.19,1.67,1.35,1.96,1.18,0.93,,1.65,1.57,1.23,,2.5,1.07,1.32,0.89,0.96,0.76,,,1.87,1.37
WSPM_1_3,3.6,2.06,,,3.47,1.69,2.12,1.59,,,4.97,2.33,1.98,,3.37,1.42,1.91,1.84,1.07,,0.63,,2.78,2.64
WSPM_0_3,2.88,2.64,,,2.71,,,,,,,2.76,,,,2.36,,,1.82,,,0.58,6.75,2.13
PM10_0,0.89,0.8,0.72,0.55,0.92,0.71,0.73,0.71,0.54,0.3,0.88,0.85,0.75,0.36,0.81,0.58,0.57,0.63,0.45,0.68,0.45,,0.97,0.72
PM10_1,1.12,1.06,1.06,0.82,1.17,0.96,1.12,0.99,0.82,0.63,1.13,1.15,1.05,,1.13,0.76,0.74,0.74,0.63,0.69,0.5,0.54,1.33,0.87
