,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.0,1.0,0.3,0.99,0.92,0.3,0.62,0.66,0.19,0.76,0.11,0.21,0.84,0.37,0.71,0.4,0.11
PRES_0_1,1.0,0.98,,,0.99,0.9,0.31,0.62,0.68,0.19,0.75,0.11,0.2,0.83,0.37,0.71,0.39,0.11
PRES_0_0,1.22,,0.02,,1.12,,,0.61,0.3,0.48,,0.12,,,0.14,0.82,0.86,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,1.0,0.91,0.28,0.92,13.61,,0.64,0.61,0.2,0.69,0.11,0.24,0.77,0.33,0.71,0.39,0.11
DEWP_1_0,1.0,0.98,,,,0.08,0.03,0.44,7.68,0.17,,0.1,0.08,,,0.72,0.45,0.17
DEWP_0_0,1.26,1.24,,,,0.15,0.01,0.56,,0.15,,0.11,0.08,,,0.85,0.49,0.01
WSPM_0_1,1.0,1.0,1.6,,1.04,0.64,0.24,0.44,1.67,0.17,4.35,0.09,0.19,3.34,0.61,0.71,0.38,0.11
WSPM_0_2,1.0,1.03,0.32,0.11,0.92,3.26,,1.21,0.19,0.32,1.77,0.15,0.4,,0.81,0.7,0.38,0.13
WSPM_0_0,1.0,0.99,,,1.0,0.9,0.22,0.58,1.05,0.12,2.42,0.09,0.15,,0.34,0.69,0.45,0.1
WSPM_0_3,1.0,0.98,,,0.91,,,2.4,2.56,0.51,0.09,0.24,,,,0.77,0.35,0.07
WSPM_1_0,1.0,0.99,,,0.99,0.9,0.17,0.58,1.05,0.15,1.74,0.1,0.2,,0.59,0.69,0.43,0.11
WSPM_1_1,1.0,0.98,,,1.16,0.36,0.1,0.52,1.84,0.14,,0.09,0.05,,0.15,0.71,0.44,0.15
WSPM_0_4,1.0,0.98,,,0.91,,,6.82,,,,0.64,,0.04,,0.77,0.41,
WSPM_1_2,1.11,1.09,,,1.02,,,0.93,1.46,0.17,,0.14,0.13,,0.02,0.75,1.39,
PM10_0,1.0,1.01,0.69,0.2,1.0,0.84,0.27,0.61,0.68,0.19,0.94,0.11,0.21,0.81,0.29,0.68,0.45,0.21
PM10_1,1.0,0.99,,,0.97,1.41,0.35,0.62,0.66,0.18,0.53,0.11,0.2,1.2,0.76,0.76,0.3,0.06
PM10_2,1.0,0.98,,,0.94,,,0.63,1.19,0.16,0.28,0.11,,,,0.8,0.3,0.01
