,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,1.0,,,,,0.96,0.9,0.84,0.81,0.77,,1.01,0.9,0.58,0.54,,0.88,0.87,0.86,0.81,0.8,0.77,0.76,0.77,0.69,,1.02,0.89
TEMP_0_1,,1.0,,,,1.06,1.04,0.91,0.92,0.88,,1.15,,,,,1.0,0.98,0.96,0.91,0.91,0.86,0.86,,1.1,,1.15,1.02
TEMP_0_0,,,0.99,0.41,2.13,1.18,,0.93,0.97,0.93,2.13,,1.06,,,2.13,1.06,1.06,0.96,0.98,0.97,0.95,0.92,,0.86,2.13,1.21,1.02
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.05,0.95,0.87,,,1.0,,,1.11,0.81,,1.07,0.95,,,,0.92,0.92,0.9,0.85,0.85,0.81,0.81,0.79,0.75,,1.07,0.92
PRES_1_3,1.11,0.96,,,,,1.0,,,0.6,,1.12,0.99,0.64,0.59,,0.97,0.96,0.91,0.9,0.89,0.87,0.84,0.86,0.79,,1.12,0.98
PRES_1_1,1.15,1.08,0.97,0.59,,,1.01,0.99,1.22,1.06,,1.21,1.06,,0.89,,1.12,0.99,1.1,0.93,0.96,0.92,0.87,,1.08,,1.23,1.14
PRES_1_0,1.23,1.09,1.03,,1.53,1.1,,0.89,1.0,0.95,1.53,1.26,1.1,,,1.53,1.0,1.15,1.0,1.05,1.42,0.93,0.99,,1.02,1.53,1.23,1.11
PRES_0_0,1.29,1.14,1.08,,,1.58,0.99,0.88,0.99,1.0,,1.35,1.1,0.76,0.63,,1.16,1.05,1.15,0.98,0.75,0.85,0.93,,,,1.32,1.16
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.99,0.87,,,,0.94,0.9,0.81,0.79,0.75,,1.0,0.73,0.59,0.53,,0.86,0.86,0.83,0.79,0.79,0.75,0.75,0.77,0.74,,1.0,0.88
DEWP_0_1,1.11,0.96,0.93,0.54,1.98,1.08,0.98,0.91,0.91,0.89,1.98,1.02,1.0,,0.6,1.98,1.01,0.97,0.95,0.92,0.91,0.87,0.86,0.79,0.8,1.98,1.14,0.98
DEWP_0_0,1.73,,,,,,,,1.58,1.34,,,,1.0,0.93,,1.52,,,,,,,,,,1.6,1.54
DEWP_1_0,1.86,,,,,,,,,,,,,,1.0,,1.95,,,,,,,,,,1.67,1.93
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.14,1.0,0.88,,,1.09,1.03,0.85,0.91,0.81,,1.16,0.93,0.57,0.41,,0.99,1.14,,1.21,0.45,1.04,0.94,,,,1.16,0.93
WSPM_0_1,1.14,1.0,0.95,,1.77,1.11,1.02,0.93,0.88,0.89,1.77,1.16,1.03,,,1.77,0.84,1.0,0.81,0.95,0.92,0.93,0.91,0.91,1.05,1.77,1.15,1.01
WSPM_0_2,1.16,1.04,1.08,0.73,,1.08,1.08,0.89,0.96,0.67,,1.2,1.06,,,,,1.19,1.0,0.99,0.85,0.83,1.0,,,,1.23,0.94
WSPM_0_0,1.22,1.09,0.99,,,1.18,1.12,1.05,1.01,1.2,,1.26,1.08,,,,0.9,0.96,1.1,1.0,1.14,0.95,0.93,,1.28,,1.26,1.16
WSPM_1_2,1.25,1.1,1.04,,,1.21,1.13,1.09,1.13,1.47,,1.28,1.13,,,,1.88,1.1,1.06,0.97,1.0,0.92,0.78,,1.57,,1.26,3.16
WSPM_1_1,1.3,1.15,1.03,,,1.21,1.12,1.11,1.15,1.12,,1.32,1.12,,,,0.93,1.14,1.26,0.98,1.11,1.0,0.96,,,,1.32,1.47
WSPM_1_0,1.3,1.14,1.08,,,1.25,1.2,1.11,1.11,1.16,,1.33,1.16,,,,0.99,1.06,1.1,1.09,1.16,1.02,1.0,,,,1.32,1.16
WSPM_0_4,1.33,,,,,1.27,1.2,,,,,1.3,1.28,0.65,0.6,,,0.93,,,,0.79,0.54,1.0,,,1.32,1.12
WSPM_1_3,1.4,1.2,1.16,,,1.34,1.26,1.14,1.24,,,1.41,1.24,,,,,,,0.85,0.64,,0.76,,1.0,,1.34,2.66
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.98,0.87,0.81,0.51,1.1400000000000001,0.94,0.89,0.8,0.82,0.79,1.1400000000000001,1.0,0.87,0.69,0.89,1.1400000000000001,0.84,0.89,0.8,0.81,0.85,0.77,0.77,0.75,0.82,1.1400000000000001,1.0,0.87
PM10_1,1.12,0.99,0.94,,,1.07,1.02,0.87,0.87,0.82,,1.13,1.02,0.54,0.42,,1.03,0.84,1.02,0.78,0.26,0.71,0.77,0.84,0.37,,1.14,1.0
