,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1
TEMP_1_0,1.0,0.96,,,1.01,0.87,0.82,0.81,,,0.99,0.98,0.84,,0.99,0.84,0.79,0.79,0.76,0.73,0.55,,1.08,0.92
TEMP_0_0,1.05,1.0,,,1.06,0.89,0.87,0.83,,,1.02,1.02,0.86,,1.01,0.87,0.88,0.82,0.77,0.76,0.58,0.5,1.13,0.93
TEMP_1_1,,,1.0,,1.25,,1.02,,,,1.21,1.21,,0.58,1.21,1.02,0.97,0.97,0.92,0.88,,,1.33,1.1
TEMP_0_2,,,,1.0,,,,,0.97,0.69,,,1.29,,1.53,1.31,1.26,1.24,1.18,1.14,,,1.7,1.39
PRES_0_0,0.99,0.94,0.8,,1.0,0.83,,,,,0.97,0.97,0.82,,0.97,0.83,0.79,0.79,0.75,0.72,0.52,0.49,1.07,0.89
PRES_1_0,1.15,1.13,,,1.2,1.0,,,,,1.17,1.13,0.97,,1.16,0.98,0.94,0.9,0.84,0.85,0.66,,1.26,1.07
PRES_0_1,1.22,1.14,0.98,,,,1.0,,,,1.19,1.18,,0.57,1.18,1.01,0.96,0.95,0.91,0.87,0.67,,1.3,1.08
PRES_1_1,1.23,1.2,,,,,,1.0,,,1.17,1.23,1.03,,1.22,1.04,1.0,0.98,0.94,0.92,0.73,,1.35,1.13
PRES_1_3,,,,1.03,,,,,1.0,,,,1.33,,1.58,1.35,1.29,1.28,1.21,1.18,,,1.75,1.45
PRES_1_2,,,,1.45,,,,,,1.0,,,1.82,,2.16,,,,,,,,2.48,1.9
DEWP_1_0,1.01,0.98,0.83,,1.03,0.85,0.84,0.85,,,1.0,0.99,,,1.0,0.85,0.8,0.79,0.76,0.73,,,1.1,0.91
DEWP_0_0,1.02,0.98,0.83,,1.03,0.88,0.85,0.82,,,1.01,1.0,,,1.0,0.85,0.82,0.81,0.76,0.75,0.58,0.5,1.1,0.93
DEWP_0_1,1.2,1.16,,0.78,1.22,1.04,,0.97,0.75,0.55,,,1.0,,1.19,1.01,0.97,0.96,0.91,0.88,0.67,,1.31,1.09
DEWP_1_1,,,1.71,,,,1.75,,,,,,,1.0,2.01,,,,,,,,2.23,
WSPM_0_1,1.01,0.99,0.83,0.65,1.04,0.86,0.85,0.82,0.63,0.46,1.0,1.0,0.84,0.49,1.0,,0.69,0.84,0.81,,,,1.11,0.91
WSPM_0_0,1.19,1.15,0.98,0.76,1.21,1.02,0.99,0.96,0.74,,1.18,1.17,0.99,,,1.0,1.03,0.9,0.88,,,,1.3,1.04
WSPM_1_1,1.27,1.13,1.03,0.78,1.26,1.07,1.04,1.0,0.77,,1.24,1.22,1.02,,1.42,0.97,1.0,,,,,,1.33,1.19
WSPM_1_2,1.26,1.22,1.03,0.81,1.27,1.11,1.05,1.02,0.78,,1.27,1.23,1.04,,1.19,1.11,,1.0,,,,,1.35,1.2
WSPM_1_0,1.32,1.29,1.09,0.85,1.33,1.19,1.1,1.07,0.82,,1.31,1.32,1.1,,1.24,1.14,,,1.0,0.93,,,1.45,1.18
WSPM_0_2,1.38,1.32,1.13,0.87,1.39,1.18,1.15,1.09,0.85,,1.37,1.33,1.14,,,,,,1.08,1.0,,,1.49,1.24
WSPM_1_3,1.83,1.72,,,1.92,1.51,1.5,1.37,,,,1.73,1.48,,,,,,,,1.0,,1.94,
WSPM_0_3,,1.99,,,2.04,,,,,,,2.01,,,,,,,,,,1.0,,1.82
PM10_0,0.93,0.88,0.75,0.59,0.94,0.79,0.77,0.74,0.57,0.39,0.91,0.91,0.76,0.45,0.9,0.77,0.75,0.74,0.69,0.67,0.52,,1.0,0.83
PM10_1,1.09,1.08,0.9,0.72,1.12,0.93,0.92,0.89,0.69,0.53,1.1,1.07,0.92,,1.1,0.96,0.84,0.83,0.85,0.8,,0.55,1.2,1.0
